StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-anaconda-81,Ethernet0,arc-switch1039,ethernet 1/1,100000,101,Access
r-anaconda-81,Ethernet4,arc-switch1039,ethernet 1/2,100000,102,Access
r-anaconda-81,Ethernet8,arc-switch1039,ethernet 1/3,100000,103,Access
r-anaconda-81,Ethernet12,arc-switch1039,ethernet 1/4,100000,104,Access
r-anaconda-81,Ethernet16,arc-switch1039,ethernet 1/5,100000,105,Access
r-anaconda-81,Ethernet20,arc-switch1039,ethernet 1/6,100000,106,Access
r-anaconda-81,Ethernet24,arc-switch1039,ethernet 1/7,100000,107,Access
r-anaconda-81,Ethernet28,arc-switch1039,ethernet 1/8,100000,108,Access
r-anaconda-81,Ethernet32,arc-switch1039,ethernet 1/9,100000,109,Access
r-anaconda-81,Ethernet36,arc-switch1039,ethernet 1/10,100000,110,Access
r-anaconda-81,Ethernet40,arc-switch1039,ethernet 1/11,100000,111,Access
r-anaconda-81,Ethernet44,arc-switch1039,ethernet 1/12,100000,112,Access
r-anaconda-81,Ethernet48,arc-switch1039,ethernet 1/13,100000,113,Access
r-anaconda-81,Ethernet52,arc-switch1039,ethernet 1/14,100000,114,Access
r-anaconda-81,Ethernet56,arc-switch1039,ethernet 1/15,100000,115,Access
r-anaconda-81,Ethernet60,arc-switch1039,ethernet 1/16,100000,116,Access
r-anaconda-81,Ethernet64,arc-switch1039,ethernet 1/17,100000,117,Access
r-anaconda-81,Ethernet68,arc-switch1039,ethernet 1/18,100000,118,Access
r-anaconda-81,Ethernet72,arc-switch1039,ethernet 1/19,100000,119,Access
r-anaconda-81,Ethernet76,arc-switch1039,ethernet 1/20,100000,120,Access
r-anaconda-81,Ethernet80,arc-switch1039,ethernet 1/21,100000,121,Access
r-anaconda-81,Ethernet84,arc-switch1039,ethernet 1/22,100000,122,Access
r-anaconda-81,Ethernet88,arc-switch1039,ethernet 1/23,100000,123,Access
r-anaconda-81,Ethernet92,arc-switch1039,ethernet 1/24,100000,124,Access
r-anaconda-81,Ethernet96,arc-switch1039,ethernet 1/25,100000,125,Access
r-anaconda-81,Ethernet100,arc-switch1039,ethernet 1/26,100000,126,Access
r-anaconda-81,Ethernet104,arc-switch1039,ethernet 1/27,100000,127,Access
r-anaconda-81,Ethernet108,arc-switch1039,ethernet 1/28,100000,128,Access
r-anaconda-81,Ethernet112,arc-switch1039,ethernet 1/29,100000,129,Access
r-anaconda-81,Ethernet116,arc-switch1039,ethernet 1/30,100000,130,Access
r-anaconda-81,Ethernet120,arc-switch1039,ethernet 1/31/1,50000,131,Access
r-anaconda-81,Ethernet124,arc-switch1039,ethernet 1/31/2,50000,132,Access
arc-switch1039,ethernet 1/32,arc-host83,p4p1,100000,101-132,Trunk
