StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1004,Ethernet0,arc-switch1005,ethernet 1/1,100000,101,Access
arc-switch1004,Ethernet4,arc-switch1005,ethernet 1/2,100000,102,Access
arc-switch1004,Ethernet8,arc-switch1005,ethernet 1/3,100000,103,Access
arc-switch1004,Ethernet12,arc-switch1005,ethernet 1/4,100000,104,Access
arc-switch1004,Ethernet16,arc-switch1005,ethernet 1/5,100000,105,Access
arc-switch1004,Ethernet20,arc-switch1005,ethernet 1/6,100000,106,Access
arc-switch1004,Ethernet24,arc-switch1005,ethernet 1/7,100000,107,Access
arc-switch1004,Ethernet28,arc-switch1005,ethernet 1/8,100000,108,Access
arc-switch1004,Ethernet32,arc-switch1005,ethernet 1/9,100000,109,Access
arc-switch1004,Ethernet36,arc-switch1005,ethernet 1/10,100000,110,Access
arc-switch1004,Ethernet40,arc-switch1005,ethernet 1/11,100000,111,Access
arc-switch1004,Ethernet44,arc-switch1005,ethernet 1/12,100000,112,Access
arc-switch1004,Ethernet48,arc-switch1005,ethernet 1/13,100000,113,Access
arc-switch1004,Ethernet52,arc-switch1005,ethernet 1/14,100000,114,Access
arc-switch1004,Ethernet56,arc-switch1005,ethernet 1/15,100000,115,Access
arc-switch1004,Ethernet60,arc-switch1005,ethernet 1/16,100000,116,Access
arc-switch1004,Ethernet64,arc-switch1005,ethernet 1/17,100000,117,Access
arc-switch1004,Ethernet68,arc-switch1005,ethernet 1/18,100000,118,Access
arc-switch1004,Ethernet72,arc-switch1005,ethernet 1/19,100000,119,Access
arc-switch1004,Ethernet76,arc-switch1005,ethernet 1/20,100000,120,Access
arc-switch1004,Ethernet80,arc-switch1005,ethernet 1/21,100000,121,Access
arc-switch1004,Ethernet84,arc-switch1005,ethernet 1/22,100000,122,Access
arc-switch1004,Ethernet88,arc-switch1005,ethernet 1/23,100000,123,Access
arc-switch1004,Ethernet92,arc-switch1005,ethernet 1/24,100000,124,Access
arc-switch1004,Ethernet96,arc-switch1005,ethernet 1/25,100000,125,Access
arc-switch1004,Ethernet100,arc-switch1005,ethernet 1/26/1,10000,126,Access
arc-switch1004,Ethernet104,arc-switch1005,ethernet 1/27,100000,127,Access
arc-switch1004,Ethernet108,arc-switch1005,ethernet 1/28,100000,128,Access
arc-switch1004,Ethernet112,arc-switch1005,ethernet 1/29/1,50000,129,Access
arc-switch1004,Ethernet114,arc-switch1005,ethernet 1/29/2,50000,130,Access
arc-switch1004,Ethernet116,arc-switch1005,ethernet 1/30/1,50000,131,Access
arc-switch1004,Ethernet118,arc-switch1005,ethernet 1/30/2,50000,132,Access
arc-switch1004,Ethernet120,arc-switch1005,ethernet 1/31/1,50000,133,Access
arc-switch1004,Ethernet122,arc-switch1005,ethernet 1/31/2,50000,134,Access
arc-switch1004,Ethernet124,arc-switch1005,ethernet 1/32/1,50000,135,Access
arc-switch1004,Ethernet126,arc-switch1005,ethernet 1/32/2,50000,136,Access
arc-switch1005,ethernet 1/26/2,arc-host26,p4p1,100000,101-136,Trunk
