StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1025,Ethernet0,arc-switch1035,ethernet 1/1/1,50000,201,Access
arc-switch1025,Ethernet2,arc-switch1035,ethernet 1/1/2,50000,202,Access
arc-switch1025,Ethernet4,arc-switch1035,ethernet 1/2/1,50000,203,Access
arc-switch1025,Ethernet6,arc-switch1035,ethernet 1/2/2,50000,204,Access
arc-switch1025,Ethernet8,arc-switch1035,ethernet 1/3/1,50000,205,Access
arc-switch1025,Ethernet10,arc-switch1035,ethernet 1/3/2,50000,206,Access
arc-switch1025,Ethernet12,arc-switch1035,ethernet 1/4/1,50000,207,Access
arc-switch1025,Ethernet14,arc-switch1035,ethernet 1/4/2,50000,208,Access
arc-switch1025,Ethernet16,arc-switch1035,ethernet 1/5/1,50000,209,Access
arc-switch1025,Ethernet18,arc-switch1035,ethernet 1/5/2,50000,210,Access
arc-switch1025,Ethernet20,arc-switch1035,ethernet 1/6/1,50000,211,Access
arc-switch1025,Ethernet22,arc-switch1035,ethernet 1/6/2,50000,212,Access
arc-switch1025,Ethernet24,arc-switch1035,ethernet 1/7,100000,213,Access
arc-switch1025,Ethernet28,arc-switch1035,ethernet 1/8,100000,214,Access
arc-switch1025,Ethernet32,arc-switch1035,ethernet 1/9,100000,215,Access
arc-switch1025,Ethernet36,arc-switch1035,ethernet 1/10,100000,216,Access
arc-switch1025,Ethernet40,arc-switch1035,ethernet 1/11/1,50000,217,Access
arc-switch1025,Ethernet42,arc-switch1035,ethernet 1/11/2,50000,218,Access
arc-switch1025,Ethernet44,arc-switch1035,ethernet 1/12/1,50000,219,Access
arc-switch1025,Ethernet46,arc-switch1035,ethernet 1/12/2,50000,220,Access
arc-switch1025,Ethernet48,arc-switch1035,ethernet 1/13/1,50000,221,Access
arc-switch1025,Ethernet50,arc-switch1035,ethernet 1/13/2,50000,222,Access
arc-switch1025,Ethernet52,arc-switch1035,ethernet 1/14/1,50000,223,Access
arc-switch1025,Ethernet54,arc-switch1035,ethernet 1/14/2,50000,224,Access
arc-switch1025,Ethernet56,arc-switch1035,ethernet 1/15/1,50000,225,Access
arc-switch1025,Ethernet58,arc-switch1035,ethernet 1/15/2,50000,226,Access
arc-switch1025,Ethernet60,arc-switch1035,ethernet 1/16/1,50000,227,Access
arc-switch1025,Ethernet62,arc-switch1035,ethernet 1/16/2,50000,228,Access
arc-switch1025,Ethernet64,arc-switch1035,ethernet 1/17/1,50000,229,Access
arc-switch1025,Ethernet66,arc-switch1035,ethernet 1/17/2,50000,230,Access
arc-switch1025,Ethernet68,arc-switch1035,ethernet 1/18/1,50000,231,Access
arc-switch1025,Ethernet70,arc-switch1035,ethernet 1/18/2,50000,232,Access
arc-switch1025,Ethernet72,arc-switch1035,ethernet 1/19/1,50000,233,Access
arc-switch1025,Ethernet74,arc-switch1035,ethernet 1/19/2,50000,234,Access
arc-switch1025,Ethernet76,arc-switch1035,ethernet 1/20/1,50000,235,Access
arc-switch1025,Ethernet78,arc-switch1035,ethernet 1/20/2,50000,236,Access
arc-switch1025,Ethernet80,arc-switch1035,ethernet 1/21/1,50000,237,Access
arc-switch1025,Ethernet82,arc-switch1035,ethernet 1/21/2,50000,238,Access
arc-switch1025,Ethernet84,arc-switch1035,ethernet 1/22/1,50000,239,Access
arc-switch1025,Ethernet86,arc-switch1035,ethernet 1/22/2,50000,240,Access
arc-switch1025,Ethernet88,arc-switch1035,ethernet 1/23,100000,241,Access
arc-switch1025,Ethernet92,arc-switch1035,ethernet 1/24,100000,242,Access
arc-switch1025,Ethernet96,arc-switch1035,ethernet 1/25,100000,243,Access
arc-switch1025,Ethernet100,arc-switch1035,ethernet 1/26/1,10000,244,Access
arc-switch1025,Ethernet104,arc-switch1035,ethernet 1/27/1,50000,245,Access
arc-switch1025,Ethernet106,arc-switch1035,ethernet 1/27/2,50000,246,Access
arc-switch1025,Ethernet108,arc-switch1035,ethernet 1/28/1,50000,247,Access
arc-switch1025,Ethernet110,arc-switch1035,ethernet 1/28/2,50000,248,Access
arc-switch1025,Ethernet112,arc-switch1035,ethernet 1/29/1,50000,249,Access
arc-switch1025,Ethernet114,arc-switch1035,ethernet 1/29/2,50000,250,Access
arc-switch1025,Ethernet116,arc-switch1035,ethernet 1/30/1,50000,251,Access
arc-switch1025,Ethernet118,arc-switch1035,ethernet 1/30/2,50000,252,Access
arc-switch1025,Ethernet120,arc-switch1035,ethernet 1/31/1,50000,253,Access
arc-switch1025,Ethernet122,arc-switch1035,ethernet 1/31/2,50000,254,Access
arc-switch1025,Ethernet124,arc-switch1035,ethernet 1/32/1,50000,255,Access
arc-switch1025,Ethernet126,arc-switch1035,ethernet 1/32/2,50000,256,Access
arc-switch1035,ethernet 1/26/2,arc-host121,p4p1,100000,201-256,Trunk
