StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1025,Ethernet0,arc-switch1035,ethernet 1/1,100000,201,Access
arc-switch1025,Ethernet4,arc-switch1035,ethernet 1/2,100000,202,Access
arc-switch1025,Ethernet8,arc-switch1035,ethernet 1/3,100000,203,Access
arc-switch1025,Ethernet12,arc-switch1035,ethernet 1/4,100000,204,Access
arc-switch1025,Ethernet16,arc-switch1035,ethernet 1/5,100000,205,Access
arc-switch1025,Ethernet20,arc-switch1035,ethernet 1/6,100000,206,Access
arc-switch1025,Ethernet24,arc-switch1035,ethernet 1/7,100000,207,Access
arc-switch1025,Ethernet28,arc-switch1035,ethernet 1/8,100000,208,Access
arc-switch1025,Ethernet32,arc-switch1035,ethernet 1/9,100000,209,Access
arc-switch1025,Ethernet36,arc-switch1035,ethernet 1/10,100000,210,Access
arc-switch1025,Ethernet40,arc-switch1035,ethernet 1/11,100000,211,Access
arc-switch1025,Ethernet44,arc-switch1035,ethernet 1/12,100000,212,Access
arc-switch1025,Ethernet48,arc-switch1035,ethernet 1/13,100000,213,Access
arc-switch1025,Ethernet52,arc-switch1035,ethernet 1/14,100000,214,Access
arc-switch1025,Ethernet56,arc-switch1035,ethernet 1/15,100000,215,Access
arc-switch1025,Ethernet60,arc-switch1035,ethernet 1/16,100000,216,Access
arc-switch1025,Ethernet64,arc-switch1035,ethernet 1/17,100000,217,Access
arc-switch1025,Ethernet68,arc-switch1035,ethernet 1/18,100000,218,Access
arc-switch1025,Ethernet72,arc-switch1035,ethernet 1/19,100000,219,Access
arc-switch1025,Ethernet76,arc-switch1035,ethernet 1/20,100000,220,Access
arc-switch1025,Ethernet80,arc-switch1035,ethernet 1/21,100000,221,Access
arc-switch1025,Ethernet84,arc-switch1035,ethernet 1/22,100000,222,Access
arc-switch1025,Ethernet88,arc-switch1035,ethernet 1/23,100000,223,Access
arc-switch1025,Ethernet92,arc-switch1035,ethernet 1/24,100000,224,Access
arc-switch1025,Ethernet96,arc-switch1035,ethernet 1/25,100000,225,Access
arc-switch1025,Ethernet100,arc-switch1035,ethernet 1/26/1,50000,226,Access
arc-switch1025,Ethernet104,arc-switch1035,ethernet 1/27,100000,227,Access
arc-switch1025,Ethernet108,arc-switch1035,ethernet 1/28,100000,228,Access
arc-switch1025,Ethernet112,arc-switch1035,ethernet 1/29,100000,229,Access
arc-switch1025,Ethernet116,arc-switch1035,ethernet 1/30,100000,230,Access
arc-switch1025,Ethernet120,arc-switch1035,ethernet 1/31,50000,231,Access
arc-switch1025,Ethernet124,arc-switch1035,ethernet 1/32,50000,232,Access
arc-switch1035,ethernet 1/26/2,arc-host121,p4p1,100000,201-232,Trunk
