StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
bobcat-1245,Ethernet0,leopard-1244,Ethernet0,100000,101,Access,on
bobcat-1245,Ethernet2,leopard-1244,Ethernet2,100000,102,Access,on
bobcat-1245,Ethernet4,leopard-1244,Ethernet4,100000,103,Access,on
bobcat-1245,Ethernet6,leopard-1244,Ethernet6,100000,104,Access,on
bobcat-1245,Ethernet8,leopard-1244,Ethernet8,100000,105,Access,on
bobcat-1245,Ethernet10,leopard-1244,Ethernet10,100000,106,Access,on
bobcat-1245,Ethernet12,leopard-1244,Ethernet12,100000,107,Access,on
bobcat-1245,Ethernet14,leopard-1244,Ethernet14,100000,108,Access,on
bobcat-1245,Ethernet16,leopard-1244,Ethernet16,100000,109,Access,on
bobcat-1245,Ethernet18,leopard-1244,Ethernet18,100000,110,Access,on
bobcat-1245,Ethernet20,leopard-1244,Ethernet20,100000,111,Access,on
bobcat-1245,Ethernet22,leopard-1244,Ethernet22,100000,112,Access,on
bobcat-1245,Ethernet24,leopard-1244,Ethernet24,100000,113,Access,on
bobcat-1245,Ethernet26,leopard-1244,Ethernet26,100000,114,Access,on
bobcat-1245,Ethernet28,leopard-1244,Ethernet28,100000,115,Access,on
bobcat-1245,Ethernet30,leopard-1244,Ethernet30,100000,116,Access,on
bobcat-1245,Ethernet32,leopard-1244,Ethernet32,100000,117,Access,on
bobcat-1245,Ethernet34,leopard-1244,Ethernet34,100000,118,Access,on
bobcat-1245,Ethernet36,leopard-1244,Ethernet36,100000,119,Access,on
bobcat-1245,Ethernet38,leopard-1244,Ethernet38,100000,120,Access,on
bobcat-1245,Ethernet40,leopard-1244,Ethernet40,100000,121,Access,on
bobcat-1245,Ethernet42,leopard-1244,Ethernet42,100000,122,Access,on
bobcat-1245,Ethernet44,leopard-1244,Ethernet44,100000,123,Access,on
bobcat-1245,Ethernet46,leopard-1244,Ethernet46,100000,124,Access,on
bobcat-1245,Ethernet48,leopard-1244,Ethernet48,100000,125,Access,on
bobcat-1245,Ethernet50,leopard-1244,Ethernet50,100000,126,Access,on
bobcat-1245,Ethernet52,leopard-1244,Ethernet52,100000,127,Access,on
bobcat-1245,Ethernet54,leopard-1244,Ethernet54,100000,128,Access,on
bobcat-1245,Ethernet56,leopard-1244,Ethernet56,100000,129,Access,on
bobcat-1245,Ethernet58,leopard-1244,Ethernet58,100000,130,Access,on
bobcat-1245,Ethernet60,leopard-1244,Ethernet60,100000,131,Access,on
bobcat-1245,Ethernet62,leopard-1244,Ethernet62,100000,132,Access,on
bobcat-1245,Ethernet64,leopard-1244,Ethernet64,100000,133,Access,on
bobcat-1245,Ethernet66,leopard-1244,Ethernet66,100000,134,Access,on
bobcat-1245,Ethernet68,leopard-1244,Ethernet68,100000,135,Access,on
bobcat-1245,Ethernet70,leopard-1244,Ethernet70,100000,136,Access,on
bobcat-1245,Ethernet72,leopard-1244,Ethernet72,100000,137,Access,on
bobcat-1245,Ethernet74,leopard-1244,Ethernet74,100000,138,Access,on
bobcat-1245,Ethernet76,leopard-1244,Ethernet76,100000,139,Access,on
bobcat-1245,Ethernet78,leopard-1244,Ethernet78,100000,140,Access,on
bobcat-1245,Ethernet80,leopard-1244,Ethernet80,100000,141,Access,on
bobcat-1245,Ethernet82,leopard-1244,Ethernet82,100000,142,Access,on
bobcat-1245,Ethernet84,leopard-1244,Ethernet84,100000,143,Access,on
bobcat-1245,Ethernet86,leopard-1244,Ethernet86,100000,144,Access,on
bobcat-1245,Ethernet88,leopard-1244,Ethernet88,100000,145,Access,on
bobcat-1245,Ethernet90,leopard-1244,Ethernet90,100000,146,Access,on
bobcat-1245,Ethernet92,leopard-1244,Ethernet92,100000,147,Access,on
bobcat-1245,Ethernet94,leopard-1244,Ethernet94,100000,148,Access,on
bobcat-1245,Ethernet96,leopard-1244,Ethernet96,400000,149,Access,on
bobcat-1245,Ethernet104,leopard-1244,Ethernet104,400000,150,Access,on
bobcat-1245,Ethernet112,leopard-1244,Ethernet112,400000,151,Access,on
bobcat-1245,Ethernet120,leopard-1244,Ethernet120,400000,152,Access,on
bobcat-1245,Ethernet128,leopard-1244,Ethernet128,400000,153,Access,on
bobcat-1245,Ethernet136,leopard-1244,Ethernet136,400000,154,Access,on
bobcat-1245,Ethernet144,leopard-1244,Ethernet144,400000,155,Access,on
bobcat-1245,Ethernet152,leopard-1244,Ethernet152,400000,156,Access,on
bobcat-1245,Ethernet160,leopard-1244,Ethernet160,100000,157,Access,on
bobcat-1245,Ethernet162,leopard-1244,Ethernet162,100000,158,Access,on
bobcat-1245,Ethernet164,leopard-1244,Ethernet164,100000,159,Access,on
bobcat-1245,Ethernet166,leopard-1244,Ethernet166,100000,160,Access,on
bobcat-1245,Ethernet168,leopard-1244,Ethernet168,100000,161,Access,on
bobcat-1245,Ethernet170,leopard-1244,Ethernet170,100000,162,Access,on
bobcat-1245,Ethernet172,leopard-1244,Ethernet172,100000,163,Access,on
bobcat-1245,Ethernet174,leopard-1244,Ethernet174,100000,164,Access,on
bobcat-1245,Ethernet176,leopard-1244,Ethernet176,100000,165,Access,on
bobcat-1245,Ethernet178,leopard-1244,Ethernet178,100000,166,Access,on
bobcat-1245,Ethernet180,leopard-1244,Ethernet180,100000,167,Access,on
bobcat-1245,Ethernet182,leopard-1244,Ethernet182,100000,168,Access,on
bobcat-1245,Ethernet184,leopard-1244,Ethernet184,100000,169,Access,on
