StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
c-panther-01,Ethernet0,c-panther-02,ethernet 1/1,100000,101,Access
c-panther-01,Ethernet4,c-panther-02,ethernet 1/2,100000,102,Access
c-panther-01,Ethernet8,c-panther-02,ethernet 1/3,100000,103,Access
c-panther-01,Ethernet12,c-panther-02,ethernet 1/4,100000,104,Access
c-panther-01,Ethernet16,c-panther-02,ethernet 1/5,100000,105,Access
c-panther-01,Ethernet20,c-panther-02,ethernet 1/6,100000,106,Access
c-panther-01,Ethernet24,c-panther-02,ethernet 1/7,100000,107,Access
c-panther-01,Ethernet28,c-panther-02,ethernet 1/8,100000,108,Access
c-panther-01,Ethernet32,c-panther-02,ethernet 1/9,100000,109,Access
c-panther-01,Ethernet36,c-panther-02,ethernet 1/10,100000,110,Access
c-panther-01,Ethernet40,c-panther-02,ethernet 1/11,100000,111,Access
c-panther-01,Ethernet44,c-panther-02,ethernet 1/12,100000,112,Access
c-panther-01,Ethernet48,c-panther-02,ethernet 1/13,100000,113,Access
c-panther-01,Ethernet52,c-panther-02,ethernet 1/14,100000,114,Access
c-panther-01,Ethernet56,c-panther-02,ethernet 1/15,100000,115,Access
c-panther-01,Ethernet60,c-panther-02,ethernet 1/16,100000,116,Access
c-panther-01,Ethernet64,c-panther-02,ethernet 1/17,100000,117,Access
c-panther-01,Ethernet68,c-panther-02,ethernet 1/18,100000,118,Access
c-panther-01,Ethernet72,c-panther-02,ethernet 1/19,100000,119,Access
c-panther-01,Ethernet76,c-panther-02,ethernet 1/20,100000,120,Access
c-panther-01,Ethernet80,c-panther-02,ethernet 1/21,100000,121,Access
c-panther-01,Ethernet84,c-panther-02,ethernet 1/22,100000,122,Access
c-panther-01,Ethernet88,c-panther-02,ethernet 1/23,100000,123,Access
c-panther-01,Ethernet92,c-panther-02,ethernet 1/24,100000,124,Access
c-panther-01,Ethernet96,c-panther-02,ethernet 1/25,100000,125,Access
c-panther-01,Ethernet100,c-panther-02,ethernet 1/26/1,50000,126,Access
c-panther-01,Ethernet104,c-panther-02,ethernet 1/27,100000,127,Access
c-panther-01,Ethernet108,c-panther-02,ethernet 1/28,100000,128,Access
c-panther-01,Ethernet112,c-panther-02,ethernet 1/29,100000,129,Access
c-panther-01,Ethernet116,c-panther-02,ethernet 1/30,100000,130,Access
c-panther-01,Ethernet120,c-panther-02,ethernet 1/31,100000,131,Access
c-panther-01,Ethernet124,c-panther-02,ethernet 1/32,100000,132,Access
c-panther-02,ethernet 1/26/2,dev-r730-02,p6p2,100000,101-132,Trunk
