StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
leopard-1288,Ethernet0,leopard-1290,Ethernet0,400000,101,Access,off
leopard-1288,Ethernet8,leopard-1290,Ethernet8,400000,102,Access,off
leopard-1288,Ethernet16,leopard-1290,Ethernet16,400000,103,Access,off
leopard-1288,Ethernet24,leopard-1290,Ethernet24,400000,104,Access,off
leopard-1288,Ethernet32,leopard-1290,Ethernet32,400000,105,Access,off
leopard-1288,Ethernet40,leopard-1290,Ethernet40,400000,106,Access,off
leopard-1288,Ethernet48,leopard-1290,Ethernet48,400000,107,Access,off
leopard-1288,Ethernet56,leopard-1290,Ethernet56,400000,108,Access,off
leopard-1288,Ethernet64,leopard-1290,Ethernet64,400000,109,Access,off
leopard-1288,Ethernet72,leopard-1290,Ethernet72,400000,110,Access,off
leopard-1288,Ethernet80,leopard-1290,Ethernet80,400000,111,Access,off
leopard-1288,Ethernet88,leopard-1290,Ethernet88,400000,112,Access,off
leopard-1288,Ethernet96,leopard-1290,Ethernet96,400000,113,Access,off
leopard-1288,Ethernet104,leopard-1290,Ethernet104,400000,114,Access,off
leopard-1288,Ethernet112,leopard-1290,Ethernet112,400000,115,Access,off
leopard-1288,Ethernet120,leopard-1290,Ethernet120,400000,116,Access,off
leopard-1288,Ethernet128,leopard-1290,Ethernet128,400000,117,Access,off
leopard-1288,Ethernet136,leopard-1290,Ethernet136,400000,118,Access,off
leopard-1288,Ethernet144,leopard-1290,Ethernet144,400000,119,Access,off
leopard-1288,Ethernet152,leopard-1290,Ethernet152,400000,120,Access,off
leopard-1288,Ethernet160,leopard-1290,Ethernet160,400000,121,Access,off
leopard-1288,Ethernet168,leopard-1290,Ethernet168,400000,122,Access,off
leopard-1288,Ethernet176,leopard-1290,Ethernet176,400000,123,Access,off
leopard-1288,Ethernet184,leopard-1290,Ethernet184,400000,124,Access,off
leopard-1288,Ethernet192,leopard-1290,Ethernet192,400000,125,Access,off
leopard-1288,Ethernet200,leopard-1290,Ethernet200,400000,126,Access,off
leopard-1288,Ethernet208,leopard-1290,Ethernet208,400000,127,Access,off
leopard-1288,Ethernet216,leopard-1290,Ethernet216,400000,128,Access,off
leopard-1288,Ethernet224,leopard-1290,Ethernet224,400000,129,Access,off
leopard-1288,Ethernet232,leopard-1290,Ethernet236,100000,130,Access,on
leopard-1288,Ethernet240,leopard-1290,Ethernet240,400000,131,Access,off
leopard-1288,Ethernet248,leopard-1290,Ethernet248,400000,132,Access,off
leopard-1290,Ethernet232,fit-sonic-vrt-10,p4p1,100000,101-132,Trunk,on
