StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
leopard-1288,Ethernet0,leopard-1290,Ethernet0,200000,101,Access,off
leopard-1288,Ethernet4,leopard-1290,Ethernet4,200000,102,Access,off
leopard-1288,Ethernet8,leopard-1290,Ethernet8,200000,103,Access,off
leopard-1288,Ethernet12,leopard-1290,Ethernet12,200000,104,Access,off
leopard-1288,Ethernet16,leopard-1290,Ethernet16,200000,105,Access,off
leopard-1288,Ethernet20,leopard-1290,Ethernet20,200000,106,Access,off
leopard-1288,Ethernet24,leopard-1290,Ethernet24,200000,107,Access,off
leopard-1288,Ethernet28,leopard-1290,Ethernet28,200000,108,Access,off
leopard-1288,Ethernet32,leopard-1290,Ethernet32,200000,109,Access,off
leopard-1288,Ethernet36,leopard-1290,Ethernet36,200000,110,Access,off
leopard-1288,Ethernet40,leopard-1290,Ethernet40,200000,111,Access,off
leopard-1288,Ethernet44,leopard-1290,Ethernet44,200000,112,Access,off
leopard-1288,Ethernet48,leopard-1290,Ethernet48,200000,113,Access,off
leopard-1288,Ethernet52,leopard-1290,Ethernet52,200000,114,Access,off
leopard-1288,Ethernet56,leopard-1290,Ethernet56,200000,115,Access,off
leopard-1288,Ethernet60,leopard-1290,Ethernet60,200000,116,Access,off
leopard-1288,Ethernet64,leopard-1290,Ethernet64,200000,117,Access,off
leopard-1288,Ethernet68,leopard-1290,Ethernet68,200000,118,Access,off
leopard-1288,Ethernet72,leopard-1290,Ethernet72,200000,119,Access,off
leopard-1288,Ethernet76,leopard-1290,Ethernet76,200000,120,Access,off
leopard-1288,Ethernet80,leopard-1290,Ethernet80,200000,121,Access,off
leopard-1288,Ethernet84,leopard-1290,Ethernet84,200000,122,Access,off
leopard-1288,Ethernet88,leopard-1290,Ethernet88,200000,123,Access,off
leopard-1288,Ethernet92,leopard-1290,Ethernet92,200000,124,Access,off
leopard-1288,Ethernet96,leopard-1290,Ethernet96,400000,125,Access,off
leopard-1288,Ethernet104,leopard-1290,Ethernet104,400000,126,Access,off
leopard-1288,Ethernet112,leopard-1290,Ethernet112,400000,127,Access,off
leopard-1288,Ethernet120,leopard-1290,Ethernet120,400000,128,Access,off
leopard-1288,Ethernet128,leopard-1290,Ethernet128,400000,129,Access,off
leopard-1288,Ethernet136,leopard-1290,Ethernet136,400000,130,Access,off
leopard-1288,Ethernet144,leopard-1290,Ethernet144,400000,131,Access,off
leopard-1288,Ethernet152,leopard-1290,Ethernet152,400000,132,Access,off
leopard-1288,Ethernet160,leopard-1290,Ethernet160,200000,133,Access,off
leopard-1288,Ethernet164,leopard-1290,Ethernet164,200000,134,Access,off
leopard-1288,Ethernet168,leopard-1290,Ethernet168,200000,135,Access,off
leopard-1288,Ethernet172,leopard-1290,Ethernet172,200000,136,Access,off
leopard-1288,Ethernet176,leopard-1290,Ethernet176,200000,137,Access,off
leopard-1288,Ethernet180,leopard-1290,Ethernet180,200000,138,Access,off
leopard-1288,Ethernet184,leopard-1290,Ethernet184,200000,139,Access,off
leopard-1288,Ethernet188,leopard-1290,Ethernet188,200000,140,Access,off
leopard-1288,Ethernet192,leopard-1290,Ethernet192,200000,141,Access,off
leopard-1288,Ethernet196,leopard-1290,Ethernet196,200000,142,Access,off
leopard-1288,Ethernet200,leopard-1290,Ethernet200,200000,143,Access,off
leopard-1288,Ethernet204,leopard-1290,Ethernet204,200000,144,Access,off
leopard-1288,Ethernet208,leopard-1290,Ethernet208,200000,145,Access,off
leopard-1288,Ethernet212,leopard-1290,Ethernet212,200000,146,Access,off
leopard-1288,Ethernet216,leopard-1290,Ethernet216,200000,147,Access,off
leopard-1288,Ethernet220,leopard-1290,Ethernet220,200000,148,Access,off
leopard-1288,Ethernet224,leopard-1290,Ethernet224,200000,149,Access,off
leopard-1288,Ethernet228,leopard-1290,Ethernet228,200000,150,Access,off
leopard-1288,Ethernet232,leopard-1290,Ethernet236,200000,152,Access,on
leopard-1288,Ethernet236,leopard-1290,Ethernet232,200000,101-156,Trunk,on
leopard-1288,Ethernet240,leopard-1290,Ethernet240,200000,153,Access,off
leopard-1288,Ethernet244,leopard-1290,Ethernet244,200000,154,Access,off
leopard-1288,Ethernet248,leopard-1290,Ethernet248,200000,155,Access,off
leopard-1288,Ethernet252,leopard-1290,Ethernet252,200000,156,Access,off
leopard-1290,Ethernet232,fit-sonic-vrt-10,p4p1,100000,101-156,Trunk,on
