StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
leopard-1288,Ethernet0,leopard-1290,Ethernet0,200000,301,Access,off
leopard-1288,Ethernet4,leopard-1290,Ethernet4,200000,302,Access,off
leopard-1288,Ethernet8,leopard-1290,Ethernet8,200000,303,Access,off
leopard-1288,Ethernet12,leopard-1290,Ethernet12,200000,304,Access,off
leopard-1288,Ethernet16,leopard-1290,Ethernet16,200000,305,Access,off
leopard-1288,Ethernet20,leopard-1290,Ethernet20,200000,306,Access,off
leopard-1288,Ethernet24,leopard-1290,Ethernet24,200000,307,Access,off
leopard-1288,Ethernet28,leopard-1290,Ethernet28,200000,308,Access,off
leopard-1288,Ethernet32,leopard-1290,Ethernet32,200000,309,Access,off
leopard-1288,Ethernet36,leopard-1290,Ethernet36,200000,310,Access,off
leopard-1288,Ethernet40,leopard-1290,Ethernet40,200000,311,Access,off
leopard-1288,Ethernet44,leopard-1290,Ethernet44,200000,312,Access,off
leopard-1288,Ethernet48,leopard-1290,Ethernet48,200000,313,Access,off
leopard-1288,Ethernet52,leopard-1290,Ethernet52,200000,314,Access,off
leopard-1288,Ethernet56,leopard-1290,Ethernet56,200000,315,Access,off
leopard-1288,Ethernet60,leopard-1290,Ethernet60,200000,316,Access,off
leopard-1288,Ethernet64,leopard-1290,Ethernet64,200000,317,Access,off
leopard-1288,Ethernet68,leopard-1290,Ethernet68,200000,318,Access,off
leopard-1288,Ethernet72,leopard-1290,Ethernet72,200000,319,Access,off
leopard-1288,Ethernet76,leopard-1290,Ethernet76,200000,320,Access,off
leopard-1288,Ethernet80,leopard-1290,Ethernet80,200000,321,Access,off
leopard-1288,Ethernet84,leopard-1290,Ethernet84,200000,322,Access,off
leopard-1288,Ethernet88,leopard-1290,Ethernet88,200000,323,Access,off
leopard-1288,Ethernet92,leopard-1290,Ethernet92,200000,324,Access,off
leopard-1288,Ethernet96,leopard-1290,Ethernet96,200000,325,Access,off
leopard-1288,Ethernet100,leopard-1290,Ethernet100,200000,326,Access,off
leopard-1288,Ethernet104,leopard-1290,Ethernet104,200000,327,Access,off
leopard-1288,Ethernet108,leopard-1290,Ethernet108,200000,328,Access,off
leopard-1288,Ethernet112,leopard-1290,Ethernet112,200000,329,Access,off
leopard-1288,Ethernet116,leopard-1290,Ethernet116,200000,330,Access,off
leopard-1288,Ethernet120,leopard-1290,Ethernet120,200000,331,Access,off
leopard-1288,Ethernet124,leopard-1290,Ethernet124,200000,332,Access,off
leopard-1288,Ethernet128,leopard-1290,Ethernet128,200000,333,Access,off
leopard-1288,Ethernet132,leopard-1290,Ethernet132,200000,334,Access,off
leopard-1288,Ethernet136,leopard-1290,Ethernet136,200000,335,Access,off
leopard-1288,Ethernet140,leopard-1290,Ethernet140,200000,336,Access,off
leopard-1288,Ethernet144,leopard-1290,Ethernet144,200000,337,Access,off
leopard-1288,Ethernet148,leopard-1290,Ethernet148,200000,338,Access,off
leopard-1288,Ethernet152,leopard-1290,Ethernet152,200000,339,Access,off
leopard-1288,Ethernet156,leopard-1290,Ethernet156,200000,340,Access,off
leopard-1288,Ethernet160,leopard-1290,Ethernet160,200000,341,Access,off
leopard-1288,Ethernet164,leopard-1290,Ethernet164,200000,342,Access,off
leopard-1288,Ethernet168,leopard-1290,Ethernet168,200000,343,Access,off
leopard-1288,Ethernet172,leopard-1290,Ethernet172,200000,344,Access,off
leopard-1288,Ethernet176,leopard-1290,Ethernet176,200000,345,Access,off
leopard-1288,Ethernet180,leopard-1290,Ethernet180,200000,346,Access,off
leopard-1288,Ethernet184,leopard-1290,Ethernet184,200000,347,Access,off
leopard-1288,Ethernet188,leopard-1290,Ethernet188,200000,348,Access,off
leopard-1288,Ethernet192,leopard-1290,Ethernet192,200000,349,Access,off
leopard-1288,Ethernet196,leopard-1290,Ethernet196,200000,350,Access,off
leopard-1288,Ethernet200,leopard-1290,Ethernet200,200000,351,Access,off
leopard-1288,Ethernet204,leopard-1290,Ethernet204,200000,352,Access,off
leopard-1288,Ethernet208,leopard-1290,Ethernet208,200000,353,Access,off
leopard-1288,Ethernet212,leopard-1290,Ethernet212,200000,354,Access,off
leopard-1288,Ethernet216,leopard-1290,Ethernet216,200000,355,Access,off
leopard-1288,Ethernet220,leopard-1290,Ethernet220,200000,356,Access,off
leopard-1288,Ethernet224,leopard-1290,Ethernet224,200000,357,Access,off
leopard-1288,Ethernet228,leopard-1290,Ethernet228,200000,358,Access,off
leopard-1288,Ethernet232,leopard-1290,Ethernet236,200000,359,Access,on
leopard-1288,Ethernet236,leopard-1290,Ethernet232,200000,301-364,Trunk,on
leopard-1288,Ethernet240,leopard-1290,Ethernet240,200000,361,Access,off
leopard-1288,Ethernet244,leopard-1290,Ethernet244,200000,362,Access,off
leopard-1288,Ethernet248,leopard-1290,Ethernet248,200000,363,Access,off
leopard-1288,Ethernet252,leopard-1290,Ethernet252,200000,364,Access,off
leopard-1290,Ethernet232,fit-sonic-vrt-10,p4p1,100000,301-364,Trunk,on
