StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtbc-sonic-01-2410,Ethernet0,arc-switchmtbc02,ethernet 1/1/1,25000,101,Access
mtbc-sonic-01-2410,Ethernet4,arc-switchmtbc02,ethernet 1/1/2,25000,102,Access
mtbc-sonic-01-2410,Ethernet8,arc-switchmtbc02,ethernet 1/1/3,25000,103,Access
mtbc-sonic-01-2410,Ethernet12,arc-switchmtbc02,ethernet 1/1/4,25000,104,Access
mtbc-sonic-01-2410,Ethernet16,arc-switchmtbc02,ethernet 1/3/1,25000,105,Access
mtbc-sonic-01-2410,Ethernet20,arc-switchmtbc02,ethernet 1/3/2,25000,106,Access
mtbc-sonic-01-2410,Ethernet24,arc-switchmtbc02,ethernet 1/3/3,25000,107,Access
mtbc-sonic-01-2410,Ethernet28,arc-switchmtbc02,ethernet 1/3/4,25000,108,Access
mtbc-sonic-01-2410,Ethernet32,arc-switchmtbc02,ethernet 1/5/1,25000,109,Access
mtbc-sonic-01-2410,Ethernet36,arc-switchmtbc02,ethernet 1/5/2,25000,110,Access
mtbc-sonic-01-2410,Ethernet40,arc-switchmtbc02,ethernet 1/5/3,25000,111,Access
mtbc-sonic-01-2410,Ethernet44,arc-switchmtbc02,ethernet 1/5/4,25000,112,Access
mtbc-sonic-01-2410,Ethernet48,arc-switchmtbc02,ethernet 1/7/1,25000,113,Access
mtbc-sonic-01-2410,Ethernet52,arc-switchmtbc02,ethernet 1/7/2,25000,114,Access
mtbc-sonic-01-2410,Ethernet56,arc-switchmtbc02,ethernet 1/7/3,25000,115,Access
mtbc-sonic-01-2410,Ethernet60,arc-switchmtbc02,ethernet 1/7/4,25000,116,Access
mtbc-sonic-01-2410,Ethernet64,arc-switchmtbc02,ethernet 1/9/1,25000,117,Access
mtbc-sonic-01-2410,Ethernet68,arc-switchmtbc02,ethernet 1/9/2,25000,118,Access
mtbc-sonic-01-2410,Ethernet72,arc-switchmtbc02,ethernet 1/9/3,25000,119,Access
mtbc-sonic-01-2410,Ethernet76,arc-switchmtbc02,ethernet 1/9/4,25000,120,Access
mtbc-sonic-01-2410,Ethernet80,arc-switchmtbc02,ethernet 1/11/1,25000,121,Access
mtbc-sonic-01-2410,Ethernet84,arc-switchmtbc02,ethernet 1/11/2,25000,122,Access
mtbc-sonic-01-2410,Ethernet88,arc-switchmtbc02,ethernet 1/11/3,25000,123,Access
mtbc-sonic-01-2410,Ethernet92,arc-switchmtbc02,ethernet 1/11/4,25000,124,Access
mtbc-sonic-01-2410,Ethernet96,arc-switchmtbc02,ethernet 1/13/1,25000,125,Access
mtbc-sonic-01-2410,Ethernet100,arc-switchmtbc02,ethernet 1/13/2,25000,126,Access
mtbc-sonic-01-2410,Ethernet104,arc-switchmtbc02,ethernet 1/13/3,25000,127,Access
mtbc-sonic-01-2410,Ethernet108,arc-switchmtbc02,ethernet 1/13/4,25000,128,Access
mtbc-sonic-01-2410,Ethernet112,arc-switchmtbc02,ethernet 1/15/1,25000,129,Access
mtbc-sonic-01-2410,Ethernet116,arc-switchmtbc02,ethernet 1/15/2,25000,130,Access
mtbc-sonic-01-2410,Ethernet120,arc-switchmtbc02,ethernet 1/15/3,25000,131,Access
mtbc-sonic-01-2410,Ethernet124,arc-switchmtbc02,ethernet 1/15/4,25000,132,Access
arc-switchmtbc02,ethernet 1/32,dev-r730-01,p6p2,100000,101-132,Trunk
