StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
mtvr-bison-02,Ethernet0,mtvr-moose-11,Ethernet0,100000,101,Access,on
mtvr-bison-02,Ethernet1,mtvr-moose-11,Ethernet1,100000,102,Access,on
mtvr-bison-02,Ethernet2,mtvr-moose-11,Ethernet2,100000,103,Access,on
mtvr-bison-02,Ethernet3,mtvr-moose-11,Ethernet3,100000,104,Access,on
mtvr-bison-02,Ethernet4,mtvr-moose-11,Ethernet4,100000,105,Access,on
mtvr-bison-02,Ethernet5,mtvr-moose-11,Ethernet5,100000,106,Access,on
mtvr-bison-02,Ethernet6,mtvr-moose-11,Ethernet6,100000,107,Access,on
mtvr-bison-02,Ethernet7,mtvr-moose-11,Ethernet7,100000,108,Access,on
mtvr-bison-02,Ethernet16,mtvr-moose-11,Ethernet16,100000,109,Access,on
mtvr-bison-02,Ethernet17,mtvr-moose-11,Ethernet17,100000,110,Access,on
mtvr-bison-02,Ethernet18,mtvr-moose-11,Ethernet18,100000,111,Access,on
mtvr-bison-02,Ethernet19,mtvr-moose-11,Ethernet19,100000,112,Access,on
mtvr-bison-02,Ethernet20,mtvr-moose-11,Ethernet20,100000,113,Access,on
mtvr-bison-02,Ethernet21,mtvr-moose-11,Ethernet21,100000,114,Access,on
mtvr-bison-02,Ethernet22,mtvr-moose-11,Ethernet22,100000,115,Access,on
mtvr-bison-02,Ethernet23,mtvr-moose-11,Ethernet23,100000,116,Access,on
mtvr-bison-02,Ethernet32,mtvr-moose-11,Ethernet32,100000,117,Access,on
mtvr-bison-02,Ethernet33,mtvr-moose-11,Ethernet33,100000,118,Access,on
mtvr-bison-02,Ethernet34,mtvr-moose-11,Ethernet34,100000,119,Access,on
mtvr-bison-02,Ethernet35,mtvr-moose-11,Ethernet35,100000,120,Access,on
mtvr-bison-02,Ethernet36,mtvr-moose-11,Ethernet36,100000,121,Access,on
mtvr-bison-02,Ethernet37,mtvr-moose-11,Ethernet37,100000,122,Access,on
mtvr-bison-02,Ethernet38,mtvr-moose-11,Ethernet38,100000,123,Access,on
mtvr-bison-02,Ethernet39,mtvr-moose-11,Ethernet39,100000,124,Access,on
mtvr-bison-02,Ethernet48,mtvr-moose-11,Ethernet48,100000,125,Access,on
mtvr-bison-02,Ethernet49,mtvr-moose-11,Ethernet49,100000,126,Access,on
mtvr-bison-02,Ethernet50,mtvr-moose-11,Ethernet50,100000,127,Access,on
mtvr-bison-02,Ethernet51,mtvr-moose-11,Ethernet51,100000,128,Access,on
mtvr-bison-02,Ethernet52,mtvr-moose-11,Ethernet52,100000,129,Access,on
mtvr-bison-02,Ethernet53,mtvr-moose-11,Ethernet53,100000,130,Access,on
mtvr-bison-02,Ethernet54,mtvr-moose-11,Ethernet54,100000,131,Access,on
mtvr-bison-02,Ethernet55,mtvr-moose-11,Ethernet55,100000,132,Access,on
mtvr-bison-02,Ethernet64,mtvr-moose-11,Ethernet64,100000,133,Access,on
mtvr-bison-02,Ethernet65,mtvr-moose-11,Ethernet65,100000,134,Access,on
mtvr-bison-02,Ethernet66,mtvr-moose-11,Ethernet66,100000,135,Access,on
mtvr-bison-02,Ethernet67,mtvr-moose-11,Ethernet67,100000,136,Access,on
mtvr-bison-02,Ethernet68,mtvr-moose-11,Ethernet68,100000,137,Access,on
mtvr-bison-02,Ethernet69,mtvr-moose-11,Ethernet69,100000,138,Access,on
mtvr-bison-02,Ethernet70,mtvr-moose-11,Ethernet70,100000,139,Access,on
mtvr-bison-02,Ethernet71,mtvr-moose-11,Ethernet71,100000,140,Access,on
mtvr-bison-02,Ethernet80,mtvr-moose-11,Ethernet80,100000,141,Access,on
mtvr-bison-02,Ethernet81,mtvr-moose-11,Ethernet81,100000,142,Access,on
mtvr-bison-02,Ethernet82,mtvr-moose-11,Ethernet82,100000,143,Access,on
mtvr-bison-02,Ethernet83,mtvr-moose-11,Ethernet83,100000,144,Access,on
mtvr-bison-02,Ethernet84,mtvr-moose-11,Ethernet84,100000,145,Access,on
mtvr-bison-02,Ethernet85,mtvr-moose-11,Ethernet85,100000,146,Access,on
mtvr-bison-02,Ethernet86,mtvr-moose-11,Ethernet86,100000,147,Access,on
mtvr-bison-02,Ethernet87,mtvr-moose-11,Ethernet87,100000,148,Access,on
mtvr-bison-02,Ethernet96,mtvr-moose-11,Ethernet96,400000,149,Access,on
mtvr-bison-02,Ethernet100,mtvr-moose-11,Ethernet100,400000,153,Access,on
mtvr-bison-02,Ethernet112,mtvr-moose-11,Ethernet112,100000,157,Access,on
mtvr-bison-02,Ethernet113,mtvr-moose-11,Ethernet113,100000,158,Access,on
mtvr-bison-02,Ethernet114,mtvr-moose-11,Ethernet114,100000,159,Access,on
mtvr-bison-02,Ethernet115,mtvr-moose-11,Ethernet115,100000,160,Access,on
mtvr-bison-02,Ethernet116,mtvr-moose-11,Ethernet116,100000,161,Access,on
mtvr-bison-02,Ethernet117,mtvr-moose-11,Ethernet117,100000,162,Access,on
mtvr-bison-02,Ethernet118,mtvr-moose-11,Ethernet118,100000,163,Access,on
mtvr-bison-02,Ethernet119,mtvr-moose-11,Ethernet119,100000,164,Access,on
mtvr-bison-02,Ethernet128,mtvr-moose-11,Ethernet128,400000,165,Access,on
mtvr-bison-02,Ethernet132,mtvr-moose-11,Ethernet132,400000,169,Access,on
mtvr-bison-02,Ethernet146,mtvr-moose-11,Ethernet146,100000,175,Access,on
mtvr-bison-02,Ethernet147,mtvr-moose-11,Ethernet147,100000,176,Access,on
mtvr-bison-02,Ethernet148,mtvr-moose-11,Ethernet148,100000,177,Access,on
mtvr-bison-02,Ethernet149,mtvr-moose-11,Ethernet149,100000,178,Access,on
mtvr-bison-02,Ethernet150,mtvr-moose-11,Ethernet150,100000,179,Access,on
mtvr-bison-02,Ethernet151,mtvr-moose-11,Ethernet151,100000,180,Access,on
mtvr-bison-02,Ethernet160,mtvr-moose-11,Ethernet160,100000,181,Access,on
mtvr-bison-02,Ethernet161,mtvr-moose-11,Ethernet161,100000,182,Access,on
mtvr-bison-02,Ethernet162,mtvr-moose-11,Ethernet162,100000,183,Access,on
mtvr-bison-02,Ethernet163,mtvr-moose-11,Ethernet163,100000,184,Access,on
mtvr-bison-02,Ethernet164,mtvr-moose-11,Ethernet164,100000,185,Access,on
mtvr-bison-02,Ethernet165,mtvr-moose-11,Ethernet165,100000,186,Access,on
mtvr-bison-02,Ethernet166,mtvr-moose-11,Ethernet166,100000,187,Access,on
mtvr-bison-02,Ethernet167,mtvr-moose-11,Ethernet167,100000,188,Access,on
mtvr-bison-02,Ethernet176,mtvr-moose-11,Ethernet176,100000,189,Access,on
mtvr-bison-02,Ethernet177,mtvr-moose-11,Ethernet177,100000,190,Access,on
mtvr-bison-02,Ethernet178,mtvr-moose-11,Ethernet178,100000,191,Access,on
mtvr-bison-02,Ethernet179,mtvr-moose-11,Ethernet179,100000,192,Access,on
mtvr-bison-02,Ethernet180,mtvr-moose-11,Ethernet180,100000,193,Access,on
mtvr-bison-02,Ethernet181,mtvr-moose-11,Ethernet181,100000,194,Access,on
mtvr-bison-02,Ethernet182,mtvr-moose-11,Ethernet182,100000,195,Access,on
mtvr-bison-02,Ethernet183,mtvr-moose-11,Ethernet183,100000,196,Access,on
mtvr-bison-02,Ethernet192,mtvr-moose-11,Ethernet192,100000,197,Access,on
mtvr-bison-02,Ethernet193,mtvr-moose-11,Ethernet193,100000,198,Access,on
mtvr-bison-02,Ethernet194,mtvr-moose-11,Ethernet194,100000,199,Access,on
mtvr-bison-02,Ethernet195,mtvr-moose-11,Ethernet195,100000,200,Access,on
mtvr-bison-02,Ethernet196,mtvr-moose-11,Ethernet196,100000,201,Access,on
mtvr-bison-02,Ethernet197,mtvr-moose-11,Ethernet197,100000,202,Access,on
mtvr-bison-02,Ethernet198,mtvr-moose-11,Ethernet198,100000,203,Access,on
mtvr-bison-02,Ethernet199,mtvr-moose-11,Ethernet199,100000,204,Access,on
mtvr-bison-02,Ethernet208,mtvr-moose-11,Ethernet208,100000,205,Access,on
mtvr-bison-02,Ethernet209,mtvr-moose-11,Ethernet209,100000,206,Access,on
mtvr-bison-02,Ethernet210,mtvr-moose-11,Ethernet210,100000,207,Access,on
mtvr-bison-02,Ethernet211,mtvr-moose-11,Ethernet211,100000,208,Access,on
mtvr-bison-02,Ethernet212,mtvr-moose-11,Ethernet212,100000,209,Access,on
mtvr-bison-02,Ethernet213,mtvr-moose-11,Ethernet213,100000,210,Access,on
