StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtvr-hippo-03,Ethernet0,mtvr-leopard-04,Ethernet0,200000,101,Access
mtvr-hippo-03,Ethernet8,mtvr-leopard-04,Ethernet8,200000,102,Access
mtvr-hippo-03,Ethernet16,mtvr-leopard-04,Ethernet16,200000,103,Access
mtvr-hippo-03,Ethernet24,mtvr-leopard-04,Ethernet24,200000,104,Access
mtvr-hippo-03,Ethernet32,mtvr-leopard-04,Ethernet32,200000,105,Access
mtvr-hippo-03,Ethernet40,mtvr-leopard-04,Ethernet40,200000,106,Access
mtvr-hippo-03,Ethernet48,mtvr-leopard-04,Ethernet48,200000,107,Access
mtvr-hippo-03,Ethernet56,mtvr-leopard-04,Ethernet56,200000,108,Access
mtvr-hippo-03,Ethernet64,mtvr-leopard-04,Ethernet64,200000,109,Access
mtvr-hippo-03,Ethernet72,mtvr-leopard-04,Ethernet72,200000,110,Access
mtvr-hippo-03,Ethernet80,mtvr-leopard-04,Ethernet80,200000,111,Access
mtvr-hippo-03,Ethernet88,mtvr-leopard-04,Ethernet88,200000,112,Access
mtvr-hippo-03,Ethernet96,mtvr-leopard-04,Ethernet96,200000,113,Access
mtvr-hippo-03,Ethernet104,mtvr-leopard-04,Ethernet104,200000,114,Access
mtvr-hippo-03,Ethernet112,mtvr-leopard-04,Ethernet112,200000,115,Access
mtvr-hippo-03,Ethernet120,mtvr-leopard-04,Ethernet120,200000,116,Access
mtvr-hippo-03,Ethernet128,mtvr-leopard-04,Ethernet128,200000,117,Access
mtvr-hippo-03,Ethernet136,mtvr-leopard-04,Ethernet136,200000,118,Access
mtvr-hippo-03,Ethernet144,mtvr-leopard-04,Ethernet144,200000,119,Access
mtvr-hippo-03,Ethernet152,mtvr-leopard-04,Ethernet152,200000,120,Access
mtvr-hippo-03,Ethernet160,mtvr-leopard-04,Ethernet160,200000,121,Access
mtvr-hippo-03,Ethernet168,mtvr-leopard-04,Ethernet168,200000,122,Access
mtvr-hippo-03,Ethernet176,mtvr-leopard-04,Ethernet176,200000,123,Access
mtvr-hippo-03,Ethernet184,mtvr-leopard-04,Ethernet184,200000,124,Access
mtvr-hippo-03,Ethernet192,mtvr-leopard-04,Ethernet192,200000,125,Access
mtvr-hippo-03,Ethernet200,mtvr-leopard-04,Ethernet200,200000,126,Access
mtvr-hippo-03,Ethernet208,mtvr-leopard-04,Ethernet208,200000,127,Access
mtvr-hippo-03,Ethernet216,mtvr-leopard-04,Ethernet216,200000,128,Access
mtvr-hippo-03,Ethernet224,mtvr-leopard-04,Ethernet224,200000,129,Access
mtvr-hippo-03,Ethernet232,mtvr-leopard-04,Ethernet232,200000,130,Access
mtvr-hippo-03,Ethernet240,mtvr-leopard-04,Ethernet240,200000,131,Access
mtvr-hippo-03,Ethernet248,mtvr-leopard-04,Ethernet244,200000,132,Access
mtvr-leopard-04,Ethernet248,mtvr-r740-05,p1p1,200000,101-132,Trunk
