StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtvr-leopard-01,Ethernet0,mtvr-leopard-02,ethernet 1/1,400000,101,Access  
mtvr-leopard-01,Ethernet8,mtvr-leopard-02,ethernet 1/2,400000,102,Access  
mtvr-leopard-01,Ethernet16,mtvr-leopard-02,ethernet 1/3,400000,103,Access 
mtvr-leopard-01,Ethernet24,mtvr-leopard-02,ethernet 1/4,400000,104,Access 
mtvr-leopard-01,Ethernet32,mtvr-leopard-02,ethernet 1/5,400000,105,Access 
mtvr-leopard-01,Ethernet40,mtvr-leopard-02,ethernet 1/6,400000,106,Access 
mtvr-leopard-01,Ethernet48,mtvr-leopard-02,ethernet 1/7,400000,107,Access 
mtvr-leopard-01,Ethernet56,mtvr-leopard-02,ethernet 1/8,400000,108,Access 
mtvr-leopard-01,Ethernet64,mtvr-leopard-02,ethernet 1/9,400000,109,Access 
mtvr-leopard-01,Ethernet72,mtvr-leopard-02,ethernet 1/10,400000,110,Access
mtvr-leopard-01,Ethernet80,mtvr-leopard-02,ethernet 1/11,400000,111,Access
mtvr-leopard-01,Ethernet88,mtvr-leopard-02,ethernet 1/12,400000,112,Access
mtvr-leopard-01,Ethernet96,mtvr-leopard-02,ethernet 1/13,400000,113,Access
mtvr-leopard-01,Ethernet104,mtvr-leopard-02,ethernet 1/14,400000,114,Access
mtvr-leopard-01,Ethernet112,mtvr-leopard-02,ethernet 1/15,400000,115,Access
mtvr-leopard-01,Ethernet120,mtvr-leopard-02,ethernet 1/16,400000,116,Access
mtvr-leopard-01,Ethernet128,mtvr-leopard-02,ethernet 1/17,400000,117,Access
mtvr-leopard-01,Ethernet136,mtvr-leopard-02,ethernet 1/18,400000,118,Access
mtvr-leopard-01,Ethernet144,mtvr-leopard-02,ethernet 1/19,400000,119,Access
mtvr-leopard-01,Ethernet152,mtvr-leopard-02,ethernet 1/20,400000,120,Access
mtvr-leopard-01,Ethernet160,mtvr-leopard-02,ethernet 1/21,400000,121,Access
mtvr-leopard-01,Ethernet168,mtvr-leopard-02,ethernet 1/22,400000,122,Access
mtvr-leopard-01,Ethernet176,mtvr-leopard-02,ethernet 1/23,400000,123,Access
mtvr-leopard-01,Ethernet184,mtvr-leopard-02,ethernet 1/24,400000,124,Access
mtvr-leopard-01,Ethernet192,mtvr-leopard-02,ethernet 1/25,400000,125,Access
mtvr-leopard-01,Ethernet200,mtvr-leopard-02,ethernet 1/26,400000,126,Access
mtvr-leopard-01,Ethernet208,mtvr-leopard-02,ethernet 1/27,400000,127,Access
mtvr-leopard-01,Ethernet216,mtvr-leopard-02,ethernet 1/28,400000,128,Access
mtvr-leopard-02,ethernet 1/32,mtvr-r740-04,enp135s0f0,100000,101-132,Trunk
