StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
mtvr-moose-04,Ethernet0,mtvr-liger-03,Ethernet0,200000,101,Access,True
mtvr-moose-04,Ethernet8,mtvr-liger-03,Ethernet4,200000,102,Access,True
mtvr-moose-04,Ethernet16,mtvr-liger-03,Ethernet8,200000,103,Access,True
mtvr-moose-04,Ethernet24,mtvr-liger-03,Ethernet12,200000,104,Access,True
mtvr-moose-04,Ethernet32,mtvr-liger-03,Ethernet16,200000,105,Access,True
mtvr-moose-04,Ethernet40,mtvr-liger-03,Ethernet20,200000,106,Access,True
mtvr-moose-04,Ethernet48,mtvr-liger-03,Ethernet24,200000,107,Access,True
mtvr-moose-04,Ethernet56,mtvr-liger-03,Ethernet28,200000,108,Access,True
mtvr-moose-04,Ethernet64,mtvr-liger-03,Ethernet32,200000,109,Access,True
mtvr-moose-04,Ethernet72,mtvr-liger-03,Ethernet36,200000,110,Access,True
mtvr-moose-04,Ethernet80,mtvr-liger-03,Ethernet40,200000,111,Access,True
mtvr-moose-04,Ethernet88,mtvr-liger-03,Ethernet44,200000,112,Access,True
mtvr-moose-04,Ethernet96,mtvr-liger-03,Ethernet48,200000,113,Access,True
mtvr-moose-04,Ethernet104,mtvr-liger-03,Ethernet52,200000,114,Access,True
mtvr-moose-04,Ethernet112,mtvr-liger-03,Ethernet56,200000,115,Access,True
mtvr-moose-04,Ethernet120,mtvr-liger-03,Ethernet60,200000,116,Access,True
mtvr-moose-04,Ethernet128,mtvr-liger-03,Ethernet64,200000,117,Access,True
mtvr-moose-04,Ethernet136,mtvr-liger-03,Ethernet68,200000,118,Access,True
mtvr-moose-04,Ethernet144,mtvr-liger-03,Ethernet72,200000,119,Access,True
mtvr-moose-04,Ethernet152,mtvr-liger-03,Ethernet76,200000,120,Access,True
mtvr-moose-04,Ethernet160,mtvr-liger-03,Ethernet80,200000,121,Access,True
mtvr-moose-04,Ethernet168,mtvr-liger-03,Ethernet84,200000,122,Access,True
mtvr-moose-04,Ethernet176,mtvr-liger-03,Ethernet88,200000,123,Access,True
mtvr-moose-04,Ethernet184,mtvr-liger-03,Ethernet92,200000,124,Access,True
mtvr-moose-04,Ethernet192,mtvr-liger-03,Ethernet96,200000,125,Access,False
mtvr-moose-04,Ethernet200,mtvr-liger-03,Ethernet100,200000,126,Access,True
mtvr-moose-04,Ethernet208,mtvr-liger-03,Ethernet104,200000,127,Access,False
mtvr-moose-04,Ethernet216,mtvr-liger-03,Ethernet108,200000,128,Access,True
mtvr-moose-04,Ethernet224,mtvr-liger-03,Ethernet112,200000,129,Access,True
mtvr-moose-04,Ethernet232,mtvr-liger-03,Ethernet116,200000,130,Access,True
mtvr-moose-04,Ethernet240,mtvr-liger-03,Ethernet120,200000,131,Access,True
mtvr-moose-04,Ethernet248,mtvr-liger-03,Ethernet124,200000,132,Access,True
mtvr-moose-04,Ethernet256,mtvr-liger-03,Ethernet128,200000,133,Access,True
mtvr-moose-04,Ethernet264,mtvr-liger-03,Ethernet132,200000,134,Access,True
mtvr-moose-04,Ethernet272,mtvr-liger-03,Ethernet136,200000,135,Access,True
mtvr-moose-04,Ethernet280,mtvr-liger-03,Ethernet140,200000,136,Access,True
mtvr-moose-04,Ethernet288,mtvr-liger-03,Ethernet144,200000,137,Access,True
mtvr-moose-04,Ethernet296,mtvr-liger-03,Ethernet148,200000,138,Access,True
mtvr-moose-04,Ethernet304,mtvr-liger-03,Ethernet152,200000,139,Access,True
mtvr-moose-04,Ethernet312,mtvr-liger-03,Ethernet156,200000,140,Access,True
mtvr-moose-04,Ethernet320,mtvr-liger-03,Ethernet160,200000,141,Access,True
mtvr-moose-04,Ethernet328,mtvr-liger-03,Ethernet164,200000,142,Access,True
mtvr-moose-04,Ethernet336,mtvr-liger-03,Ethernet168,200000,143,Access,True
mtvr-moose-04,Ethernet344,mtvr-liger-03,Ethernet172,200000,144,Access,True
mtvr-moose-04,Ethernet352,mtvr-liger-03,Ethernet176,200000,145,Access,True
mtvr-moose-04,Ethernet360,mtvr-liger-03,Ethernet180,200000,146,Access,True
mtvr-moose-04,Ethernet368,mtvr-liger-03,Ethernet184,200000,147,Access,True
mtvr-moose-04,Ethernet376,mtvr-liger-03,Ethernet188,200000,148,Access,True
mtvr-moose-04,Ethernet384,mtvr-liger-03,Ethernet192,200000,149,Access,True
mtvr-moose-04,Ethernet392,mtvr-liger-03,Ethernet196,200000,150,Access,True
mtvr-moose-04,Ethernet400,mtvr-liger-03,Ethernet200,200000,151,Access,True
mtvr-moose-04,Ethernet408,mtvr-liger-03,Ethernet204,200000,152,Access,True
mtvr-moose-04,Ethernet416,mtvr-liger-03,Ethernet208,200000,153,Access,True
mtvr-moose-04,Ethernet424,mtvr-liger-03,Ethernet212,200000,154,Access,True
mtvr-moose-04,Ethernet432,mtvr-liger-03,Ethernet216,200000,155,Access,True
mtvr-moose-04,Ethernet440,mtvr-liger-03,Ethernet220,200000,156,Access,True
mtvr-moose-04,Ethernet448,mtvr-liger-03,Ethernet224,200000,157,Access,True
mtvr-moose-04,Ethernet456,mtvr-liger-03,Ethernet228,200000,158,Access,True
mtvr-moose-04,Ethernet464,mtvr-liger-03,Ethernet232,200000,159,Access,True
mtvr-moose-04,Ethernet472,mtvr-liger-03,Ethernet236,200000,160,Access,True
mtvr-moose-04,Ethernet480,mtvr-liger-03,Ethernet240,200000,161,Access,True
mtvr-moose-04,Ethernet488,mtvr-liger-03,Ethernet244,200000,162,Access,True
mtvr-moose-04,Ethernet496,mtvr-liger-03,Ethernet248,200000,163,Access,True
mtvr-moose-04,Ethernet504,mtvr-liger-03,Ethernet252,200000,164,Access,True
mtvr-liger-03,Ethernet252,mtvr-r740-01,p3p1,200000,101-164,Trunk
