StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
mtvr-moose-04,Ethernet0,mtvr-moose-15,Ethernet0,200000,101,Access,on
mtvr-moose-04,Ethernet2,mtvr-moose-15,Ethernet2,200000,102,Access,on
mtvr-moose-04,Ethernet4,mtvr-moose-15,Ethernet4,200000,103,Access,on
mtvr-moose-04,Ethernet6,mtvr-moose-15,Ethernet6,200000,104,Access,on
mtvr-moose-04,Ethernet8,mtvr-moose-15,Ethernet8,200000,105,Access,on
mtvr-moose-04,Ethernet10,mtvr-moose-15,Ethernet10,200000,106,Access,on
mtvr-moose-04,Ethernet12,mtvr-moose-15,Ethernet12,200000,107,Access,on
mtvr-moose-04,Ethernet14,mtvr-moose-15,Ethernet14,200000,108,Access,on
mtvr-moose-04,Ethernet16,mtvr-moose-15,Ethernet16,200000,109,Access,on
mtvr-moose-04,Ethernet18,mtvr-moose-15,Ethernet18,200000,110,Access,on
mtvr-moose-04,Ethernet20,mtvr-moose-15,Ethernet20,200000,111,Access,on
mtvr-moose-04,Ethernet22,mtvr-moose-15,Ethernet22,200000,112,Access,on
mtvr-moose-04,Ethernet24,mtvr-moose-15,Ethernet24,200000,113,Access,on
mtvr-moose-04,Ethernet26,mtvr-moose-15,Ethernet26,200000,114,Access,on
mtvr-moose-04,Ethernet28,mtvr-moose-15,Ethernet28,200000,115,Access,on
mtvr-moose-04,Ethernet30,mtvr-moose-15,Ethernet30,200000,116,Access,on
mtvr-moose-04,Ethernet32,mtvr-moose-15,Ethernet32,200000,117,Access,on
mtvr-moose-04,Ethernet34,mtvr-moose-15,Ethernet34,200000,118,Access,on
mtvr-moose-04,Ethernet36,mtvr-moose-15,Ethernet36,200000,119,Access,on
mtvr-moose-04,Ethernet38,mtvr-moose-15,Ethernet38,200000,120,Access,on
mtvr-moose-04,Ethernet40,mtvr-moose-15,Ethernet40,200000,121,Access,on
mtvr-moose-04,Ethernet42,mtvr-moose-15,Ethernet42,200000,122,Access,on
mtvr-moose-04,Ethernet44,mtvr-moose-15,Ethernet44,200000,123,Access,on
mtvr-moose-04,Ethernet46,mtvr-moose-15,Ethernet46,200000,124,Access,on
mtvr-moose-04,Ethernet48,mtvr-moose-15,Ethernet48,200000,125,Access,on
mtvr-moose-04,Ethernet50,mtvr-moose-15,Ethernet50,200000,126,Access,on
mtvr-moose-04,Ethernet52,mtvr-moose-15,Ethernet52,200000,127,Access,on
mtvr-moose-04,Ethernet54,mtvr-moose-15,Ethernet54,200000,128,Access,on
mtvr-moose-04,Ethernet56,mtvr-moose-15,Ethernet56,200000,129,Access,on
mtvr-moose-04,Ethernet58,mtvr-moose-15,Ethernet58,200000,130,Access,on
mtvr-moose-04,Ethernet60,mtvr-moose-15,Ethernet60,200000,131,Access,on
mtvr-moose-04,Ethernet62,mtvr-moose-15,Ethernet62,200000,132,Access,on
mtvr-moose-04,Ethernet64,mtvr-moose-15,Ethernet64,200000,133,Access,on
mtvr-moose-04,Ethernet66,mtvr-moose-15,Ethernet66,200000,134,Access,on
mtvr-moose-04,Ethernet68,mtvr-moose-15,Ethernet68,200000,135,Access,on
mtvr-moose-04,Ethernet70,mtvr-moose-15,Ethernet70,200000,136,Access,on
mtvr-moose-04,Ethernet72,mtvr-moose-15,Ethernet72,200000,137,Access,on
mtvr-moose-04,Ethernet74,mtvr-moose-15,Ethernet74,200000,138,Access,on
mtvr-moose-04,Ethernet76,mtvr-moose-15,Ethernet76,200000,139,Access,on
mtvr-moose-04,Ethernet78,mtvr-moose-15,Ethernet78,200000,140,Access,on
mtvr-moose-04,Ethernet80,mtvr-moose-15,Ethernet80,200000,141,Access,on
mtvr-moose-04,Ethernet82,mtvr-moose-15,Ethernet82,200000,142,Access,on
mtvr-moose-04,Ethernet84,mtvr-moose-15,Ethernet84,200000,143,Access,on
mtvr-moose-04,Ethernet86,mtvr-moose-15,Ethernet86,200000,144,Access,on
mtvr-moose-04,Ethernet88,mtvr-moose-15,Ethernet88,200000,145,Access,on
mtvr-moose-04,Ethernet90,mtvr-moose-15,Ethernet90,200000,146,Access,on
mtvr-moose-04,Ethernet92,mtvr-moose-15,Ethernet92,200000,147,Access,on
mtvr-moose-04,Ethernet94,mtvr-moose-15,Ethernet94,200000,148,Access,on
mtvr-moose-04,Ethernet96,mtvr-moose-15,Ethernet96,200000,149,Access,on
mtvr-moose-04,Ethernet98,mtvr-moose-15,Ethernet98,200000,150,Access,on
mtvr-moose-04,Ethernet100,mtvr-moose-15,Ethernet100,200000,151,Access,on
mtvr-moose-04,Ethernet102,mtvr-moose-15,Ethernet102,200000,152,Access,on
mtvr-moose-04,Ethernet104,mtvr-moose-15,Ethernet104,200000,153,Access,on
