StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
mtvr-moose-13,Ethernet0,mtvr-leopard-05,Ethernet0,50000,101,Access,True
mtvr-moose-13,Ethernet1,mtvr-leopard-05,Ethernet1,50000,102,Access,True
mtvr-moose-13,Ethernet2,mtvr-leopard-05,Ethernet2,50000,103,Access,True
mtvr-moose-13,Ethernet3,mtvr-leopard-05,Ethernet3,50000,104,Access,True
mtvr-moose-13,Ethernet4,mtvr-leopard-05,Ethernet4,50000,105,Access,True
mtvr-moose-13,Ethernet5,mtvr-leopard-05,Ethernet5,50000,106,Access,True
mtvr-moose-13,Ethernet6,mtvr-leopard-05,Ethernet6,50000,107,Access,True
mtvr-moose-13,Ethernet7,mtvr-leopard-05,Ethernet7,50000,108,Access,True
mtvr-moose-13,Ethernet16,mtvr-leopard-05,Ethernet16,50000,109,Access,True
mtvr-moose-13,Ethernet17,mtvr-leopard-05,Ethernet17,50000,110,Access,True
mtvr-moose-13,Ethernet18,mtvr-leopard-05,Ethernet18,50000,111,Access,True
mtvr-moose-13,Ethernet19,mtvr-leopard-05,Ethernet19,50000,112,Access,True
mtvr-moose-13,Ethernet20,mtvr-leopard-05,Ethernet20,50000,113,Access,True
mtvr-moose-13,Ethernet21,mtvr-leopard-05,Ethernet21,50000,114,Access,True
mtvr-moose-13,Ethernet22,mtvr-leopard-05,Ethernet22,50000,115,Access,True
mtvr-moose-13,Ethernet23,mtvr-leopard-05,Ethernet23,50000,116,Access,True
mtvr-moose-13,Ethernet32,mtvr-leopard-05,Ethernet32,50000,117,Access,True
mtvr-moose-13,Ethernet33,mtvr-leopard-05,Ethernet33,50000,118,Access,True
mtvr-moose-13,Ethernet34,mtvr-leopard-05,Ethernet34,50000,119,Access,True
mtvr-moose-13,Ethernet35,mtvr-leopard-05,Ethernet35,50000,120,Access,True
mtvr-moose-13,Ethernet36,mtvr-leopard-05,Ethernet36,50000,121,Access,True
mtvr-moose-13,Ethernet37,mtvr-leopard-05,Ethernet37,50000,122,Access,True
mtvr-moose-13,Ethernet38,mtvr-leopard-05,Ethernet38,50000,123,Access,True
mtvr-moose-13,Ethernet39,mtvr-leopard-05,Ethernet39,50000,124,Access,True
mtvr-moose-13,Ethernet48,mtvr-leopard-05,Ethernet48,50000,125,Access,True
mtvr-moose-13,Ethernet49,mtvr-leopard-05,Ethernet49,50000,126,Access,True
mtvr-moose-13,Ethernet50,mtvr-leopard-05,Ethernet50,50000,127,Access,True
mtvr-moose-13,Ethernet51,mtvr-leopard-05,Ethernet51,50000,128,Access,True
mtvr-moose-13,Ethernet52,mtvr-leopard-05,Ethernet52,50000,129,Access,True
mtvr-moose-13,Ethernet53,mtvr-leopard-05,Ethernet53,50000,130,Access,True
mtvr-moose-13,Ethernet54,mtvr-leopard-05,Ethernet54,50000,131,Access,True
mtvr-moose-13,Ethernet55,mtvr-leopard-05,Ethernet55,50000,132,Access,True
mtvr-moose-13,Ethernet64,mtvr-leopard-05,Ethernet64,50000,133,Access,True
mtvr-moose-13,Ethernet65,mtvr-leopard-05,Ethernet65,50000,134,Access,True
mtvr-moose-13,Ethernet66,mtvr-leopard-05,Ethernet66,50000,135,Access,True
mtvr-moose-13,Ethernet67,mtvr-leopard-05,Ethernet67,50000,136,Access,True
mtvr-moose-13,Ethernet68,mtvr-leopard-05,Ethernet68,50000,137,Access,True
mtvr-moose-13,Ethernet69,mtvr-leopard-05,Ethernet69,50000,138,Access,True
mtvr-moose-13,Ethernet70,mtvr-leopard-05,Ethernet70,50000,139,Access,True
mtvr-moose-13,Ethernet71,mtvr-leopard-05,Ethernet71,50000,140,Access,True
mtvr-moose-13,Ethernet80,mtvr-leopard-05,Ethernet80,50000,141,Access,True
mtvr-moose-13,Ethernet81,mtvr-leopard-05,Ethernet81,50000,142,Access,True
mtvr-moose-13,Ethernet82,mtvr-leopard-05,Ethernet82,50000,143,Access,True
mtvr-moose-13,Ethernet83,mtvr-leopard-05,Ethernet83,50000,144,Access,True
mtvr-moose-13,Ethernet84,mtvr-leopard-05,Ethernet84,50000,145,Access,True
mtvr-moose-13,Ethernet85,mtvr-leopard-05,Ethernet85,50000,146,Access,True
mtvr-moose-13,Ethernet86,mtvr-leopard-05,Ethernet86,50000,147,Access,True
mtvr-moose-13,Ethernet87,mtvr-leopard-05,Ethernet87,50000,148,Access,True
mtvr-moose-13,Ethernet96,mtvr-leopard-05,Ethernet96,100000,149,Access,True
mtvr-moose-13,Ethernet100,mtvr-leopard-05,Ethernet100,100000,150,Access,True
mtvr-moose-13,Ethernet112,mtvr-leopard-05,Ethernet112,50000,151,Access,True
mtvr-moose-13,Ethernet113,mtvr-leopard-05,Ethernet113,50000,152,Access,True
mtvr-moose-13,Ethernet114,mtvr-leopard-05,Ethernet114,50000,153,Access,True
mtvr-moose-13,Ethernet115,mtvr-leopard-05,Ethernet115,50000,154,Access,True
mtvr-moose-13,Ethernet116,mtvr-leopard-05,Ethernet116,50000,155,Access,True
mtvr-moose-13,Ethernet117,mtvr-leopard-05,Ethernet117,50000,156,Access,True
mtvr-moose-13,Ethernet118,mtvr-leopard-05,Ethernet118,50000,157,Access,True
mtvr-moose-13,Ethernet119,mtvr-leopard-05,Ethernet119,50000,158,Access,True
mtvr-moose-13,Ethernet128,mtvr-leopard-05,Ethernet128,100000,159,Access,True
mtvr-moose-13,Ethernet132,mtvr-leopard-05,Ethernet132,100000,160,Access,True
mtvr-moose-13,Ethernet144,mtvr-leopard-05,Ethernet144,50000,161,Access,True
mtvr-moose-13,Ethernet145,mtvr-leopard-05,Ethernet145,50000,162,Access,True
mtvr-moose-13,Ethernet146,mtvr-leopard-05,Ethernet146,50000,163,Access,True
mtvr-moose-13,Ethernet147,mtvr-leopard-05,Ethernet147,50000,164,Access,True
mtvr-moose-13,Ethernet148,mtvr-leopard-05,Ethernet148,50000,165,Access,True
mtvr-moose-13,Ethernet149,mtvr-leopard-05,Ethernet149,50000,166,Access,True
mtvr-moose-13,Ethernet150,mtvr-leopard-05,Ethernet150,50000,167,Access,True
mtvr-moose-13,Ethernet151,mtvr-leopard-05,Ethernet151,50000,168,Access,True
mtvr-moose-13,Ethernet160,mtvr-leopard-05,Ethernet160,50000,169,Access,True
mtvr-moose-13,Ethernet161,mtvr-leopard-05,Ethernet161,50000,170,Access,True
mtvr-moose-13,Ethernet162,mtvr-leopard-05,Ethernet162,50000,171,Access,True
mtvr-moose-13,Ethernet163,mtvr-leopard-05,Ethernet163,50000,172,Access,True
mtvr-moose-13,Ethernet164,mtvr-leopard-05,Ethernet164,50000,173,Access,True
mtvr-moose-13,Ethernet165,mtvr-leopard-05,Ethernet165,50000,174,Access,True
mtvr-moose-13,Ethernet166,mtvr-leopard-05,Ethernet166,50000,175,Access,True
mtvr-moose-13,Ethernet167,mtvr-leopard-05,Ethernet167,50000,176,Access,True
mtvr-moose-13,Ethernet176,mtvr-leopard-05,Ethernet176,50000,177,Access,True
mtvr-moose-13,Ethernet177,mtvr-leopard-05,Ethernet177,50000,178,Access,True
mtvr-moose-13,Ethernet178,mtvr-leopard-05,Ethernet178,50000,179,Access,True
mtvr-moose-13,Ethernet179,mtvr-leopard-05,Ethernet179,50000,180,Access,True
mtvr-moose-13,Ethernet180,mtvr-leopard-05,Ethernet180,50000,181,Access,True
mtvr-moose-13,Ethernet181,mtvr-leopard-05,Ethernet181,50000,182,Access,True
mtvr-moose-13,Ethernet182,mtvr-leopard-05,Ethernet182,50000,183,Access,True
mtvr-moose-13,Ethernet183,mtvr-leopard-05,Ethernet183,50000,184,Access,True
mtvr-moose-13,Ethernet192,mtvr-leopard-05,Ethernet192,50000,184,Access,False
mtvr-moose-13,Ethernet193,mtvr-leopard-05,Ethernet193,50000,186,Access,False
mtvr-moose-13,Ethernet194,mtvr-leopard-05,Ethernet194,50000,187,Access,False
mtvr-moose-13,Ethernet195,mtvr-leopard-05,Ethernet195,50000,188,Access,False
mtvr-moose-13,Ethernet196,mtvr-leopard-05,Ethernet196,50000,189,Access,False
mtvr-moose-13,Ethernet197,mtvr-leopard-05,Ethernet197,50000,190,Access,False
mtvr-moose-13,Ethernet198,mtvr-leopard-05,Ethernet198,50000,191,Access,False
mtvr-moose-13,Ethernet199,mtvr-leopard-05,Ethernet199,50000,192,Access,False
mtvr-moose-13,Ethernet208,mtvr-leopard-05,Ethernet208,50000,193,Access,False
mtvr-moose-13,Ethernet209,mtvr-leopard-05,Ethernet209,50000,194,Access,False
mtvr-moose-13,Ethernet210,mtvr-leopard-05,Ethernet210,50000,195,Access,False
mtvr-moose-13,Ethernet211,mtvr-leopard-05,Ethernet211,50000,196,Access,False
mtvr-moose-13,Ethernet212,mtvr-leopard-05,Ethernet212,50000,197,Access,False
mtvr-moose-13,Ethernet213,mtvr-leopard-05,Ethernet213,50000,198,Access,False
mtvr-moose-13,Ethernet214,mtvr-leopard-05,Ethernet214,50000,199,Access,False
mtvr-moose-13,Ethernet215,mtvr-leopard-05,Ethernet215,50000,200,Access,False
mtvr-moose-13,Ethernet224,mtvr-leopard-05,Ethernet224,50000,201,Access,True
mtvr-moose-13,Ethernet225,mtvr-leopard-05,Ethernet225,50000,202,Access,True
mtvr-moose-13,Ethernet226,mtvr-leopard-05,Ethernet226,50000,203,Access,True
mtvr-moose-13,Ethernet227,mtvr-leopard-05,Ethernet227,50000,204,Access,True
mtvr-moose-13,Ethernet228,mtvr-leopard-05,Ethernet228,50000,205,Access,True
mtvr-moose-13,Ethernet229,mtvr-leopard-05,Ethernet229,50000,206,Access,True
mtvr-moose-13,Ethernet230,mtvr-leopard-05,Ethernet230,50000,207,Access,True
mtvr-moose-13,Ethernet231,mtvr-leopard-05,Ethernet231,50000,208,Access,True
mtvr-moose-13,Ethernet240,mtvr-leopard-05,Ethernet240,50000,209,Access,True
mtvr-moose-13,Ethernet241,mtvr-leopard-05,Ethernet241,50000,210,Access,True
mtvr-moose-13,Ethernet242,mtvr-leopard-05,Ethernet242,50000,211,Access,True
mtvr-moose-13,Ethernet243,mtvr-leopard-05,Ethernet243,50000,212,Access,True
mtvr-moose-13,Ethernet244,mtvr-leopard-05,Ethernet244,50000,213,Access,True
mtvr-moose-13,Ethernet245,mtvr-leopard-05,Ethernet245,50000,214,Access,True
mtvr-moose-13,Ethernet246,mtvr-leopard-05,Ethernet246,50000,215,Access,True
mtvr-moose-13,Ethernet247,mtvr-leopard-05,Ethernet247,50000,216,Access,True
mtvr-moose-13,Ethernet256,mtvr-leopard-05,Ethernet256,50000,217,Access,True
mtvr-moose-13,Ethernet257,mtvr-leopard-05,Ethernet257,50000,218,Access,True
mtvr-moose-13,Ethernet258,mtvr-leopard-05,Ethernet258,50000,219,Access,True
mtvr-moose-13,Ethernet259,mtvr-leopard-05,Ethernet259,50000,220,Access,True
mtvr-moose-13,Ethernet260,mtvr-leopard-05,Ethernet260,50000,221,Access,True
mtvr-moose-13,Ethernet261,mtvr-leopard-05,Ethernet261,50000,222,Access,True
mtvr-moose-13,Ethernet262,mtvr-leopard-05,Ethernet262,50000,223,Access,True
mtvr-moose-13,Ethernet263,mtvr-leopard-05,Ethernet263,50000,224,Access,True
mtvr-moose-13,Ethernet272,mtvr-leopard-05,Ethernet272,50000,225,Access,True
mtvr-moose-13,Ethernet273,mtvr-leopard-05,Ethernet273,50000,226,Access,True
mtvr-moose-13,Ethernet274,mtvr-leopard-05,Ethernet274,50000,227,Access,True
mtvr-moose-13,Ethernet275,mtvr-leopard-05,Ethernet275,50000,228,Access,True
mtvr-moose-13,Ethernet276,mtvr-leopard-05,Ethernet276,50000,229,Access,True
mtvr-moose-13,Ethernet277,mtvr-leopard-05,Ethernet277,50000,230,Access,True
mtvr-moose-13,Ethernet278,mtvr-leopard-05,Ethernet278,50000,231,Access,True
mtvr-moose-13,Ethernet279,mtvr-leopard-05,Ethernet279,50000,232,Access,True
mtvr-moose-13,Ethernet288,mtvr-leopard-05,Ethernet288,50000,233,Access,True
mtvr-moose-13,Ethernet289,mtvr-leopard-05,Ethernet289,50000,234,Access,True
mtvr-moose-13,Ethernet290,mtvr-leopard-05,Ethernet290,50000,235,Access,True
mtvr-moose-13,Ethernet291,mtvr-leopard-05,Ethernet291,50000,236,Access,True
mtvr-moose-13,Ethernet292,mtvr-leopard-05,Ethernet292,50000,237,Access,True
mtvr-moose-13,Ethernet293,mtvr-leopard-05,Ethernet293,50000,238,Access,True
mtvr-moose-13,Ethernet294,mtvr-leopard-05,Ethernet294,50000,239,Access,True
mtvr-moose-13,Ethernet295,mtvr-leopard-05,Ethernet295,50000,240,Access,True
mtvr-moose-13,Ethernet304,mtvr-leopard-05,Ethernet304,50000,241,Access,True
mtvr-moose-13,Ethernet305,mtvr-leopard-05,Ethernet305,50000,242,Access,True
mtvr-moose-13,Ethernet306,mtvr-leopard-05,Ethernet306,50000,243,Access,True
mtvr-moose-13,Ethernet307,mtvr-leopard-05,Ethernet307,50000,244,Access,True
mtvr-moose-13,Ethernet308,mtvr-leopard-05,Ethernet308,50000,245,Access,True
mtvr-moose-13,Ethernet309,mtvr-leopard-05,Ethernet309,50000,246,Access,True
mtvr-moose-13,Ethernet310,mtvr-leopard-05,Ethernet310,50000,247,Access,True
mtvr-moose-13,Ethernet311,mtvr-leopard-05,Ethernet311,50000,248,Access,True
mtvr-moose-13,Ethernet320,mtvr-leopard-05,Ethernet320,50000,249,Access,True
mtvr-moose-13,Ethernet321,mtvr-leopard-05,Ethernet321,50000,250,Access,True
mtvr-moose-13,Ethernet322,mtvr-leopard-05,Ethernet322,50000,251,Access,True
mtvr-moose-13,Ethernet323,mtvr-leopard-05,Ethernet323,50000,252,Access,True
mtvr-moose-13,Ethernet324,mtvr-leopard-05,Ethernet324,50000,253,Access,True
mtvr-moose-13,Ethernet325,mtvr-leopard-05,Ethernet325,50000,254,Access,True
mtvr-moose-13,Ethernet326,mtvr-leopard-05,Ethernet326,50000,255,Access,True
mtvr-moose-13,Ethernet327,mtvr-leopard-05,Ethernet327,50000,256,Access,True
mtvr-moose-13,Ethernet336,mtvr-leopard-05,Ethernet336,50000,257,Access,True
mtvr-moose-13,Ethernet337,mtvr-leopard-05,Ethernet337,50000,258,Access,True
mtvr-moose-13,Ethernet338,mtvr-leopard-05,Ethernet338,50000,259,Access,True
mtvr-moose-13,Ethernet339,mtvr-leopard-05,Ethernet339,50000,260,Access,True
mtvr-moose-13,Ethernet340,mtvr-leopard-05,Ethernet340,50000,261,Access,True
mtvr-moose-13,Ethernet341,mtvr-leopard-05,Ethernet341,50000,262,Access,True
mtvr-moose-13,Ethernet342,mtvr-leopard-05,Ethernet342,50000,263,Access,True
mtvr-moose-13,Ethernet343,mtvr-leopard-05,Ethernet343,50000,264,Access,True
mtvr-moose-13,Ethernet352,mtvr-leopard-05,Ethernet352,100000,265,Access,True
mtvr-moose-13,Ethernet356,mtvr-leopard-05,Ethernet356,100000,266,Access,True
mtvr-moose-13,Ethernet368,mtvr-leopard-05,Ethernet368,50000,267,Access,True
mtvr-moose-13,Ethernet369,mtvr-leopard-05,Ethernet369,50000,268,Access,True
mtvr-moose-13,Ethernet370,mtvr-leopard-05,Ethernet370,50000,269,Access,True
