StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bison-16,Ethernet0,r-bison-17,Ethernet0,100000,2,Access,on
r-bison-16,Ethernet1,r-bison-17,Ethernet1,100000,3,Access,on
r-bison-16,Ethernet2,r-bison-17,Ethernet2,100000,4,Access,on
r-bison-16,Ethernet3,r-bison-17,Ethernet3,100000,5,Access,on
r-bison-16,Ethernet4,r-bison-17,Ethernet4,100000,6,Access,on
r-bison-16,Ethernet5,r-bison-17,Ethernet5,100000,7,Access,on
r-bison-16,Ethernet6,r-bison-17,Ethernet6,100000,8,Access,on
r-bison-16,Ethernet7,r-bison-17,Ethernet7,100000,9,Access,on
r-bison-16,Ethernet8,r-bison-17,Ethernet8,100000,10,Access,on
r-bison-16,Ethernet9,r-bison-17,Ethernet9,100000,11,Access,on
r-bison-16,Ethernet10,r-bison-17,Ethernet10,100000,12,Access,on
r-bison-16,Ethernet11,r-bison-17,Ethernet11,100000,13,Access,on
r-bison-16,Ethernet12,r-bison-17,Ethernet12,100000,14,Access,on
r-bison-16,Ethernet13,r-bison-17,Ethernet13,100000,15,Access,on
r-bison-16,Ethernet14,r-bison-17,Ethernet14,100000,16,Access,on
r-bison-16,Ethernet15,r-bison-17,Ethernet15,100000,17,Access,on
r-bison-16,Ethernet16,r-bison-17,Ethernet16,100000,18,Access,on
r-bison-16,Ethernet17,r-bison-17,Ethernet17,100000,19,Access,on
r-bison-16,Ethernet18,r-bison-17,Ethernet18,100000,20,Access,on
r-bison-16,Ethernet19,r-bison-17,Ethernet19,100000,21,Access,on
r-bison-16,Ethernet20,r-bison-17,Ethernet20,100000,22,Access,on
r-bison-16,Ethernet21,r-bison-17,Ethernet21,100000,23,Access,on
r-bison-16,Ethernet22,r-bison-17,Ethernet22,100000,24,Access,on
r-bison-16,Ethernet23,r-bison-17,Ethernet23,100000,25,Access,on
r-bison-16,Ethernet24,r-bison-17,Ethernet24,100000,26,Access,on
r-bison-16,Ethernet25,r-bison-17,Ethernet25,100000,27,Access,on
r-bison-16,Ethernet26,r-bison-17,Ethernet26,100000,28,Access,on
r-bison-16,Ethernet27,r-bison-17,Ethernet27,100000,29,Access,on
r-bison-16,Ethernet28,r-bison-17,Ethernet28,100000,30,Access,on
r-bison-16,Ethernet29,r-bison-17,Ethernet29,100000,31,Access,on
r-bison-16,Ethernet30,r-bison-17,Ethernet30,100000,32,Access,on
r-bison-16,Ethernet31,r-bison-17,Ethernet31,100000,33,Access,on
r-bison-16,Ethernet32,r-bison-17,Ethernet32,100000,34,Access,on
r-bison-16,Ethernet33,r-bison-17,Ethernet33,100000,35,Access,on
r-bison-16,Ethernet34,r-bison-17,Ethernet34,100000,36,Access,on
r-bison-16,Ethernet35,r-bison-17,Ethernet35,100000,37,Access,on
r-bison-16,Ethernet36,r-bison-17,Ethernet36,100000,38,Access,on
r-bison-16,Ethernet37,r-bison-17,Ethernet37,100000,39,Access,on
r-bison-16,Ethernet38,r-bison-17,Ethernet38,100000,40,Access,on
r-bison-16,Ethernet39,r-bison-17,Ethernet39,100000,41,Access,on
r-bison-16,Ethernet40,r-bison-17,Ethernet40,100000,42,Access,on
r-bison-16,Ethernet41,r-bison-17,Ethernet41,100000,43,Access,on
r-bison-16,Ethernet42,r-bison-17,Ethernet42,100000,44,Access,on
r-bison-16,Ethernet43,r-bison-17,Ethernet43,100000,45,Access,on
r-bison-16,Ethernet44,r-bison-17,Ethernet44,100000,46,Access,on
r-bison-16,Ethernet45,r-bison-17,Ethernet45,100000,47,Access,on
r-bison-16,Ethernet46,r-bison-17,Ethernet46,100000,48,Access,on
r-bison-16,Ethernet47,r-bison-17,Ethernet47,100000,49,Access,on
r-bison-16,Ethernet48,r-bison-17,Ethernet48,100000,50,Access,on
r-bison-16,Ethernet49,r-bison-17,Ethernet49,100000,51,Access,on
r-bison-16,Ethernet50,r-bison-17,Ethernet50,100000,52,Access,on
r-bison-16,Ethernet51,r-bison-17,Ethernet51,100000,53,Access,on
r-bison-16,Ethernet52,r-bison-17,Ethernet52,100000,54,Access,on
r-bison-16,Ethernet53,r-bison-17,Ethernet53,100000,55,Access,on
r-bison-16,Ethernet54,r-bison-17,Ethernet54,100000,56,Access,on
r-bison-16,Ethernet55,r-bison-17,Ethernet55,100000,57,Access,on
r-bison-16,Ethernet56,r-bison-17,Ethernet56,100000,58,Access,on
r-bison-16,Ethernet57,r-bison-17,Ethernet57,100000,59,Access,on
r-bison-16,Ethernet58,r-bison-17,Ethernet58,100000,60,Access,on
r-bison-16,Ethernet59,r-bison-17,Ethernet59,100000,61,Access,on
r-bison-16,Ethernet60,r-bison-17,Ethernet60,100000,62,Access,on
r-bison-16,Ethernet61,r-bison-17,Ethernet61,100000,63,Access,on
r-bison-16,Ethernet62,r-bison-17,Ethernet62,100000,64,Access,on
r-bison-16,Ethernet63,r-bison-17,Ethernet63,100000,65,Access,on
r-bison-16,Ethernet64,r-bison-17,Ethernet64,100000,66,Access,on
r-bison-16,Ethernet65,r-bison-17,Ethernet65,100000,67,Access,on
r-bison-16,Ethernet66,r-bison-17,Ethernet66,100000,68,Access,on
r-bison-16,Ethernet67,r-bison-17,Ethernet67,100000,69,Access,on
r-bison-16,Ethernet68,r-bison-17,Ethernet68,100000,70,Access,on
r-bison-16,Ethernet69,r-bison-17,Ethernet69,100000,71,Access,on
r-bison-16,Ethernet70,r-bison-17,Ethernet70,100000,72,Access,on
r-bison-16,Ethernet71,r-bison-17,Ethernet71,100000,73,Access,on
r-bison-16,Ethernet72,r-bison-17,Ethernet72,100000,74,Access,on
r-bison-16,Ethernet73,r-bison-17,Ethernet73,100000,75,Access,on
r-bison-16,Ethernet74,r-bison-17,Ethernet74,100000,76,Access,on
r-bison-16,Ethernet75,r-bison-17,Ethernet75,100000,77,Access,on
r-bison-16,Ethernet76,r-bison-17,Ethernet76,100000,78,Access,on
r-bison-16,Ethernet77,r-bison-17,Ethernet77,100000,79,Access,on
r-bison-16,Ethernet78,r-bison-17,Ethernet78,100000,80,Access,on
r-bison-16,Ethernet79,r-bison-17,Ethernet79,100000,81,Access,on
r-bison-16,Ethernet80,r-bison-17,Ethernet80,100000,82,Access,on
r-bison-16,Ethernet81,r-bison-17,Ethernet81,100000,83,Access,on
r-bison-16,Ethernet82,r-bison-17,Ethernet82,100000,84,Access,on
r-bison-16,Ethernet83,r-bison-17,Ethernet83,100000,85,Access,on
r-bison-16,Ethernet84,r-bison-17,Ethernet84,100000,86,Access,on
r-bison-16,Ethernet85,r-bison-17,Ethernet85,100000,87,Access,on
r-bison-16,Ethernet86,r-bison-17,Ethernet86,100000,88,Access,on
r-bison-16,Ethernet87,r-bison-17,Ethernet87,100000,89,Access,on
r-bison-16,Ethernet88,r-bison-17,Ethernet88,100000,90,Access,on
r-bison-16,Ethernet89,r-bison-17,Ethernet89,100000,91,Access,on
r-bison-16,Ethernet90,r-bison-17,Ethernet90,100000,92,Access,on
r-bison-16,Ethernet91,r-bison-17,Ethernet91,100000,93,Access,on
r-bison-16,Ethernet92,r-bison-17,Ethernet92,100000,94,Access,on
r-bison-16,Ethernet93,r-bison-17,Ethernet93,100000,95,Access,on
r-bison-16,Ethernet94,r-bison-17,Ethernet94,100000,96,Access,on
r-bison-16,Ethernet95,r-bison-17,Ethernet95,100000,97,Access,on
r-bison-16,Ethernet96,r-bison-17,Ethernet96,100000,98,Access,on
r-bison-16,Ethernet100,r-bison-17,Ethernet100,100000,616,Access,on
r-bison-16,Ethernet104,r-bison-17,Ethernet104,100000,620,Access,on
r-bison-16,Ethernet108,r-bison-17,Ethernet108,100000,624,Access,on
r-bison-16,Ethernet112,r-bison-17,Ethernet112,100000,628,Access,on
r-bison-16,Ethernet113,r-bison-17,Ethernet113,100000,629,Access,on
r-bison-16,Ethernet114,r-bison-17,Ethernet114,100000,630,Access,on
r-bison-16,Ethernet115,r-bison-17,Ethernet115,100000,631,Access,on
r-bison-16,Ethernet116,r-bison-17,Ethernet116,100000,632,Access,on
r-bison-16,Ethernet117,r-bison-17,Ethernet117,100000,633,Access,on
r-bison-16,Ethernet118,r-bison-17,Ethernet118,100000,634,Access,on
r-bison-16,Ethernet119,r-bison-17,Ethernet119,100000,635,Access,on
r-bison-16,Ethernet120,r-bison-17,Ethernet120,100000,636,Access,on
r-bison-16,Ethernet121,r-bison-17,Ethernet121,100000,637,Access,on
r-bison-16,Ethernet122,r-bison-17,Ethernet122,100000,638,Access,on
r-bison-16,Ethernet123,r-bison-17,Ethernet123,100000,639,Access,on
r-bison-16,Ethernet124,r-bison-17,Ethernet124,100000,640,Access,on
r-bison-16,Ethernet125,r-bison-17,Ethernet125,100000,641,Access,on
r-bison-16,Ethernet126,r-bison-17,Ethernet126,100000,642,Access,on
r-bison-16,Ethernet127,r-bison-17,Ethernet127,100000,643,Access,on
r-bison-16,Ethernet128,r-bison-17,Ethernet128,100000,644,Access,on
r-bison-16,Ethernet132,r-bison-17,Ethernet132,100000,648,Access,on
r-bison-16,Ethernet136,r-bison-17,Ethernet136,100000,652,Access,on
r-bison-16,Ethernet140,r-bison-17,Ethernet140,100000,656,Access,on
r-bison-16,Ethernet144,r-bison-17,Ethernet144,100000,660,Access,on
r-bison-16,Ethernet145,r-bison-17,Ethernet145,100000,661,Access,on
r-bison-16,Ethernet146,r-bison-17,Ethernet146,100000,662,Access,on
r-bison-16,Ethernet147,r-bison-17,Ethernet147,100000,663,Access,on
r-bison-16,Ethernet148,r-bison-17,Ethernet148,100000,664,Access,on
r-bison-16,Ethernet149,r-bison-17,Ethernet149,100000,665,Access,on
r-bison-16,Ethernet150,r-bison-17,Ethernet150,100000,666,Access,on
r-bison-16,Ethernet151,r-bison-17,Ethernet151,100000,667,Access,on
r-bison-16,Ethernet152,r-bison-17,Ethernet152,100000,668,Access,on
r-bison-16,Ethernet153,r-bison-17,Ethernet153,100000,669,Access,on
r-bison-16,Ethernet154,r-bison-17,Ethernet154,100000,670,Access,on
r-bison-16,Ethernet155,r-bison-17,Ethernet155,100000,671,Access,on
r-bison-16,Ethernet156,r-bison-17,Ethernet156,100000,672,Access,on
r-bison-16,Ethernet157,r-bison-17,Ethernet157,100000,673,Access,on
r-bison-16,Ethernet158,r-bison-17,Ethernet158,100000,674,Access,on
r-bison-16,Ethernet159,r-bison-17,Ethernet159,100000,675,Access,on
r-bison-16,Ethernet160,r-bison-17,Ethernet160,100000,676,Access,on
r-bison-16,Ethernet161,r-bison-17,Ethernet161,100000,677,Access,on
r-bison-16,Ethernet162,r-bison-17,Ethernet162,100000,678,Access,on
r-bison-16,Ethernet163,r-bison-17,Ethernet163,100000,679,Access,on
r-bison-16,Ethernet164,r-bison-17,Ethernet164,100000,680,Access,on
r-bison-16,Ethernet165,r-bison-17,Ethernet165,100000,681,Access,on
r-bison-16,Ethernet166,r-bison-17,Ethernet166,100000,682,Access,on
r-bison-16,Ethernet167,r-bison-17,Ethernet167,100000,683,Access,on
r-bison-16,Ethernet168,r-bison-17,Ethernet168,100000,684,Access,on
r-bison-16,Ethernet169,r-bison-17,Ethernet169,100000,685,Access,on
r-bison-16,Ethernet170,r-bison-17,Ethernet170,100000,686,Access,on
r-bison-16,Ethernet171,r-bison-17,Ethernet171,100000,687,Access,on
r-bison-16,Ethernet172,r-bison-17,Ethernet172,100000,688,Access,on
r-bison-16,Ethernet173,r-bison-17,Ethernet173,100000,689,Access,on
r-bison-16,Ethernet174,r-bison-17,Ethernet174,100000,690,Access,on
r-bison-16,Ethernet175,r-bison-17,Ethernet175,100000,691,Access,on
r-bison-16,Ethernet176,r-bison-17,Ethernet176,100000,692,Access,on
r-bison-16,Ethernet177,r-bison-17,Ethernet177,100000,693,Access,on
r-bison-16,Ethernet178,r-bison-17,Ethernet178,100000,694,Access,on
r-bison-16,Ethernet179,r-bison-17,Ethernet179,100000,695,Access,on
r-bison-16,Ethernet180,r-bison-17,Ethernet180,100000,696,Access,on
r-bison-16,Ethernet181,r-bison-17,Ethernet181,100000,697,Access,on
r-bison-16,Ethernet182,r-bison-17,Ethernet182,100000,698,Access,on
r-bison-16,Ethernet183,r-bison-17,Ethernet183,100000,699,Access,on
r-bison-16,Ethernet184,r-bison-17,Ethernet184,100000,700,Access,on
r-bison-16,Ethernet185,r-bison-17,Ethernet185,100000,701,Access,on
r-bison-16,Ethernet186,r-bison-17,Ethernet186,100000,702,Access,on
r-bison-16,Ethernet187,r-bison-17,Ethernet187,100000,703,Access,on
r-bison-16,Ethernet188,r-bison-17,Ethernet188,100000,704,Access,on
r-bison-16,Ethernet189,r-bison-17,Ethernet189,100000,705,Access,on
r-bison-16,Ethernet190,r-bison-17,Ethernet190,100000,706,Access,on
r-bison-16,Ethernet191,r-bison-17,Ethernet191,100000,707,Access,on
r-bison-16,Ethernet192,r-bison-17,Ethernet192,100000,708,Access,on
r-bison-16,Ethernet193,r-bison-17,Ethernet193,100000,709,Access,on
r-bison-16,Ethernet194,r-bison-17,Ethernet194,100000,710,Access,on
r-bison-16,Ethernet195,r-bison-17,Ethernet195,100000,711,Access,on
r-bison-16,Ethernet196,r-bison-17,Ethernet196,100000,712,Access,on
r-bison-16,Ethernet197,r-bison-17,Ethernet197,100000,713,Access,on
r-bison-16,Ethernet198,r-bison-17,Ethernet198,100000,714,Access,on
r-bison-16,Ethernet199,r-bison-17,Ethernet199,100000,715,Access,on
r-bison-16,Ethernet200,r-bison-17,Ethernet200,100000,716,Access,on
r-bison-16,Ethernet201,r-bison-17,Ethernet201,100000,717,Access,on
r-bison-16,Ethernet202,r-bison-17,Ethernet202,100000,718,Access,on
r-bison-16,Ethernet203,r-bison-17,Ethernet203,100000,719,Access,on
r-bison-16,Ethernet204,r-bison-17,Ethernet204,100000,720,Access,on
r-bison-16,Ethernet205,r-bison-17,Ethernet205,100000,721,Access,on
r-bison-16,Ethernet206,r-bison-17,Ethernet206,100000,722,Access,on
r-bison-16,Ethernet207,r-bison-17,Ethernet207,100000,723,Access,on
r-bison-16,Ethernet208,r-bison-17,Ethernet208,100000,724,Access,on
r-bison-16,Ethernet209,r-bison-17,Ethernet209,100000,725,Access,on
r-bison-16,Ethernet210,r-bison-17,Ethernet210,100000,726,Access,on
r-bison-16,Ethernet211,r-bison-17,Ethernet211,100000,727,Access,on
r-bison-16,Ethernet212,r-bison-17,Ethernet212,100000,728,Access,on
r-bison-16,Ethernet213,r-bison-17,Ethernet213,100000,729,Access,on
r-bison-16,Ethernet214,r-bison-17,Ethernet214,100000,730,Access,on
r-bison-16,Ethernet215,r-bison-17,Ethernet215,100000,731,Access,on
r-bison-16,Ethernet216,r-bison-17,Ethernet216,100000,732,Access,on
r-bison-16,Ethernet217,r-bison-17,Ethernet217,100000,733,Access,on
r-bison-16,Ethernet218,r-bison-17,Ethernet218,100000,734,Access,on
r-bison-16,Ethernet219,r-bison-17,Ethernet219,100000,735,Access,on
r-bison-16,Ethernet220,r-bison-17,Ethernet220,100000,736,Access,on
r-bison-16,Ethernet221,r-bison-17,Ethernet221,100000,737,Access,on
r-bison-16,Ethernet222,r-bison-17,Ethernet222,100000,738,Access,on
r-bison-16,Ethernet223,r-bison-17,Ethernet223,100000,739,Access,on
r-bison-16,Ethernet224,r-bison-17,Ethernet224,100000,740,Access,on
r-bison-16,Ethernet225,r-bison-17,Ethernet225,100000,741,Access,on
r-bison-16,Ethernet226,r-bison-17,Ethernet226,100000,742,Access,on
r-bison-16,Ethernet227,r-bison-17,Ethernet227,100000,743,Access,on
r-bison-16,Ethernet228,r-bison-17,Ethernet228,100000,744,Access,on
r-bison-16,Ethernet229,r-bison-17,Ethernet229,100000,745,Access,on
