StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bison-16,Ethernet0,r-bison-17,Ethernet0,400000,2,Access,on
r-bison-16,Ethernet4,r-bison-17,Ethernet4,400000,3,Access,on
r-bison-16,Ethernet8,r-bison-17,Ethernet8,400000,4,Access,on
r-bison-16,Ethernet12,r-bison-17,Ethernet12,400000,5,Access,on
r-bison-16,Ethernet16,r-bison-17,Ethernet16,400000,6,Access,on
r-bison-16,Ethernet20,r-bison-17,Ethernet20,400000,7,Access,on
r-bison-16,Ethernet24,r-bison-17,Ethernet24,400000,8,Access,on
r-bison-16,Ethernet28,r-bison-17,Ethernet28,400000,9,Access,on
r-bison-16,Ethernet32,r-bison-17,Ethernet32,400000,10,Access,on
r-bison-16,Ethernet36,r-bison-17,Ethernet36,400000,11,Access,on
r-bison-16,Ethernet40,r-bison-17,Ethernet40,400000,12,Access,on
r-bison-16,Ethernet44,r-bison-17,Ethernet44,400000,13,Access,on
r-bison-16,Ethernet48,r-bison-17,Ethernet48,400000,14,Access,on
r-bison-16,Ethernet52,r-bison-17,Ethernet52,400000,15,Access,on
r-bison-16,Ethernet56,r-bison-17,Ethernet56,400000,16,Access,on
r-bison-16,Ethernet60,r-bison-17,Ethernet60,400000,17,Access,on
r-bison-16,Ethernet64,r-bison-17,Ethernet64,400000,18,Access,on
r-bison-16,Ethernet68,r-bison-17,Ethernet68,400000,19,Access,on
r-bison-16,Ethernet72,r-bison-17,Ethernet72,400000,20,Access,on
r-bison-16,Ethernet76,r-bison-17,Ethernet76,400000,21,Access,on
r-bison-16,Ethernet80,r-bison-17,Ethernet80,400000,22,Access,on
r-bison-16,Ethernet84,r-bison-17,Ethernet84,400000,23,Access,on
r-bison-16,Ethernet88,r-bison-17,Ethernet88,400000,24,Access,on
r-bison-16,Ethernet92,r-bison-17,Ethernet92,400000,25,Access,on
r-bison-16,Ethernet96,r-bison-17,Ethernet96,400000,26,Access,on
r-bison-16,Ethernet100,r-bison-17,Ethernet100,400000,27,Access,on
r-bison-16,Ethernet104,r-bison-17,Ethernet104,400000,28,Access,on
r-bison-16,Ethernet108,r-bison-17,Ethernet108,400000,29,Access,on
r-bison-16,Ethernet112,r-bison-17,Ethernet112,400000,30,Access,on
r-bison-16,Ethernet116,r-bison-17,Ethernet116,400000,31,Access,on
r-bison-16,Ethernet120,r-bison-17,Ethernet120,400000,32,Access,on
r-bison-16,Ethernet124,r-bison-17,Ethernet124,400000,33,Access,on
r-bison-16,Ethernet128,r-bison-17,Ethernet128,400000,34,Access,on
r-bison-16,Ethernet132,r-bison-17,Ethernet132,400000,35,Access,on
r-bison-16,Ethernet136,r-bison-17,Ethernet136,400000,36,Access,on
r-bison-16,Ethernet140,r-bison-17,Ethernet140,400000,37,Access,on
r-bison-16,Ethernet144,r-bison-17,Ethernet144,400000,38,Access,on
r-bison-16,Ethernet148,r-bison-17,Ethernet148,400000,39,Access,on
r-bison-16,Ethernet152,r-bison-17,Ethernet152,400000,40,Access,on
r-bison-16,Ethernet156,r-bison-17,Ethernet156,400000,41,Access,on
r-bison-16,Ethernet160,r-bison-17,Ethernet160,400000,42,Access,on
r-bison-16,Ethernet164,r-bison-17,Ethernet164,400000,43,Access,on
r-bison-16,Ethernet168,r-bison-17,Ethernet168,400000,44,Access,on
r-bison-16,Ethernet172,r-bison-17,Ethernet172,400000,45,Access,on
r-bison-16,Ethernet176,r-bison-17,Ethernet176,400000,46,Access,on
r-bison-16,Ethernet180,r-bison-17,Ethernet180,400000,47,Access,on
r-bison-16,Ethernet184,r-bison-17,Ethernet184,400000,48,Access,on
r-bison-16,Ethernet188,r-bison-17,Ethernet188,400000,49,Access,on
r-bison-16,Ethernet192,r-bison-17,Ethernet192,400000,50,Access,on
r-bison-16,Ethernet196,r-bison-17,Ethernet196,400000,51,Access,on
r-bison-16,Ethernet200,r-bison-17,Ethernet200,400000,52,Access,on
r-bison-16,Ethernet204,r-bison-17,Ethernet204,400000,53,Access,on
r-bison-16,Ethernet208,r-bison-17,Ethernet208,400000,54,Access,on
r-bison-16,Ethernet212,r-bison-17,Ethernet212,400000,55,Access,on
r-bison-16,Ethernet216,r-bison-17,Ethernet216,400000,56,Access,on
r-bison-16,Ethernet220,r-bison-17,Ethernet220,400000,57,Access,on
r-bison-16,Ethernet224,r-bison-17,Ethernet224,400000,58,Access,on
r-bison-16,Ethernet228,r-bison-17,Ethernet228,400000,59,Access,on
r-bison-16,Ethernet232,r-bison-17,Ethernet232,400000,60,Access,on
r-bison-16,Ethernet236,r-bison-17,Ethernet236,400000,61,Access,on
r-bison-16,Ethernet240,r-bison-17,Ethernet240,400000,62,Access,on
r-bison-16,Ethernet244,r-bison-17,Ethernet244,400000,63,Access,on
r-bison-16,Ethernet248,r-bison-17,Ethernet248,400000,64,Access,on
r-bison-16,Ethernet252,r-bison-17,Ethernet252,400000,65,Access,on
r-bison-16,Ethernet256,r-bison-17,Ethernet256,400000,66,Access,on
r-bison-16,Ethernet260,r-bison-17,Ethernet260,400000,67,Access,on
r-bison-16,Ethernet264,r-bison-17,Ethernet264,400000,68,Access,on
r-bison-16,Ethernet268,r-bison-17,Ethernet268,400000,69,Access,on
r-bison-16,Ethernet272,r-bison-17,Ethernet272,400000,70,Access,on
r-bison-16,Ethernet276,r-bison-17,Ethernet276,400000,71,Access,on
r-bison-16,Ethernet280,r-bison-17,Ethernet280,400000,72,Access,on
r-bison-16,Ethernet284,r-bison-17,Ethernet284,400000,73,Access,on
r-bison-16,Ethernet288,r-bison-17,Ethernet288,400000,74,Access,on
r-bison-16,Ethernet292,r-bison-17,Ethernet292,400000,75,Access,on
r-bison-16,Ethernet296,r-bison-17,Ethernet296,400000,76,Access,on
