StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bison-22,Ethernet0,r-bison-23,Ethernet0,100000,3615,Access,on
r-bison-22,Ethernet1,r-bison-23,Ethernet1,100000,3616,Access,on
r-bison-22,Ethernet2,r-bison-23,Ethernet2,100000,3617,Access,on
r-bison-22,Ethernet3,r-bison-23,Ethernet3,100000,3618,Access,on
r-bison-22,Ethernet4,r-bison-23,Ethernet4,100000,3619,Access,on
r-bison-22,Ethernet5,r-bison-23,Ethernet5,100000,3620,Access,on
r-bison-22,Ethernet6,r-bison-23,Ethernet6,100000,3621,Access,on
r-bison-22,Ethernet7,r-bison-23,Ethernet7,100000,3622,Access,on
r-bison-22,Ethernet8,r-bison-23,Ethernet8,100000,3623,Access,on
r-bison-22,Ethernet9,r-bison-23,Ethernet9,100000,3624,Access,on
r-bison-22,Ethernet10,r-bison-23,Ethernet10,100000,3625,Access,on
r-bison-22,Ethernet11,r-bison-23,Ethernet11,100000,3626,Access,on
r-bison-22,Ethernet12,r-bison-23,Ethernet12,100000,3627,Access,on
r-bison-22,Ethernet13,r-bison-23,Ethernet13,100000,3628,Access,on
r-bison-22,Ethernet14,r-bison-23,Ethernet14,100000,3629,Access,on
r-bison-22,Ethernet15,r-bison-23,Ethernet15,100000,3630,Access,on
r-bison-22,Ethernet16,r-bison-23,Ethernet16,100000,3631,Access,on
r-bison-22,Ethernet17,r-bison-23,Ethernet17,100000,3632,Access,on
r-bison-22,Ethernet18,r-bison-23,Ethernet18,100000,3633,Access,on
r-bison-22,Ethernet19,r-bison-23,Ethernet19,100000,3634,Access,on
r-bison-22,Ethernet20,r-bison-23,Ethernet20,100000,3635,Access,on
r-bison-22,Ethernet21,r-bison-23,Ethernet21,100000,3636,Access,on
r-bison-22,Ethernet22,r-bison-23,Ethernet22,100000,3637,Access,on
r-bison-22,Ethernet23,r-bison-23,Ethernet23,100000,3638,Access,on
r-bison-22,Ethernet24,r-bison-23,Ethernet24,100000,3639,Access,on
r-bison-22,Ethernet25,r-bison-23,Ethernet25,100000,3640,Access,on
r-bison-22,Ethernet26,r-bison-23,Ethernet26,100000,3641,Access,on
r-bison-22,Ethernet27,r-bison-23,Ethernet27,100000,3642,Access,on
r-bison-22,Ethernet28,r-bison-23,Ethernet28,100000,3643,Access,on
r-bison-22,Ethernet29,r-bison-23,Ethernet29,100000,3644,Access,on
r-bison-22,Ethernet30,r-bison-23,Ethernet30,100000,3645,Access,on
r-bison-22,Ethernet31,r-bison-23,Ethernet31,100000,3646,Access,on
r-bison-22,Ethernet32,r-bison-23,Ethernet32,100000,3647,Access,on
r-bison-22,Ethernet33,r-bison-23,Ethernet33,100000,3648,Access,on
r-bison-22,Ethernet34,r-bison-23,Ethernet34,100000,3649,Access,on
r-bison-22,Ethernet35,r-bison-23,Ethernet35,100000,3650,Access,on
r-bison-22,Ethernet36,r-bison-23,Ethernet36,100000,3651,Access,on
r-bison-22,Ethernet37,r-bison-23,Ethernet37,100000,3652,Access,on
r-bison-22,Ethernet38,r-bison-23,Ethernet38,100000,3653,Access,on
r-bison-22,Ethernet39,r-bison-23,Ethernet39,100000,3654,Access,on
r-bison-22,Ethernet40,r-bison-23,Ethernet40,100000,3655,Access,on
r-bison-22,Ethernet41,r-bison-23,Ethernet41,100000,3656,Access,on
r-bison-22,Ethernet42,r-bison-23,Ethernet42,100000,3657,Access,on
r-bison-22,Ethernet43,r-bison-23,Ethernet43,100000,3658,Access,on
r-bison-22,Ethernet44,r-bison-23,Ethernet44,100000,3659,Access,on
r-bison-22,Ethernet45,r-bison-23,Ethernet45,100000,3660,Access,on
r-bison-22,Ethernet46,r-bison-23,Ethernet46,100000,3661,Access,on
r-bison-22,Ethernet47,r-bison-23,Ethernet47,100000,3662,Access,on
r-bison-22,Ethernet48,r-bison-23,Ethernet48,100000,3663,Access,on
r-bison-22,Ethernet49,r-bison-23,Ethernet49,100000,3664,Access,on
r-bison-22,Ethernet50,r-bison-23,Ethernet50,100000,3665,Access,on
r-bison-22,Ethernet51,r-bison-23,Ethernet51,100000,3666,Access,on
r-bison-22,Ethernet52,r-bison-23,Ethernet52,100000,3667,Access,on
r-bison-22,Ethernet53,r-bison-23,Ethernet53,100000,3668,Access,on
r-bison-22,Ethernet54,r-bison-23,Ethernet54,100000,3669,Access,on
r-bison-22,Ethernet55,r-bison-23,Ethernet55,100000,3670,Access,on
r-bison-22,Ethernet56,r-bison-23,Ethernet56,100000,3671,Access,on
r-bison-22,Ethernet57,r-bison-23,Ethernet57,100000,3672,Access,on
r-bison-22,Ethernet58,r-bison-23,Ethernet58,100000,3673,Access,on
r-bison-22,Ethernet59,r-bison-23,Ethernet59,100000,3674,Access,on
r-bison-22,Ethernet60,r-bison-23,Ethernet60,100000,3675,Access,on
r-bison-22,Ethernet61,r-bison-23,Ethernet61,100000,3676,Access,on
r-bison-22,Ethernet62,r-bison-23,Ethernet62,100000,3677,Access,on
r-bison-22,Ethernet63,r-bison-23,Ethernet63,100000,3678,Access,on
r-bison-22,Ethernet64,r-bison-23,Ethernet64,100000,3679,Access,on
r-bison-22,Ethernet65,r-bison-23,Ethernet65,100000,3680,Access,on
r-bison-22,Ethernet66,r-bison-23,Ethernet66,100000,3681,Access,on
r-bison-22,Ethernet67,r-bison-23,Ethernet67,100000,3682,Access,on
r-bison-22,Ethernet68,r-bison-23,Ethernet68,100000,3683,Access,on
r-bison-22,Ethernet69,r-bison-23,Ethernet69,100000,3684,Access,on
r-bison-22,Ethernet70,r-bison-23,Ethernet70,100000,3685,Access,on
r-bison-22,Ethernet71,r-bison-23,Ethernet71,100000,3686,Access,on
r-bison-22,Ethernet72,r-bison-23,Ethernet72,100000,3687,Access,on
r-bison-22,Ethernet73,r-bison-23,Ethernet73,100000,3688,Access,on
r-bison-22,Ethernet74,r-bison-23,Ethernet74,100000,3689,Access,on
r-bison-22,Ethernet75,r-bison-23,Ethernet75,100000,3690,Access,on
r-bison-22,Ethernet76,r-bison-23,Ethernet76,100000,3691,Access,on
r-bison-22,Ethernet77,r-bison-23,Ethernet77,100000,3692,Access,on
r-bison-22,Ethernet78,r-bison-23,Ethernet78,100000,3693,Access,on
r-bison-22,Ethernet79,r-bison-23,Ethernet79,100000,3694,Access,on
r-bison-22,Ethernet80,r-bison-23,Ethernet80,100000,3695,Access,on
r-bison-22,Ethernet81,r-bison-23,Ethernet81,100000,3696,Access,on
r-bison-22,Ethernet82,r-bison-23,Ethernet82,100000,3697,Access,on
r-bison-22,Ethernet83,r-bison-23,Ethernet83,100000,3698,Access,on
r-bison-22,Ethernet84,r-bison-23,Ethernet84,100000,3699,Access,on
r-bison-22,Ethernet85,r-bison-23,Ethernet85,100000,3700,Access,on
r-bison-22,Ethernet86,r-bison-23,Ethernet86,100000,3701,Access,on
r-bison-22,Ethernet87,r-bison-23,Ethernet87,100000,3702,Access,on
r-bison-22,Ethernet88,r-bison-23,Ethernet88,100000,3703,Access,on
r-bison-22,Ethernet89,r-bison-23,Ethernet89,100000,3704,Access,on
r-bison-22,Ethernet90,r-bison-23,Ethernet90,100000,3705,Access,on
r-bison-22,Ethernet91,r-bison-23,Ethernet91,100000,3706,Access,on
r-bison-22,Ethernet92,r-bison-23,Ethernet92,100000,3707,Access,on
r-bison-22,Ethernet93,r-bison-23,Ethernet93,100000,3708,Access,on
r-bison-22,Ethernet94,r-bison-23,Ethernet94,100000,3709,Access,on
r-bison-22,Ethernet95,r-bison-23,Ethernet95,100000,3710,Access,on
r-bison-22,Ethernet96,r-bison-23,Ethernet96,100000,3711,Access,on
r-bison-22,Ethernet97,r-bison-23,Ethernet97,100000,10,Access,on
r-bison-22,Ethernet98,r-bison-23,Ethernet98,100000,10,Access,on
r-bison-22,Ethernet99,r-bison-23,Ethernet99,100000,10,Access,on
r-bison-22,Ethernet100,r-bison-23,Ethernet100,100000,3712,Access,on
r-bison-22,Ethernet101,r-bison-23,Ethernet101,100000,10,Access,on
r-bison-22,Ethernet102,r-bison-23,Ethernet102,100000,10,Access,on
r-bison-22,Ethernet103,r-bison-23,Ethernet103,100000,10,Access,on
r-bison-22,Ethernet104,r-bison-23,Ethernet104,100000,3713,Access,on
r-bison-22,Ethernet105,r-bison-23,Ethernet105,100000,10,Access,on
r-bison-22,Ethernet106,r-bison-23,Ethernet106,100000,10,Access,on
r-bison-22,Ethernet107,r-bison-23,Ethernet107,100000,10,Access,on
r-bison-22,Ethernet108,r-bison-23,Ethernet108,100000,3714,Access,on
r-bison-22,Ethernet109,r-bison-23,Ethernet109,100000,10,Access,on
r-bison-22,Ethernet110,r-bison-23,Ethernet110,100000,10,Access,on
r-bison-22,Ethernet111,r-bison-23,Ethernet111,100000,10,Access,on
r-bison-22,Ethernet112,r-bison-23,Ethernet112,100000,3715,Access,on
r-bison-22,Ethernet113,r-bison-23,Ethernet113,100000,3716,Access,on
r-bison-22,Ethernet114,r-bison-23,Ethernet114,100000,3717,Access,on
r-bison-22,Ethernet115,r-bison-23,Ethernet115,100000,3718,Access,on
r-bison-22,Ethernet116,r-bison-23,Ethernet116,100000,3719,Access,on
r-bison-22,Ethernet117,r-bison-23,Ethernet117,100000,3720,Access,on
r-bison-22,Ethernet118,r-bison-23,Ethernet118,100000,3721,Access,on
r-bison-22,Ethernet119,r-bison-23,Ethernet119,100000,3722,Access,on
r-bison-22,Ethernet120,r-bison-23,Ethernet120,100000,3723,Access,on
r-bison-22,Ethernet121,r-bison-23,Ethernet121,100000,3724,Access,on
r-bison-22,Ethernet122,r-bison-23,Ethernet122,100000,3725,Access,on
r-bison-22,Ethernet123,r-bison-23,Ethernet123,100000,3726,Access,on
r-bison-22,Ethernet124,r-bison-23,Ethernet124,100000,3727,Access,on
r-bison-22,Ethernet125,r-bison-23,Ethernet125,100000,3728,Access,on
r-bison-22,Ethernet126,r-bison-23,Ethernet126,100000,3729,Access,on
r-bison-22,Ethernet127,r-bison-23,Ethernet127,100000,3730,Access,on
r-bison-22,Ethernet128,r-bison-23,Ethernet128,100000,3731,Access,on
r-bison-22,Ethernet129,r-bison-23,Ethernet129,100000,10,Access,on
r-bison-22,Ethernet130,r-bison-23,Ethernet130,100000,10,Access,on
r-bison-22,Ethernet131,r-bison-23,Ethernet131,100000,10,Access,on
r-bison-22,Ethernet132,r-bison-23,Ethernet132,100000,3732,Access,on
r-bison-22,Ethernet133,r-bison-23,Ethernet133,100000,10,Access,on
r-bison-22,Ethernet134,r-bison-23,Ethernet134,100000,10,Access,on
r-bison-22,Ethernet135,r-bison-23,Ethernet135,100000,10,Access,on
r-bison-22,Ethernet136,r-bison-23,Ethernet136,100000,3733,Access,on
r-bison-22,Ethernet137,r-bison-23,Ethernet137,100000,10,Access,on
r-bison-22,Ethernet138,r-bison-23,Ethernet138,100000,10,Access,on
r-bison-22,Ethernet139,r-bison-23,Ethernet139,100000,10,Access,on
r-bison-22,Ethernet140,r-bison-23,Ethernet140,100000,3734,Access,on
r-bison-22,Ethernet141,r-bison-23,Ethernet141,100000,10,Access,on
r-bison-22,Ethernet142,r-bison-23,Ethernet142,100000,10,Access,on
r-bison-22,Ethernet143,r-bison-23,Ethernet143,100000,10,Access,on
r-bison-22,Ethernet144,r-bison-23,Ethernet144,100000,3735,Access,on
r-bison-22,Ethernet145,r-bison-23,Ethernet145,100000,3736,Access,on
r-bison-22,Ethernet146,r-bison-23,Ethernet146,100000,3737,Access,on
r-bison-22,Ethernet147,r-bison-23,Ethernet147,100000,3738,Access,on
r-bison-22,Ethernet148,r-bison-23,Ethernet148,100000,3739,Access,on
r-bison-22,Ethernet149,r-bison-23,Ethernet149,100000,3740,Access,on
r-bison-22,Ethernet150,r-bison-23,Ethernet150,100000,3741,Access,on
r-bison-22,Ethernet151,r-bison-23,Ethernet151,100000,3742,Access,on
r-bison-22,Ethernet152,r-bison-23,Ethernet152,100000,3743,Access,on
r-bison-22,Ethernet153,r-bison-23,Ethernet153,100000,3744,Access,on
r-bison-22,Ethernet154,r-bison-23,Ethernet154,100000,3745,Access,on
r-bison-22,Ethernet155,r-bison-23,Ethernet155,100000,3746,Access,on
r-bison-22,Ethernet156,r-bison-23,Ethernet156,100000,3747,Access,on
