StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bobcat-01,Ethernet0,r-leopard-82,Ethernet0,400000,201,Access,on
r-bobcat-01,Ethernet8,r-leopard-82,Ethernet8,400000,202,Access,on
r-bobcat-01,Ethernet16,r-leopard-82,Ethernet16,400000,203,Access,on
r-bobcat-01,Ethernet24,r-leopard-82,Ethernet24,400000,204,Access,on
r-bobcat-01,Ethernet32,r-leopard-82,Ethernet32,400000,205,Access,on
r-bobcat-01,Ethernet40,r-leopard-82,Ethernet40,400000,206,Access,on
r-bobcat-01,Ethernet48,r-leopard-82,Ethernet48,400000,207,Access,on
r-bobcat-01,Ethernet56,r-leopard-82,Ethernet56,400000,208,Access,on
r-bobcat-01,Ethernet64,r-leopard-82,Ethernet64,400000,209,Access,on
r-bobcat-01,Ethernet72,r-leopard-82,Ethernet72,400000,210,Access,on
r-bobcat-01,Ethernet80,r-leopard-82,Ethernet80,400000,211,Access,on
r-bobcat-01,Ethernet88,r-leopard-82,Ethernet88,400000,212,Access,on
r-bobcat-01,Ethernet96,r-leopard-82,Ethernet96,400000,213,Access,on
r-bobcat-01,Ethernet104,r-leopard-82,Ethernet104,400000,214,Access,on
r-bobcat-01,Ethernet112,r-leopard-82,Ethernet112,400000,215,Access,on
r-bobcat-01,Ethernet120,r-leopard-82,Ethernet120,400000,216,Access,on
r-bobcat-01,Ethernet128,r-leopard-82,Ethernet128,400000,217,Access,on
r-bobcat-01,Ethernet136,r-leopard-82,Ethernet136,400000,218,Access,on
r-bobcat-01,Ethernet144,r-leopard-82,Ethernet144,400000,219,Access,on
r-bobcat-01,Ethernet152,r-leopard-82,Ethernet152,400000,220,Access,on
r-bobcat-01,Ethernet160,r-leopard-82,Ethernet160,400000,221,Access,on
r-bobcat-01,Ethernet168,r-leopard-82,Ethernet168,400000,222,Access,on
r-bobcat-01,Ethernet176,r-leopard-82,Ethernet176,400000,223,Access,on
r-bobcat-01,Ethernet184,r-leopard-82,Ethernet184,400000,224,Access,on
r-bobcat-01,Ethernet192,r-leopard-82,Ethernet192,400000,225,Access,on
r-bobcat-01,Ethernet200,r-leopard-82,Ethernet200,400000,226,Access,on
r-bobcat-01,Ethernet208,r-leopard-82,Ethernet208,400000,227,Access,on
r-bobcat-01,Ethernet216,r-leopard-82,Ethernet216,400000,228,Access,on
r-leopard-82,Ethernet248,r-r740-14,enp21p1,100000,201-232,Trunk
