StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-leopard-01,Ethernet0,r-leopard-20,Ethernet0,100000,101,Access
r-leopard-01,Ethernet4,r-leopard-20,Ethernet4,100000,102,Access
r-leopard-01,Ethernet8,r-leopard-20,Ethernet8,100000,103,Access
r-leopard-01,Ethernet12,r-leopard-20,Ethernet12,100000,104,Access
r-leopard-01,Ethernet16,r-leopard-20,Ethernet16,100000,105,Access
r-leopard-01,Ethernet20,r-leopard-20,Ethernet20,100000,106,Access
r-leopard-01,Ethernet24,r-leopard-20,Ethernet24,100000,107,Access
r-leopard-01,Ethernet28,r-leopard-20,Ethernet28,100000,108,Access
r-leopard-01,Ethernet32,r-leopard-20,Ethernet32,100000,109,Access
r-leopard-01,Ethernet36,r-leopard-20,Ethernet36,100000,110,Access
r-leopard-01,Ethernet40,r-leopard-20,Ethernet40,100000,111,Access
r-leopard-01,Ethernet44,r-leopard-20,Ethernet44,100000,112,Access
r-leopard-01,Ethernet48,r-leopard-20,Ethernet48,100000,113,Access
r-leopard-01,Ethernet52,r-leopard-20,Ethernet52,100000,114,Access
r-leopard-01,Ethernet56,r-leopard-20,Ethernet56,100000,115,Access
r-leopard-01,Ethernet60,r-leopard-20,Ethernet60,100000,116,Access
r-leopard-01,Ethernet64,r-leopard-20,Ethernet64,100000,117,Access
r-leopard-01,Ethernet68,r-leopard-20,Ethernet68,100000,118,Access
r-leopard-01,Ethernet72,r-leopard-20,Ethernet72,100000,119,Access
r-leopard-01,Ethernet76,r-leopard-20,Ethernet76,100000,120,Access
r-leopard-01,Ethernet80,r-leopard-20,Ethernet80,100000,121,Access
r-leopard-01,Ethernet84,r-leopard-20,Ethernet84,100000,122,Access
r-leopard-01,Ethernet88,r-leopard-20,Ethernet88,100000,123,Access
r-leopard-01,Ethernet92,r-leopard-20,Ethernet92,100000,124,Access
r-leopard-01,Ethernet96,r-leopard-20,Ethernet96,400000,125,Access
r-leopard-01,Ethernet104,r-leopard-20,Ethernet104,400000,126,Access
r-leopard-01,Ethernet112,r-leopard-20,Ethernet112,400000,127,Access
r-leopard-01,Ethernet120,r-leopard-20,Ethernet120,400000,128,Access
r-leopard-01,Ethernet128,r-leopard-20,Ethernet128,400000,129,Access
r-leopard-01,Ethernet136,r-leopard-20,Ethernet136,400000,130,Access
r-leopard-01,Ethernet144,r-leopard-20,Ethernet144,400000,131,Access
r-leopard-01,Ethernet152,r-leopard-20,Ethernet152,400000,132,Access
r-leopard-01,Ethernet160,r-leopard-20,Ethernet160,100000,133,Access
r-leopard-01,Ethernet164,r-leopard-20,Ethernet164,100000,134,Access
r-leopard-01,Ethernet168,r-leopard-20,Ethernet168,100000,135,Access
r-leopard-01,Ethernet172,r-leopard-20,Ethernet172,100000,136,Access
r-leopard-01,Ethernet176,r-leopard-20,Ethernet176,100000,137,Access
r-leopard-01,Ethernet180,r-leopard-20,Ethernet180,100000,138,Access
r-leopard-01,Ethernet184,r-leopard-20,Ethernet184,100000,139,Access
r-leopard-01,Ethernet188,r-leopard-20,Ethernet188,100000,140,Access
r-leopard-01,Ethernet192,r-leopard-20,Ethernet192,100000,141,Access
r-leopard-01,Ethernet196,r-leopard-20,Ethernet196,100000,142,Access
r-leopard-01,Ethernet200,r-leopard-20,Ethernet200,100000,143,Access
r-leopard-01,Ethernet204,r-leopard-20,Ethernet204,100000,144,Access
r-leopard-01,Ethernet208,r-leopard-20,Ethernet208,100000,145,Access
r-leopard-01,Ethernet212,r-leopard-20,Ethernet212,100000,146,Access
r-leopard-01,Ethernet216,r-leopard-20,Ethernet216,100000,147,Access
r-leopard-01,Ethernet220,r-leopard-20,Ethernet220,100000,148,Access
r-leopard-01,Ethernet224,r-leopard-20,Ethernet224,100000,149,Access
r-leopard-01,Ethernet228,r-leopard-20,Ethernet228,100000,150,Access
r-leopard-01,Ethernet232,r-leopard-20,Ethernet232,100000,151,Access
r-leopard-01,Ethernet236,r-leopard-20,Ethernet236,100000,101-156,Trunk
r-leopard-01,Ethernet240,r-leopard-20,Ethernet240,100000,153,Access
r-leopard-01,Ethernet244,r-leopard-20,Ethernet244,100000,154,Access
r-leopard-01,Ethernet248,r-leopard-20,Ethernet248,100000,155,Access
r-leopard-01,Ethernet252,r-leopard-20,Ethernet252,100000,156,Access
r-leopard-20,Ethernet236,arc-host70,p5p1,100000,101-156,Trunk
