StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-moose-01,Ethernet0,r-moose-04,Ethernet0,200000,101,Access,on
r-moose-01,Ethernet2,r-moose-04,Ethernet2,200000,102,Access,on
r-moose-01,Ethernet4,r-moose-04,Ethernet4,200000,103,Access,on
r-moose-01,Ethernet6,r-moose-04,Ethernet6,200000,104,Access,on
r-moose-01,Ethernet8,r-moose-04,Ethernet8,200000,105,Access,on
r-moose-01,Ethernet10,r-moose-04,Ethernet10,200000,106,Access,on
r-moose-01,Ethernet12,r-moose-04,Ethernet12,200000,107,Access,on
r-moose-01,Ethernet14,r-moose-04,Ethernet14,200000,108,Access,on
r-moose-01,Ethernet16,r-moose-04,Ethernet16,200000,109,Access,on
r-moose-01,Ethernet18,r-moose-04,Ethernet18,200000,110,Access,on
r-moose-01,Ethernet20,r-moose-04,Ethernet20,200000,111,Access,on
r-moose-01,Ethernet22,r-moose-04,Ethernet22,200000,112,Access,on
r-moose-01,Ethernet24,r-moose-04,Ethernet24,200000,113,Access,on
r-moose-01,Ethernet26,r-moose-04,Ethernet26,200000,114,Access,on
r-moose-01,Ethernet28,r-moose-04,Ethernet28,200000,115,Access,on
r-moose-01,Ethernet30,r-moose-04,Ethernet30,200000,116,Access,on
r-moose-01,Ethernet32,r-moose-04,Ethernet32,200000,117,Access,on
r-moose-01,Ethernet34,r-moose-04,Ethernet34,200000,118,Access,on
r-moose-01,Ethernet36,r-moose-04,Ethernet36,200000,119,Access,on
r-moose-01,Ethernet38,r-moose-04,Ethernet38,200000,120,Access,on
r-moose-01,Ethernet40,r-moose-04,Ethernet40,200000,121,Access,on
r-moose-01,Ethernet42,r-moose-04,Ethernet42,200000,122,Access,on
r-moose-01,Ethernet44,r-moose-04,Ethernet44,200000,123,Access,on
r-moose-01,Ethernet46,r-moose-04,Ethernet46,200000,124,Access,on
r-moose-01,Ethernet48,r-moose-04,Ethernet48,200000,125,Access,on
r-moose-01,Ethernet50,r-moose-04,Ethernet50,200000,126,Access,on
r-moose-01,Ethernet52,r-moose-04,Ethernet52,200000,127,Access,on
r-moose-01,Ethernet54,r-moose-04,Ethernet54,200000,128,Access,on
r-moose-01,Ethernet56,r-moose-04,Ethernet56,200000,129,Access,on
r-moose-01,Ethernet58,r-moose-04,Ethernet58,200000,130,Access,on
r-moose-01,Ethernet60,r-moose-04,Ethernet60,200000,131,Access,on
