StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-panther-45,Ethernet0,r-panther-46,ethernet 1/1,100000,101,Access
r-panther-45,Ethernet4,r-panther-46,ethernet 1/2,100000,102,Access
r-panther-45,Ethernet8,r-panther-46,ethernet 1/3,100000,103,Access
r-panther-45,Ethernet12,r-panther-46,ethernet 1/4,100000,104,Access
r-panther-45,Ethernet16,r-panther-46,ethernet 1/5,100000,105,Access
r-panther-45,Ethernet20,r-panther-46,ethernet 1/6,100000,106,Access
r-panther-45,Ethernet24,r-panther-46,ethernet 1/7,100000,107,Access
r-panther-45,Ethernet28,r-panther-46,ethernet 1/8,100000,108,Access
r-panther-45,Ethernet32,r-panther-46,ethernet 1/9,100000,109,Access
r-panther-45,Ethernet36,r-panther-46,ethernet 1/10,100000,110,Access
r-panther-45,Ethernet40,r-panther-46,ethernet 1/11,100000,111,Access
r-panther-45,Ethernet44,r-panther-46,ethernet 1/12,100000,112,Access
r-panther-45,Ethernet48,r-panther-46,ethernet 1/13,100000,113,Access
r-panther-45,Ethernet52,r-panther-46,ethernet 1/14,100000,114,Access
r-panther-45,Ethernet56,r-panther-46,ethernet 1/15,100000,115,Access
r-panther-45,Ethernet60,r-panther-46,ethernet 1/16,100000,116,Access
r-panther-45,Ethernet64,r-panther-46,ethernet 1/17,100000,117,Access
r-panther-45,Ethernet68,r-panther-46,ethernet 1/18,100000,118,Access
r-panther-45,Ethernet72,r-panther-46,ethernet 1/19,100000,119,Access
r-panther-45,Ethernet76,r-panther-46,ethernet 1/20,100000,120,Access
r-panther-45,Ethernet80,r-panther-46,ethernet 1/21,100000,121,Access
r-panther-45,Ethernet84,r-panther-46,ethernet 1/22,100000,122,Access
r-panther-45,Ethernet88,r-panther-46,ethernet 1/23,100000,123,Access
r-panther-45,Ethernet92,r-panther-46,ethernet 1/24,100000,124,Access
r-panther-45,Ethernet96,r-panther-46,ethernet 1/25,100000,125,Access
r-panther-45,Ethernet100,r-panther-46,ethernet 1/26,100000,126,Access
r-panther-45,Ethernet104,r-panther-46,ethernet 1/27,100000,127,Access
r-panther-45,Ethernet108,r-panther-46,ethernet 1/28,100000,128,Access
r-panther-45,Ethernet112,r-panther-46,ethernet 1/29,100000,129,Access
r-panther-45,Ethernet116,r-panther-46,ethernet 1/30,100000,130,Access
r-panther-45,Ethernet120,r-panther-46,ethernet 1/31/1,50000,131,Access
r-panther-45,Ethernet124,r-panther-46,ethernet 1/31/2,50000,132,Access
r-panther-46,ethernet 1/32,r-dl360-01,p2p2,100000,101-132,Trunk
