StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-panther-48,Ethernet0,r-anaconda-68,ethernet 1/1/1,10000,101,Access
r-panther-48,Ethernet1,r-anaconda-68,ethernet 1/1/2,10000,102,Access
r-panther-48,Ethernet2,r-anaconda-68,ethernet 1/1/3,10000,103,Access
r-panther-48,Ethernet3,r-anaconda-68,ethernet 1/1/4,10000,104,Access
r-panther-48,Ethernet8,r-anaconda-68,ethernet 1/3/1,10000,105,Access
r-panther-48,Ethernet9,r-anaconda-68,ethernet 1/3/2,10000,106,Access
r-panther-48,Ethernet10,r-anaconda-68,ethernet 1/3/3,10000,107,Access
r-panther-48,Ethernet11,r-anaconda-68,ethernet 1/3/4,10000,108,Access
r-panther-48,Ethernet16,r-anaconda-68,ethernet 1/5/1,50000,109,Access
r-panther-48,Ethernet18,r-anaconda-68,ethernet 1/5/2,50000,110,Access
r-panther-48,Ethernet20,r-anaconda-68,ethernet 1/6/1,50000,111,Access
r-panther-48,Ethernet22,r-anaconda-68,ethernet 1/6/2,50000,112,Access
r-panther-48,Ethernet24,r-anaconda-68,ethernet 1/7,100000,113,Access
r-panther-48,Ethernet28,r-anaconda-68,ethernet 1/8,100000,114,Access
r-panther-48,Ethernet32,r-anaconda-68,ethernet 1/9,100000,115,Access
r-panther-48,Ethernet36,r-anaconda-68,ethernet 1/10,100000,116,Access
r-panther-48,Ethernet40,r-anaconda-68,ethernet 1/11/1,50000,117,Access
r-panther-48,Ethernet42,r-anaconda-68,ethernet 1/11/2,50000,118,Access
r-panther-48,Ethernet44,r-anaconda-68,ethernet 1/12/1,50000,119,Access
r-panther-48,Ethernet46,r-anaconda-68,ethernet 1/12/2,50000,120,Access
r-panther-48,Ethernet48,r-anaconda-68,ethernet 1/13/1,50000,121,Access
r-panther-48,Ethernet50,r-anaconda-68,ethernet 1/13/2,50000,122,Access
r-panther-48,Ethernet52,r-anaconda-68,ethernet 1/14/1,50000,123,Access
r-panther-48,Ethernet54,r-anaconda-68,ethernet 1/14/2,50000,124,Access
r-panther-48,Ethernet56,r-anaconda-68,ethernet 1/15/1,50000,125,Access
r-panther-48,Ethernet58,r-anaconda-68,ethernet 1/15/2,50000,126,Access
r-panther-48,Ethernet60,r-anaconda-68,ethernet 1/16/1,50000,127,Access
r-panther-48,Ethernet62,r-anaconda-68,ethernet 1/16/2,50000,128,Access
r-panther-48,Ethernet64,r-anaconda-68,ethernet 1/17/1,50000,129,Access
r-panther-48,Ethernet66,r-anaconda-68,ethernet 1/17/2,50000,130,Access
r-panther-48,Ethernet68,r-anaconda-68,ethernet 1/18/1,50000,131,Access
r-panther-48,Ethernet70,r-anaconda-68,ethernet 1/18/2,50000,132,Access
r-panther-48,Ethernet72,r-anaconda-68,ethernet 1/19/1,50000,133,Access
r-panther-48,Ethernet74,r-anaconda-68,ethernet 1/19/2,50000,134,Access
r-panther-48,Ethernet76,r-anaconda-68,ethernet 1/20/1,50000,135,Access
r-panther-48,Ethernet78,r-anaconda-68,ethernet 1/20/2,50000,136,Access
r-panther-48,Ethernet80,r-anaconda-68,ethernet 1/21/1,50000,137,Access
r-panther-48,Ethernet82,r-anaconda-68,ethernet 1/21/2,50000,138,Access
r-panther-48,Ethernet84,r-anaconda-68,ethernet 1/22/1,50000,139,Access
r-panther-48,Ethernet86,r-anaconda-68,ethernet 1/22/2,50000,140,Access
r-panther-48,Ethernet88,r-anaconda-68,ethernet 1/23,100000,141,Access
r-panther-48,Ethernet92,r-anaconda-68,ethernet 1/24,100000,142,Access
r-panther-48,Ethernet96,r-anaconda-68,ethernet 1/25/1,50000,143,Access
r-panther-48,Ethernet100,r-anaconda-68,ethernet 1/25/2,50000,144,Access
r-panther-48,Ethernet104,r-anaconda-68,ethernet 1/27/1,50000,145,Access
r-panther-48,Ethernet106,r-anaconda-68,ethernet 1/27/2,50000,146,Access
r-panther-48,Ethernet108,r-anaconda-68,ethernet 1/28/1,50000,147,Access
r-panther-48,Ethernet110,r-anaconda-68,ethernet 1/28/2,50000,148,Access
r-panther-48,Ethernet112,r-anaconda-68,ethernet 1/29/1,50000,149,Access
r-panther-48,Ethernet114,r-anaconda-68,ethernet 1/29/2,50000,150,Access
r-panther-48,Ethernet116,r-anaconda-68,ethernet 1/30/1,50000,151,Access
r-panther-48,Ethernet118,r-anaconda-68,ethernet 1/30/2,50000,152,Access
r-panther-48,Ethernet120,r-anaconda-68,ethernet 1/31/1,50000,153,Access
r-panther-48,Ethernet122,r-anaconda-68,ethernet 1/31/2,50000,154,Access
r-panther-48,Ethernet124,r-anaconda-68,ethernet 1/32/1,50000,155,Access
r-panther-48,Ethernet126,r-anaconda-68,ethernet 1/32/2,50000,156,Access
r-anaconda-68,ethernet 1/26,r-r740-15,p4p1,100000,101-156,Trunk
