StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-tigon-04,Ethernet0,r-tigon-14,Ethernet0,100000,101,Access
r-tigon-04,Ethernet4,r-tigon-14,Ethernet4,100000,102,Access
r-tigon-04,Ethernet8,r-tigon-14,Ethernet8,100000,103,Access
r-tigon-04,Ethernet12,r-tigon-14,Ethernet12,100000,104,Access
r-tigon-04,Ethernet16,r-tigon-14,Ethernet16,100000,105,Access
r-tigon-04,Ethernet20,r-tigon-14,Ethernet20,100000,106,Access
r-tigon-04,Ethernet24,r-tigon-14,Ethernet24,100000,107,Access
r-tigon-04,Ethernet28,r-tigon-14,Ethernet28,100000,108,Access
r-tigon-04,Ethernet32,r-tigon-14,Ethernet32,100000,109,Access
r-tigon-04,Ethernet36,r-tigon-14,Ethernet36,100000,110,Access
r-tigon-04,Ethernet40,r-tigon-14,Ethernet40,100000,111,Access
r-tigon-04,Ethernet44,r-tigon-14,Ethernet44,100000,112,Access
r-tigon-04,Ethernet48,r-tigon-14,Ethernet48,100000,113,Access
r-tigon-04,Ethernet52,r-tigon-14,Ethernet52,100000,114,Access
r-tigon-04,Ethernet56,r-tigon-14,Ethernet56,100000,115,Access
r-tigon-04,Ethernet60,r-tigon-14,Ethernet60,100000,116,Access
r-tigon-04,Ethernet64,r-tigon-14,Ethernet64,100000,117,Access
r-tigon-04,Ethernet68,r-tigon-14,Ethernet68,100000,118,Access
r-tigon-04,Ethernet72,r-tigon-14,Ethernet72,100000,119,Access
r-tigon-04,Ethernet76,r-tigon-14,Ethernet76,100000,120,Access
r-tigon-04,Ethernet80,r-tigon-14,Ethernet80,100000,121,Access
r-tigon-04,Ethernet84,r-tigon-14,Ethernet84,100000,122,Access
r-tigon-04,Ethernet88,r-tigon-14,Ethernet88,100000,123,Access
r-tigon-04,Ethernet92,r-tigon-14,Ethernet92,100000,124,Access
r-tigon-04,Ethernet96,r-tigon-14,Ethernet96,100000,125,Access
r-tigon-04,Ethernet100,r-tigon-14,Ethernet100,100000,126,Access
r-tigon-04,Ethernet104,r-tigon-14,Ethernet104,100000,127,Access
r-tigon-04,Ethernet108,r-tigon-14,Ethernet108,100000,128,Access
r-tigon-04,Ethernet112,r-tigon-14,Ethernet112,100000,129,Access
r-tigon-04,Ethernet116,r-tigon-14,Ethernet116,100000,130,Access
r-tigon-04,Ethernet120,r-tigon-14,Ethernet120,100000,131,Access
r-tigon-04,Ethernet124,r-tigon-14,Ethernet124,100000,132,Access
r-tigon-04,Ethernet128,r-tigon-14,Ethernet128,100000,133,Access
r-tigon-04,Ethernet132,r-tigon-14,Ethernet132,100000,134,Access
r-tigon-04,Ethernet136,r-tigon-14,Ethernet136,100000,135,Access
r-tigon-04,Ethernet140,r-tigon-14,Ethernet140,100000,136,Access
r-tigon-04,Ethernet144,r-tigon-14,Ethernet144,100000,137,Access
r-tigon-04,Ethernet148,r-tigon-14,Ethernet148,100000,138,Access
r-tigon-04,Ethernet152,r-tigon-14,Ethernet152,100000,139,Access
r-tigon-04,Ethernet156,r-tigon-14,Ethernet156,100000,140,Access
r-tigon-04,Ethernet160,r-tigon-14,Ethernet160,100000,141,Access
r-tigon-04,Ethernet164,r-tigon-14,Ethernet164,100000,142,Access
r-tigon-04,Ethernet168,r-tigon-14,Ethernet168,100000,143,Access
r-tigon-04,Ethernet172,r-tigon-14,Ethernet172,100000,144,Access
r-tigon-04,Ethernet176,r-tigon-14,Ethernet176,100000,145,Access
r-tigon-04,Ethernet180,r-tigon-14,Ethernet180,100000,146,Access
r-tigon-04,Ethernet184,r-tigon-14,Ethernet184,100000,147,Access
r-tigon-04,Ethernet188,r-tigon-14,Ethernet188,100000,148,Access
r-tigon-04,Ethernet192,r-tigon-14,Ethernet192,100000,149,Access
r-tigon-04,Ethernet196,r-tigon-14,Ethernet196,100000,150,Access
r-tigon-04,Ethernet200,r-tigon-14,Ethernet200,100000,151,Access
r-tigon-04,Ethernet204,r-tigon-14,Ethernet204,100000,152,Access
r-tigon-04,Ethernet208,r-tigon-14,Ethernet208,100000,153,Access
r-tigon-04,Ethernet212,r-tigon-14,Ethernet212,100000,154,Access
r-tigon-04,Ethernet216,r-tigon-14,Ethernet216,100000,155,Access
r-tigon-04,Ethernet220,r-tigon-14,Ethernet220,100000,156,Access
r-tigon-04,Ethernet224,r-tigon-14,Ethernet224,100000,157,Access
r-tigon-04,Ethernet228,r-tigon-14,Ethernet228,100000,158,Access
r-tigon-04,Ethernet232,r-tigon-14,Ethernet232,100000,159,Access
r-tigon-04,Ethernet236,r-tigon-14,Ethernet236,100000,160,Access
r-tigon-04,Ethernet240,r-tigon-14,Ethernet240,100000,161,Access
r-tigon-04,Ethernet244,r-tigon-14,Ethernet244,100000,162,Access
r-tigon-04,Ethernet248,r-tigon-14,Ethernet248,50000,163,Access
r-tigon-04,Ethernet252,r-tigon-14,Ethernet252,50000,101-164,Trunk
r-tigon-14,Ethernet252,arc-host62,p2p1,100000,101-164,Trunk
