StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-tigris-04,Ethernet0,r-tigris-17,ethernet 1/1/1,50000,101,Access
r-tigris-04,Ethernet2,r-tigris-17,ethernet 1/1/2,50000,102,Access
r-tigris-04,Ethernet4,r-tigris-17,ethernet 1/2/1,50000,103,Access
r-tigris-04,Ethernet6,r-tigris-17,ethernet 1/2/2,50000,104,Access
r-tigris-04,Ethernet8,r-tigris-17,ethernet 1/3/1,50000,105,Access
r-tigris-04,Ethernet10,r-tigris-17,ethernet 1/3/2,50000,106,Access
r-tigris-04,Ethernet12,r-tigris-17,ethernet 1/4/1,50000,107,Access
r-tigris-04,Ethernet14,r-tigris-17,ethernet 1/4/3,50000,108,Access
r-tigris-04,Ethernet16,r-tigris-17,ethernet 1/5/1,50000,109,Access
r-tigris-04,Ethernet18,r-tigris-17,ethernet 1/5/2,50000,110,Access
r-tigris-04,Ethernet20,r-tigris-17,ethernet 1/6/1,50000,111,Access
r-tigris-04,Ethernet22,r-tigris-17,ethernet 1/6/2,50000,112,Access
r-tigris-04,Ethernet24,r-tigris-17,ethernet 1/7/1,50000,113,Access
r-tigris-04,Ethernet26,r-tigris-17,ethernet 1/7/2,50000,114,Access
r-tigris-04,Ethernet28,r-tigris-17,ethernet 1/8/1,50000,115,Access
r-tigris-04,Ethernet30,r-tigris-17,ethernet 1/8/2,50000,116,Access
r-tigris-04,Ethernet32,r-tigris-17,ethernet 1/9/1,50000,117,Access
r-tigris-04,Ethernet34,r-tigris-17,ethernet 1/9/2,50000,118,Access
r-tigris-04,Ethernet36,r-tigris-17,ethernet 1/10/1,50000,119,Access
r-tigris-04,Ethernet38,r-tigris-17,ethernet 1/10/2,50000,120,Access
r-tigris-04,Ethernet40,r-tigris-17,ethernet 1/11/1,50000,121,Access
r-tigris-04,Ethernet42,r-tigris-17,ethernet 1/11/2,50000,122,Access
r-tigris-04,Ethernet44,r-tigris-17,ethernet 1/12/1,50000,123,Access
r-tigris-04,Ethernet46,r-tigris-17,ethernet 1/12/2,50000,124,Access
r-tigris-04,Ethernet48,r-tigris-17,ethernet 1/13/1,50000,125,Access
r-tigris-04,Ethernet50,r-tigris-17,ethernet 1/13/2,50000,126,Access
r-tigris-04,Ethernet52,r-tigris-17,ethernet 1/14/1,50000,127,Access
r-tigris-04,Ethernet54,r-tigris-17,ethernet 1/14/2,50000,128,Access
r-tigris-04,Ethernet56,r-tigris-17,ethernet 1/15/1,50000,129,Access
r-tigris-04,Ethernet58,r-tigris-17,ethernet 1/15/2,50000,130,Access
r-tigris-04,Ethernet60,r-tigris-17,ethernet 1/16/1,50000,131,Access
r-tigris-04,Ethernet62,r-tigris-17,ethernet 1/16/2,50000,132,Access
r-tigris-04,Ethernet64,r-tigris-17,ethernet 1/17/1,50000,133,Access
r-tigris-04,Ethernet66,r-tigris-17,ethernet 1/17/2,50000,134,Access
r-tigris-04,Ethernet68,r-tigris-17,ethernet 1/18/1,50000,135,Access
r-tigris-04,Ethernet70,r-tigris-17,ethernet 1/18/2,50000,136,Access
r-tigris-04,Ethernet72,r-tigris-17,ethernet 1/19/1,50000,137,Access
r-tigris-04,Ethernet74,r-tigris-17,ethernet 1/19/2,50000,138,Access
r-tigris-04,Ethernet76,r-tigris-17,ethernet 1/20/1,50000,139,Access
r-tigris-04,Ethernet78,r-tigris-17,ethernet 1/20/2,50000,140,Access
r-tigris-04,Ethernet80,r-tigris-17,ethernet 1/21/1,50000,141,Access
r-tigris-04,Ethernet82,r-tigris-17,ethernet 1/21/2,50000,142,Access
r-tigris-04,Ethernet84,r-tigris-17,ethernet 1/22/1,50000,143,Access
r-tigris-04,Ethernet86,r-tigris-17,ethernet 1/22/2,50000,144,Access
r-tigris-04,Ethernet88,r-tigris-17,ethernet 1/23/1,50000,145,Access
r-tigris-04,Ethernet90,r-tigris-17,ethernet 1/23/2,50000,146,Access
r-tigris-04,Ethernet92,r-tigris-17,ethernet 1/24/1,50000,147,Access
r-tigris-04,Ethernet94,r-tigris-17,ethernet 1/24/2,50000,148,Access
r-tigris-04,Ethernet96,r-tigris-17,ethernet 1/25,100000,149,Access
r-tigris-04,Ethernet100,r-tigris-17,ethernet 1/26,100000,150,Access
r-tigris-04,Ethernet104,r-tigris-17,ethernet 1/27/1,50000,151,Access
r-tigris-04,Ethernet106,r-tigris-17,ethernet 1/27/2,50000,152,Access
r-tigris-04,Ethernet108,r-tigris-17,ethernet 1/28/1,50000,153,Access
r-tigris-04,Ethernet110,r-tigris-17,ethernet 1/28/2,50000,154,Access
r-tigris-04,Ethernet112,r-tigris-17,ethernet 1/29,100000,155,Access
r-tigris-04,Ethernet116,r-tigris-17,ethernet 1/30,100000,156,Access
