StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
slm-16,Ethernet0,slm-17,Ethernet0,800000,1101,Access,off
slm-16,Ethernet4,slm-17,Ethernet4,800000,1102,Access,off
slm-16,Ethernet8,slm-17,Ethernet8,800000,1103,Access,off
slm-16,Ethernet12,slm-17,Ethernet12,800000,1104,Access,off
slm-16,Ethernet16,slm-17,Ethernet16,800000,1105,Access,off
slm-16,Ethernet20,slm-17,Ethernet20,800000,1106,Access,off
slm-16,Ethernet24,slm-17,Ethernet24,800000,1107,Access,off
slm-16,Ethernet28,slm-17,Ethernet28,800000,1108,Access,off
slm-16,Ethernet32,slm-17,Ethernet32,800000,1109,Access,off
slm-16,Ethernet36,slm-17,Ethernet36,800000,1110,Access,off
slm-16,Ethernet40,slm-17,Ethernet40,800000,1111,Access,off
slm-16,Ethernet44,slm-17,Ethernet44,800000,1112,Access,off
slm-16,Ethernet48,slm-17,Ethernet48,800000,1113,Access,off
slm-16,Ethernet52,slm-17,Ethernet52,800000,1114,Access,off
slm-16,Ethernet56,slm-17,Ethernet56,800000,1115,Access,off
slm-16,Ethernet60,slm-17,Ethernet60,800000,1116,Access,off
slm-16,Ethernet64,slm-17,Ethernet64,800000,1117,Access,off
slm-16,Ethernet68,slm-17,Ethernet68,800000,1118,Access,off
slm-16,Ethernet72,slm-17,Ethernet72,800000,1119,Access,off
slm-16,Ethernet76,slm-17,Ethernet76,800000,1120,Access,off
slm-16,Ethernet80,slm-17,Ethernet80,800000,1121,Access,off
slm-16,Ethernet84,slm-17,Ethernet84,800000,1122,Access,off
slm-16,Ethernet88,slm-17,Ethernet88,800000,1123,Access,off
slm-16,Ethernet92,slm-17,Ethernet92,800000,1124,Access,off
slm-16,Ethernet96,slm-17,Ethernet96,800000,1125,Access,off
slm-16,Ethernet100,slm-17,Ethernet100,800000,1126,Access,off
slm-16,Ethernet104,slm-17,Ethernet104,800000,1127,Access,off
slm-16,Ethernet108,slm-17,Ethernet108,800000,1128,Access,off
slm-16,Ethernet112,slm-17,Ethernet112,800000,1129,Access,off
slm-16,Ethernet116,slm-17,Ethernet116,800000,1130,Access,off
slm-16,Ethernet120,slm-17,Ethernet120,800000,1131,Access,off
slm-16,Ethernet124,slm-17,Ethernet124,800000,1132,Access,off
slm-16,Ethernet128,slm-17,Ethernet128,800000,1133,Access,off
slm-16,Ethernet132,slm-17,Ethernet132,800000,1134,Access,off
slm-16,Ethernet136,slm-17,Ethernet136,800000,1135,Access,off
slm-16,Ethernet140,slm-17,Ethernet140,800000,1136,Access,off
slm-16,Ethernet144,slm-17,Ethernet144,800000,1137,Access,off
slm-16,Ethernet148,slm-17,Ethernet148,800000,1138,Access,off
slm-16,Ethernet152,slm-17,Ethernet152,800000,1139,Access,off
slm-16,Ethernet156,slm-17,Ethernet156,800000,1140,Access,off
slm-16,Ethernet160,slm-17,Ethernet160,800000,1141,Access,off
slm-16,Ethernet164,slm-17,Ethernet164,800000,1142,Access,off
slm-16,Ethernet168,slm-17,Ethernet168,800000,1143,Access,off
slm-16,Ethernet172,slm-17,Ethernet172,800000,1144,Access,off
slm-16,Ethernet176,slm-17,Ethernet176,800000,1145,Access,off
slm-16,Ethernet180,slm-17,Ethernet180,800000,1146,Access,off
slm-16,Ethernet184,slm-17,Ethernet184,800000,1147,Access,off
slm-16,Ethernet188,slm-17,Ethernet188,800000,1148,Access,off
slm-16,Ethernet192,slm-17,Ethernet192,800000,1149,Access,off
slm-16,Ethernet196,slm-17,Ethernet196,800000,1150,Access,off
slm-16,Ethernet200,slm-17,Ethernet200,800000,1151,Access,off
slm-16,Ethernet204,slm-17,Ethernet204,800000,1152,Access,off
slm-16,Ethernet208,slm-17,Ethernet208,800000,1153,Access,off
slm-16,Ethernet212,slm-17,Ethernet212,800000,1154,Access,off
slm-16,Ethernet216,slm-17,Ethernet216,800000,1155,Access,off
slm-16,Ethernet220,slm-17,Ethernet220,800000,1156,Access,off
slm-16,Ethernet224,slm-17,Ethernet224,800000,1157,Access,off
slm-16,Ethernet228,slm-17,Ethernet228,800000,1158,Access,off
slm-16,Ethernet232,slm-17,Ethernet232,800000,1159,Access,off
slm-16,Ethernet236,slm-17,Ethernet236,800000,1160,Access,off
slm-16,Ethernet240,slm-17,Ethernet240,800000,1161,Access,off
slm-16,Ethernet244,slm-17,Ethernet244,800000,1162,Access,off
slm-16,Ethernet248,slm-17,Ethernet248,800000,1163,Access,off
slm-16,Ethernet252,slm-17,Ethernet252,800000,1164,Access,off
slm-16,Ethernet256,slm-17,Ethernet256,800000,1165,Access,off
slm-16,Ethernet260,slm-17,Ethernet260,800000,1166,Access,off
slm-16,Ethernet264,slm-17,Ethernet264,800000,1167,Access,off
slm-16,Ethernet268,slm-17,Ethernet268,800000,1168,Access,off
slm-16,Ethernet272,slm-17,Ethernet272,800000,1169,Access,off
slm-16,Ethernet276,slm-17,Ethernet276,800000,1170,Access,off
slm-16,Ethernet280,slm-17,Ethernet280,800000,1171,Access,off
slm-16,Ethernet284,slm-17,Ethernet284,800000,1172,Access,off
slm-16,Ethernet288,slm-17,Ethernet288,800000,1173,Access,off
slm-16,Ethernet292,slm-17,Ethernet292,800000,1174,Access,off
slm-16,Ethernet296,slm-17,Ethernet296,800000,1175,Access,off
slm-16,Ethernet300,slm-17,Ethernet300,800000,1176,Access,off
slm-16,Ethernet304,slm-17,Ethernet304,800000,1177,Access,off
slm-16,Ethernet308,slm-17,Ethernet308,800000,1178,Access,off
slm-16,Ethernet312,slm-17,Ethernet312,800000,1179,Access,off
slm-16,Ethernet316,slm-17,Ethernet316,800000,1180,Access,off
slm-16,Ethernet320,slm-17,Ethernet320,800000,1181,Access,off
slm-16,Ethernet324,slm-17,Ethernet324,800000,1182,Access,off
slm-16,Ethernet328,slm-17,Ethernet328,800000,1183,Access,off
slm-16,Ethernet332,slm-17,Ethernet332,800000,1184,Access,off
slm-16,Ethernet336,slm-17,Ethernet336,800000,1185,Access,off
slm-16,Ethernet340,slm-17,Ethernet340,800000,1186,Access,off
slm-16,Ethernet344,slm-17,Ethernet344,800000,1187,Access,off
slm-16,Ethernet348,slm-17,Ethernet348,800000,1188,Access,off
slm-16,Ethernet352,slm-17,Ethernet352,800000,1189,Access,off
slm-16,Ethernet356,slm-17,Ethernet356,800000,1190,Access,off
slm-16,Ethernet360,slm-17,Ethernet360,800000,1191,Access,off
slm-16,Ethernet364,slm-17,Ethernet364,800000,1192,Access,off
slm-16,Ethernet368,slm-17,Ethernet368,800000,1193,Access,off
slm-16,Ethernet372,slm-17,Ethernet372,800000,1194,Access,off
slm-16,Ethernet376,slm-17,Ethernet376,800000,1195,Access,off
slm-16,Ethernet380,slm-17,Ethernet380,800000,1196,Access,off
slm-16,Ethernet384,slm-17,Ethernet384,800000,1197,Access,off
slm-16,Ethernet388,slm-17,Ethernet388,800000,1198,Access,off
slm-16,Ethernet392,slm-17,Ethernet392,800000,1199,Access,off
slm-16,Ethernet396,slm-17,Ethernet396,800000,1200,Access,off
slm-16,Ethernet400,slm-17,Ethernet400,800000,1201,Access,off
slm-16,Ethernet404,slm-17,Ethernet404,800000,1202,Access,off
slm-16,Ethernet408,slm-17,Ethernet408,800000,1203,Access,off
slm-16,Ethernet412,slm-17,Ethernet412,800000,1204,Access,off
slm-16,Ethernet416,slm-17,Ethernet416,800000,1205,Access,off
slm-16,Ethernet420,slm-17,Ethernet420,800000,1206,Access,off
slm-16,Ethernet424,slm-17,Ethernet424,800000,1207,Access,off
slm-16,Ethernet428,slm-17,Ethernet428,800000,1208,Access,off
slm-16,Ethernet432,slm-17,Ethernet432,800000,1209,Access,off
slm-16,Ethernet436,slm-17,Ethernet436,800000,1210,Access,off
slm-16,Ethernet440,slm-17,Ethernet440,800000,1211,Access,off
slm-16,Ethernet444,slm-17,Ethernet444,800000,1212,Access,off
slm-16,Ethernet448,slm-17,Ethernet448,800000,1213,Access,off
slm-16,Ethernet452,slm-17,Ethernet452,800000,1214,Access,off
slm-16,Ethernet456,slm-17,Ethernet456,800000,1215,Access,off
slm-16,Ethernet460,slm-17,Ethernet460,800000,1216,Access,off
slm-16,Ethernet464,slm-17,Ethernet464,800000,1217,Access,off
slm-16,Ethernet468,slm-17,Ethernet468,800000,1218,Access,off
slm-16,Ethernet472,slm-17,Ethernet472,800000,1219,Access,off
slm-16,Ethernet476,slm-17,Ethernet476,800000,1220,Access,off
slm-16,Ethernet480,slm-17,Ethernet480,800000,1221,Access,off
slm-16,Ethernet484,slm-17,Ethernet484,800000,1222,Access,off
slm-16,Ethernet488,slm-17,Ethernet488,800000,1223,Access,off
slm-16,Ethernet492,slm-17,Ethernet492,800000,1224,Access,off
slm-16,Ethernet496,slm-17,Ethernet496,800000,1225,Access,off
