StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
slm-180,Ethernet0,slm-26,Ethernet0,400000,551,Access,off
slm-180,Ethernet2,slm-26,Ethernet2,400000,552,Access,off
slm-180,Ethernet4,slm-26,Ethernet4,800000,553,Access,off
slm-180,Ethernet8,slm-26,Ethernet8,400000,554,Access,off
slm-180,Ethernet10,slm-26,Ethernet10,400000,555,Access,off
slm-180,Ethernet12,slm-26,Ethernet12,800000,556,Access,off
slm-180,Ethernet16,slm-26,Ethernet16,400000,557,Access,off
slm-180,Ethernet18,slm-26,Ethernet18,400000,558,Access,off
slm-180,Ethernet20,slm-26,Ethernet20,800000,559,Access,off
slm-180,Ethernet24,slm-26,Ethernet24,400000,560,Access,off
slm-180,Ethernet26,slm-26,Ethernet26,400000,561,Access,off
slm-180,Ethernet28,slm-26,Ethernet28,800000,562,Access,off
slm-180,Ethernet32,slm-26,Ethernet32,400000,563,Access,off
slm-180,Ethernet34,slm-26,Ethernet34,400000,564,Access,off
slm-180,Ethernet36,slm-26,Ethernet36,800000,565,Access,off
slm-180,Ethernet40,slm-26,Ethernet40,400000,566,Access,off
slm-180,Ethernet42,slm-26,Ethernet42,400000,567,Access,off
slm-180,Ethernet44,slm-26,Ethernet44,800000,568,Access,off
slm-180,Ethernet48,slm-26,Ethernet48,400000,569,Access,off
slm-180,Ethernet50,slm-26,Ethernet50,400000,570,Access,off
slm-180,Ethernet52,slm-26,Ethernet52,800000,571,Access,off
slm-180,Ethernet56,slm-26,Ethernet56,400000,572,Access,off
slm-180,Ethernet58,slm-26,Ethernet58,400000,573,Access,off
slm-180,Ethernet60,slm-26,Ethernet60,800000,574,Access,off
slm-180,Ethernet64,slm-26,Ethernet64,400000,575,Access,off
slm-180,Ethernet66,slm-26,Ethernet66,400000,576,Access,off
slm-180,Ethernet68,slm-26,Ethernet68,800000,577,Access,off
slm-180,Ethernet72,slm-26,Ethernet72,400000,578,Access,off
slm-180,Ethernet74,slm-26,Ethernet74,400000,579,Access,off
slm-180,Ethernet76,slm-26,Ethernet76,800000,580,Access,off
slm-180,Ethernet80,slm-26,Ethernet80,400000,581,Access,off
slm-180,Ethernet82,slm-26,Ethernet82,400000,582,Access,off
slm-180,Ethernet84,slm-26,Ethernet84,800000,583,Access,off
slm-180,Ethernet88,slm-26,Ethernet88,400000,584,Access,off
slm-180,Ethernet90,slm-26,Ethernet90,400000,585,Access,off
slm-180,Ethernet92,slm-26,Ethernet92,800000,586,Access,off
slm-180,Ethernet96,slm-26,Ethernet96,400000,587,Access,off
slm-180,Ethernet98,slm-26,Ethernet98,400000,588,Access,off
slm-180,Ethernet100,slm-26,Ethernet100,800000,589,Access,off
slm-180,Ethernet104,slm-26,Ethernet104,400000,590,Access,off
slm-180,Ethernet106,slm-26,Ethernet106,400000,591,Access,off
slm-180,Ethernet108,slm-26,Ethernet108,800000,592,Access,off
slm-180,Ethernet112,slm-26,Ethernet112,400000,593,Access,off
slm-180,Ethernet114,slm-26,Ethernet114,400000,594,Access,off
slm-180,Ethernet116,slm-26,Ethernet116,800000,595,Access,off
slm-180,Ethernet120,slm-26,Ethernet120,400000,596,Access,off
slm-180,Ethernet122,slm-26,Ethernet122,400000,597,Access,off
slm-180,Ethernet124,slm-26,Ethernet124,800000,598,Access,off
slm-180,Ethernet128,slm-26,Ethernet128,400000,599,Access,off
slm-180,Ethernet130,slm-26,Ethernet130,400000,600,Access,off
slm-180,Ethernet132,slm-26,Ethernet132,800000,601,Access,off
slm-180,Ethernet136,slm-26,Ethernet136,400000,602,Access,off
slm-180,Ethernet138,slm-26,Ethernet138,400000,603,Access,off
slm-180,Ethernet140,slm-26,Ethernet140,800000,604,Access,off
slm-180,Ethernet144,slm-26,Ethernet144,400000,605,Access,off
slm-180,Ethernet146,slm-26,Ethernet146,400000,606,Access,off
slm-180,Ethernet148,slm-26,Ethernet148,800000,607,Access,off
slm-180,Ethernet152,slm-26,Ethernet152,400000,608,Access,off
slm-180,Ethernet154,slm-26,Ethernet154,400000,609,Access,off
slm-180,Ethernet156,slm-26,Ethernet156,800000,610,Access,off
slm-180,Ethernet160,slm-26,Ethernet160,400000,611,Access,off
slm-180,Ethernet162,slm-26,Ethernet162,400000,612,Access,off
slm-180,Ethernet164,slm-26,Ethernet164,800000,613,Access,off
slm-180,Ethernet168,slm-26,Ethernet168,400000,614,Access,off
slm-180,Ethernet170,slm-26,Ethernet170,400000,615,Access,off
slm-180,Ethernet172,slm-26,Ethernet172,800000,616,Access,off
slm-180,Ethernet176,slm-26,Ethernet176,400000,617,Access,off
slm-180,Ethernet178,slm-26,Ethernet178,400000,618,Access,off
slm-180,Ethernet180,slm-26,Ethernet180,800000,619,Access,off
slm-180,Ethernet184,slm-26,Ethernet184,400000,620,Access,off
slm-180,Ethernet186,slm-26,Ethernet186,400000,621,Access,off
slm-180,Ethernet188,slm-26,Ethernet188,800000,622,Access,off
slm-180,Ethernet192,slm-26,Ethernet192,400000,623,Access,off
slm-180,Ethernet194,slm-26,Ethernet194,400000,624,Access,off
slm-180,Ethernet196,slm-26,Ethernet196,800000,625,Access,off
slm-180,Ethernet200,slm-26,Ethernet200,400000,626,Access,off
slm-180,Ethernet202,slm-26,Ethernet202,400000,627,Access,off
slm-180,Ethernet204,slm-26,Ethernet204,800000,628,Access,off
