StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bobcat-01,Ethernet0,r-leopard-82,Ethernet0,100000,201,Access,on
r-bobcat-01,Ethernet4,r-leopard-82,Ethernet4,100000,202,Access,on
r-bobcat-01,Ethernet8,r-leopard-82,Ethernet8,100000,203,Access,on
r-bobcat-01,Ethernet12,r-leopard-82,Ethernet12,100000,204,Access,on
r-bobcat-01,Ethernet16,r-leopard-82,Ethernet16,100000,205,Access,on
r-bobcat-01,Ethernet20,r-leopard-82,Ethernet20,100000,206,Access,on
r-bobcat-01,Ethernet24,r-leopard-82,Ethernet24,100000,207,Access,on
r-bobcat-01,Ethernet28,r-leopard-82,Ethernet28,100000,208,Access,on
r-bobcat-01,Ethernet32,r-leopard-82,Ethernet32,100000,209,Access,on
r-bobcat-01,Ethernet36,r-leopard-82,Ethernet36,100000,210,Access,on
r-bobcat-01,Ethernet40,r-leopard-82,Ethernet40,100000,211,Access,on
r-bobcat-01,Ethernet44,r-leopard-82,Ethernet44,100000,212,Access,on
r-bobcat-01,Ethernet48,r-leopard-82,Ethernet48,100000,213,Access,on
r-bobcat-01,Ethernet52,r-leopard-82,Ethernet52,100000,214,Access,on
r-bobcat-01,Ethernet56,r-leopard-82,Ethernet56,100000,215,Access,on
r-bobcat-01,Ethernet60,r-leopard-82,Ethernet60,100000,216,Access,on
r-bobcat-01,Ethernet64,r-leopard-82,Ethernet64,100000,217,Access,on
r-bobcat-01,Ethernet68,r-leopard-82,Ethernet68,100000,218,Access,on
r-bobcat-01,Ethernet72,r-leopard-82,Ethernet72,100000,219,Access,on
r-bobcat-01,Ethernet76,r-leopard-82,Ethernet76,100000,220,Access,on
r-bobcat-01,Ethernet80,r-leopard-82,Ethernet80,100000,221,Access,on
r-bobcat-01,Ethernet84,r-leopard-82,Ethernet84,100000,222,Access,on
r-bobcat-01,Ethernet88,r-leopard-82,Ethernet88,100000,223,Access,on
r-bobcat-01,Ethernet92,r-leopard-82,Ethernet92,100000,224,Access,on
r-bobcat-01,Ethernet96,r-leopard-82,Ethernet96,400000,225,Access,on
r-bobcat-01,Ethernet104,r-leopard-82,Ethernet104,400000,226,Access,on
r-bobcat-01,Ethernet112,r-leopard-82,Ethernet112,400000,227,Access,on
r-bobcat-01,Ethernet120,r-leopard-82,Ethernet120,400000,228,Access,on
r-bobcat-01,Ethernet128,r-leopard-82,Ethernet128,400000,229,Access,on
r-bobcat-01,Ethernet136,r-leopard-82,Ethernet136,400000,230,Access,on
r-bobcat-01,Ethernet144,r-leopard-82,Ethernet144,400000,231,Access,on
r-bobcat-01,Ethernet152,r-leopard-82,Ethernet152,400000,232,Access,on
r-bobcat-01,Ethernet160,r-leopard-82,Ethernet160,100000,233,Access,on
r-bobcat-01,Ethernet164,r-leopard-82,Ethernet164,100000,234,Access,on
r-bobcat-01,Ethernet168,r-leopard-82,Ethernet168,100000,235,Access,on
r-bobcat-01,Ethernet172,r-leopard-82,Ethernet172,100000,236,Access,on
r-bobcat-01,Ethernet176,r-leopard-82,Ethernet176,100000,237,Access,on
r-bobcat-01,Ethernet180,r-leopard-82,Ethernet180,100000,238,Access,on
r-bobcat-01,Ethernet184,r-leopard-82,Ethernet184,100000,239,Access,on
r-bobcat-01,Ethernet188,r-leopard-82,Ethernet188,100000,240,Access,on
r-bobcat-01,Ethernet192,r-leopard-82,Ethernet192,100000,241,Access,on
r-bobcat-01,Ethernet196,r-leopard-82,Ethernet196,100000,242,Access,on
r-bobcat-01,Ethernet200,r-leopard-82,Ethernet200,100000,243,Access,on
r-bobcat-01,Ethernet204,r-leopard-82,Ethernet204,100000,244,Access,on
r-bobcat-01,Ethernet208,r-leopard-82,Ethernet208,100000,245,Access,on
r-bobcat-01,Ethernet212,r-leopard-82,Ethernet212,100000,246,Access,on
r-bobcat-01,Ethernet216,r-leopard-82,Ethernet216,100000,247,Access,on
r-bobcat-01,Ethernet220,r-leopard-82,Ethernet220,100000,248,Access,on
r-leopard-82,Ethernet248,r-r740-14,enp21p1,100000,201-248,Trunk
r-bobcat-03,Ethernet0,r-leopard-80,Ethernet0,100000,101,Access,on
r-bobcat-03,Ethernet4,r-leopard-80,Ethernet4,100000,102,Access,on
r-bobcat-03,Ethernet8,r-leopard-80,Ethernet8,100000,103,Access,on
r-bobcat-03,Ethernet12,r-leopard-80,Ethernet12,100000,104,Access,on
r-bobcat-03,Ethernet16,r-leopard-80,Ethernet16,100000,105,Access,on
r-bobcat-03,Ethernet20,r-leopard-80,Ethernet20,100000,106,Access,on
r-bobcat-03,Ethernet24,r-leopard-80,Ethernet24,100000,107,Access,on
r-bobcat-03,Ethernet28,r-leopard-80,Ethernet28,100000,108,Access,on
r-bobcat-03,Ethernet32,r-leopard-80,Ethernet32,100000,109,Access,on
r-bobcat-03,Ethernet36,r-leopard-80,Ethernet36,100000,110,Access,on
r-bobcat-03,Ethernet40,r-leopard-80,Ethernet40,100000,111,Access,on
r-bobcat-03,Ethernet44,r-leopard-80,Ethernet44,100000,112,Access,on
r-bobcat-03,Ethernet48,r-leopard-80,Ethernet48,100000,113,Access,on
r-bobcat-03,Ethernet52,r-leopard-80,Ethernet52,100000,114,Access,on
r-bobcat-03,Ethernet56,r-leopard-80,Ethernet56,100000,115,Access,on
r-bobcat-03,Ethernet60,r-leopard-80,Ethernet60,100000,116,Access,on
r-bobcat-03,Ethernet64,r-leopard-80,Ethernet64,100000,117,Access,on
r-bobcat-03,Ethernet68,r-leopard-80,Ethernet68,100000,118,Access,on
r-bobcat-03,Ethernet72,r-leopard-80,Ethernet72,100000,119,Access,on
r-bobcat-03,Ethernet76,r-leopard-80,Ethernet76,100000,120,Access,on
r-bobcat-03,Ethernet80,r-leopard-80,Ethernet80,100000,121,Access,on
r-bobcat-03,Ethernet84,r-leopard-80,Ethernet84,100000,122,Access,on
r-bobcat-03,Ethernet88,r-leopard-80,Ethernet88,100000,123,Access,on
r-bobcat-03,Ethernet92,r-leopard-80,Ethernet92,100000,124,Access,on
r-bobcat-03,Ethernet96,r-leopard-80,Ethernet96,400000,125,Access,on
r-bobcat-03,Ethernet104,r-leopard-80,Ethernet104,400000,126,Access,on
r-bobcat-03,Ethernet112,r-leopard-80,Ethernet112,400000,127,Access,on
