StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
sws-cham6s-7,Ethernet0,sws-cham6s-8,Ethernet0,800000,1651,Access,off
sws-cham6s-7,Ethernet4,sws-cham6s-8,Ethernet4,800000,1652,Access,off
sws-cham6s-7,Ethernet8,sws-cham6s-8,Ethernet8,800000,1653,Access,off
sws-cham6s-7,Ethernet12,sws-cham6s-8,Ethernet12,800000,1654,Access,off
sws-cham6s-7,Ethernet16,sws-cham6s-8,Ethernet16,800000,1655,Access,off
sws-cham6s-7,Ethernet20,sws-cham6s-8,Ethernet20,800000,1656,Access,off
sws-cham6s-7,Ethernet24,sws-cham6s-8,Ethernet24,800000,1657,Access,off
sws-cham6s-7,Ethernet28,sws-cham6s-8,Ethernet28,800000,1658,Access,off
sws-cham6s-7,Ethernet32,sws-cham6s-8,Ethernet32,800000,1659,Access,off
sws-cham6s-7,Ethernet36,sws-cham6s-8,Ethernet36,800000,1660,Access,off
sws-cham6s-7,Ethernet40,sws-cham6s-8,Ethernet40,800000,1661,Access,off
sws-cham6s-7,Ethernet44,sws-cham6s-8,Ethernet44,800000,1662,Access,off
sws-cham6s-7,Ethernet48,sws-cham6s-8,Ethernet48,800000,1663,Access,off
sws-cham6s-7,Ethernet52,sws-cham6s-8,Ethernet52,800000,1664,Access,off
sws-cham6s-7,Ethernet56,sws-cham6s-8,Ethernet56,800000,1665,Access,off
sws-cham6s-7,Ethernet60,sws-cham6s-8,Ethernet60,800000,1666,Access,off
sws-cham6s-7,Ethernet64,sws-cham6s-8,Ethernet64,800000,1667,Access,off
sws-cham6s-7,Ethernet68,sws-cham6s-8,Ethernet68,800000,1668,Access,off
sws-cham6s-7,Ethernet72,sws-cham6s-8,Ethernet72,800000,1669,Access,off
sws-cham6s-7,Ethernet76,sws-cham6s-8,Ethernet76,800000,1670,Access,off
sws-cham6s-7,Ethernet80,sws-cham6s-8,Ethernet80,800000,1671,Access,off
sws-cham6s-7,Ethernet84,sws-cham6s-8,Ethernet84,800000,1672,Access,off
sws-cham6s-7,Ethernet88,sws-cham6s-8,Ethernet88,800000,1673,Access,off
sws-cham6s-7,Ethernet92,sws-cham6s-8,Ethernet92,800000,1674,Access,off
sws-cham6s-7,Ethernet96,sws-cham6s-8,Ethernet96,800000,1675,Access,off
sws-cham6s-7,Ethernet100,sws-cham6s-8,Ethernet100,800000,1676,Access,off
sws-cham6s-7,Ethernet104,sws-cham6s-8,Ethernet104,800000,1677,Access,off
sws-cham6s-7,Ethernet108,sws-cham6s-8,Ethernet108,800000,1678,Access,off
sws-cham6s-7,Ethernet112,sws-cham6s-8,Ethernet112,800000,1679,Access,off
