StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1004,Ethernet0,arc-switch1005,ethernet 1/1/1,10000,101,Access
arc-switch1004,Ethernet1,arc-switch1005,ethernet 1/1/2,10000,102,Access
arc-switch1004,Ethernet2,arc-switch1005,ethernet 1/1/3,10000,103,Access
arc-switch1004,Ethernet3,arc-switch1005,ethernet 1/1/4,10000,104,Access
arc-switch1004,Ethernet8,arc-switch1005,ethernet 1/3/1,10000,105,Access
arc-switch1004,Ethernet9,arc-switch1005,ethernet 1/3/2,10000,106,Access
arc-switch1004,Ethernet10,arc-switch1005,ethernet 1/3/3,10000,107,Access
arc-switch1004,Ethernet11,arc-switch1005,ethernet 1/3/4,10000,108,Access
arc-switch1004,Ethernet16,arc-switch1005,ethernet 1/5/1,50000,109,Access
arc-switch1004,Ethernet18,arc-switch1005,ethernet 1/5/2,50000,110,Access
arc-switch1004,Ethernet20,arc-switch1005,ethernet 1/6/1,50000,111,Access
arc-switch1004,Ethernet22,arc-switch1005,ethernet 1/6/2,50000,112,Access
arc-switch1004,Ethernet24,arc-switch1005,ethernet 1/7,100000,113,Access
arc-switch1004,Ethernet28,arc-switch1005,ethernet 1/8,100000,114,Access
arc-switch1004,Ethernet32,arc-switch1005,ethernet 1/9,100000,115,Access
arc-switch1004,Ethernet36,arc-switch1005,ethernet 1/10,100000,116,Access
arc-switch1004,Ethernet40,arc-switch1005,ethernet 1/11/1,50000,117,Access
arc-switch1004,Ethernet42,arc-switch1005,ethernet 1/11/2,50000,118,Access
arc-switch1004,Ethernet44,arc-switch1005,ethernet 1/12/1,50000,119,Access
arc-switch1004,Ethernet46,arc-switch1005,ethernet 1/12/2,50000,120,Access
arc-switch1004,Ethernet48,arc-switch1005,ethernet 1/13/1,50000,121,Access
arc-switch1004,Ethernet50,arc-switch1005,ethernet 1/13/2,50000,122,Access
arc-switch1004,Ethernet52,arc-switch1005,ethernet 1/14/1,50000,123,Access
arc-switch1004,Ethernet54,arc-switch1005,ethernet 1/14/2,50000,124,Access
arc-switch1004,Ethernet56,arc-switch1005,ethernet 1/15/1,50000,125,Access
arc-switch1004,Ethernet58,arc-switch1005,ethernet 1/15/2,50000,126,Access
arc-switch1004,Ethernet60,arc-switch1005,ethernet 1/16/1,50000,127,Access
arc-switch1004,Ethernet62,arc-switch1005,ethernet 1/16/2,50000,128,Access
arc-switch1004,Ethernet64,arc-switch1005,ethernet 1/17/1,50000,129,Access
arc-switch1004,Ethernet66,arc-switch1005,ethernet 1/17/2,50000,130,Access
arc-switch1004,Ethernet68,arc-switch1005,ethernet 1/18/1,50000,131,Access
arc-switch1004,Ethernet70,arc-switch1005,ethernet 1/18/2,50000,132,Access
arc-switch1004,Ethernet72,arc-switch1005,ethernet 1/19/1,50000,133,Access
arc-switch1004,Ethernet74,arc-switch1005,ethernet 1/19/2,50000,134,Access
arc-switch1004,Ethernet76,arc-switch1005,ethernet 1/20/1,50000,135,Access
arc-switch1004,Ethernet78,arc-switch1005,ethernet 1/20/2,50000,136,Access
arc-switch1004,Ethernet80,arc-switch1005,ethernet 1/21/1,50000,137,Access
arc-switch1004,Ethernet82,arc-switch1005,ethernet 1/21/2,50000,138,Access
arc-switch1004,Ethernet84,arc-switch1005,ethernet 1/22/1,50000,139,Access
arc-switch1004,Ethernet86,arc-switch1005,ethernet 1/22/2,50000,140,Access
arc-switch1004,Ethernet88,arc-switch1005,ethernet 1/23,100000,141,Access
arc-switch1004,Ethernet92,arc-switch1005,ethernet 1/24,100000,142,Access
arc-switch1004,Ethernet96,arc-switch1005,ethernet 1/25,100000,143,Access
arc-switch1004,Ethernet100,arc-switch1005,ethernet 1/26/1,10000,144,Access
arc-switch1004,Ethernet104,arc-switch1005,ethernet 1/27/1,50000,145,Access
arc-switch1004,Ethernet106,arc-switch1005,ethernet 1/27/2,50000,146,Access
arc-switch1004,Ethernet108,arc-switch1005,ethernet 1/28/1,50000,147,Access
arc-switch1004,Ethernet110,arc-switch1005,ethernet 1/28/2,50000,148,Access
arc-switch1004,Ethernet112,arc-switch1005,ethernet 1/29/1,50000,149,Access
arc-switch1004,Ethernet114,arc-switch1005,ethernet 1/29/2,50000,150,Access
arc-switch1004,Ethernet116,arc-switch1005,ethernet 1/30/1,50000,151,Access
arc-switch1004,Ethernet118,arc-switch1005,ethernet 1/30/2,50000,152,Access
arc-switch1004,Ethernet120,arc-switch1005,ethernet 1/31/1,50000,153,Access
arc-switch1004,Ethernet122,arc-switch1005,ethernet 1/31/2,50000,154,Access
arc-switch1004,Ethernet124,arc-switch1005,ethernet 1/32/1,50000,155,Access
arc-switch1004,Ethernet126,arc-switch1005,ethernet 1/32/2,50000,156,Access
arc-switch1005,ethernet 1/26/2,arc-host26,p4p1,100000,101-156,Trunk
