Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-bsp-qm3400,10.209.48.158,ACS-QM3400,DevSonic,,sonic
arc-switch1038,10.210.25.41,ACS-MSN3700,DevSonic,,sonic
arc-switch1025,10.210.25.45,Mellanox-SN2700,DevSonic,,sonic
arc-switch1004,10.210.24.176,Mellanox-SN2700-D40C8S8,DevSonic,,sonic
r-anaconda-81,10.210.24.109,ACS-MSN3700,DevSonic,,sonic
mts-sonic-dut,10.9.74.46,Mellanox-2700,DevSonic,,sonic
c-panther-01,10.75.71.81,Mellanox-SN2700,DevSonic,,sonic
mtbc-sonic-01-2410,10.75.71.4,Mellanox-2410,DevSonic,,sonic
mtbc-sonic-03-2700,10.75.71.251,Mellanox-SN2700,DevSonic,,sonic
mtbc-3700c-01,10.75.67.50,ACS-MSN3700C,DevSonic,,sonic
dev-r-vrt-232-005,,ACS-MSN2700,DevSonic,,sonic
dev-r-vrt-232-007,,ACS-MSN3700,DevSonic,,sonic
dev-r-vrt-233-005,,ACS-MSN2700,DevSonic,,sonic
dev-r-vrt-233-007,,ACS-MSN3700,DevSonic,,sonic
r-leopard-58,10.210.25.116,ACS-MSN4700,DevSonic,,sonic
r-tigris-04,10.210.25.93,ACS-MSN3800,DevSonic,,sonic
r-tigris-13,10.210.24.22,Mellanox-SN3800-D112C8,DevSonic,,sonic
r-leopard-01,10.210.24.44,ACS-MSN4700,DevSonic,,sonic
r-tigon-04,10.210.25.123,Mellanox-SN4600C-C64,DevSonic,,sonic
r-tigon-11,10.210.25.10,Mellanox-SN4600C-C64,DevSonic,,sonic
r-tigon-20,10.210.24.183,Mellanox-SN4600C-C64,DevSonic,,sonic
r-tigon-19,10.210.24.182/22,MLNX-OS,FanoutLeaf,,
r-tigon-21,10.210.24.193,Mellanox-SN4600C-C64,DevSonic,,sonic
r-tigon-22,10.210.24.194/22,MLNX-OS,FanoutLeaf,,
r-tigris-26,10.210.24.128,Mellanox-SN3800-D112C8,DevSonic,,sonic
r-r740-03-bf2-sonic-01,10.215.19.39,Nvidia-MBF2H536C,DevSonic,,sonic
r-r740-03-bf3-sonic-01,10.215.19.35,Nvidia-9009d3b600CVAA,DevSonic,,sonic
r-r740-05-bf2-sonic-01,10.215.11.59,Nvidia-MBF2H536C,DevSonic,,sonic
r-r740-05-bf3-sonic-01,10.215.11.55,Nvidia-9009d3b600CVAA,DevSonic,,sonic
r-r740-07-bf2-sonic-01,10.215.20.238,Nvidia-MBF2H536C,DevSonic,,sonic
r-r740-07-bf3-sonic-01,10.215.20.237,Nvidia-9009d3b600CVAA,DevSonic,,sonic
r-r740-08-bf2-sonic-01,10.215.22.179,Nvidia-MBF2H536C,DevSonic,,sonic
r-r740-08-bf3-sonic-01,10.215.22.177,Nvidia-9009d3b600CVAA-C1,DevSonic,,sonic
r-r740-09-bf2-sonic-01,10.215.5.19,Nvidia-MBF2H536C,DevSonic,,sonic
r-r740-09-bf3-sonic-01,10.215.5.17,Nvidia-9009d3b600CVAA-C1,DevSonic,,sonic
r-tigris-27,10.210.24.174/22,MLNX-OS,FanoutLeaf,,
arc-switch1005,10.210.24.23/24,MLNX-OS,FanoutLeaf,,
r-leopard-59,10.210.25.3/24,MLNX-OS,FanoutLeaf,,
arc-switch1007,10.210.25.42/24,MLNX-OS,FanoutLeaf,,
arc-switch1035,10.210.25.46/24,MLNX-OS,FanoutLeaf,,
arc-switch1039,10.210.25.47/24,MLNX-OS,FanoutLeaf,,
c-panther-02,10.75.67.34/24,MLNX-OS,FanoutLeaf,,
r-panther-08,10.210.25.122/24,MLNX-OS,FanoutLeaf,,
r-panther-43,10.210.25.55/24,MLNX-OS,FanoutLeaf,,
r-panther-41,10.210.25.35/24,MLNX-OS,FanoutLeaf,,
arc-switchmtbc02,10.75.67.41/24,MLNX-OS,FanoutLeaf,,
r-panther-07,10.210.24.177/24,MLNX-OS,FanoutLeaf,,
r-tigris-17,10.210.25.57/22,MLNX-OS,FanoutLeaf,,
r-tigon-30,10.210.24.81/22,MLNX-OS,FanoutLeaf,,
r-tigris-25,10.210.24.181,Mellanox-SN3800-D112C8,DevSonic,,sonic
r-tigris-28,10.210.24.175/22,MLNX-OS,FanoutLeaf,,
