StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtbc-sonic-03-2700,Ethernet0,mtbc-sonic-02-2700,ethernet 1/1,100000,101,Access
mtbc-sonic-03-2700,Ethernet4,mtbc-sonic-02-2700,ethernet 1/2,100000,102,Access
mtbc-sonic-03-2700,Ethernet8,mtbc-sonic-02-2700,ethernet 1/3,100000,103,Access
mtbc-sonic-03-2700,Ethernet12,mtbc-sonic-02-2700,ethernet 1/4,100000,104,Access
mtbc-sonic-03-2700,Ethernet16,mtbc-sonic-02-2700,ethernet 1/5,100000,105,Access
mtbc-sonic-03-2700,Ethernet20,mtbc-sonic-02-2700,ethernet 1/6,100000,106,Access
mtbc-sonic-03-2700,Ethernet24,mtbc-sonic-02-2700,ethernet 1/7,100000,107,Access
mtbc-sonic-03-2700,Ethernet28,mtbc-sonic-02-2700,ethernet 1/8,100000,108,Access
mtbc-sonic-03-2700,Ethernet32,mtbc-sonic-02-2700,ethernet 1/9,100000,109,Access
mtbc-sonic-03-2700,Ethernet36,mtbc-sonic-02-2700,ethernet 1/10,100000,110,Access
mtbc-sonic-03-2700,Ethernet40,mtbc-sonic-02-2700,ethernet 1/11,100000,111,Access
mtbc-sonic-03-2700,Ethernet44,mtbc-sonic-02-2700,ethernet 1/12,100000,112,Access
mtbc-sonic-03-2700,Ethernet48,mtbc-sonic-02-2700,ethernet 1/13,100000,113,Access
mtbc-sonic-03-2700,Ethernet52,mtbc-sonic-02-2700,ethernet 1/14,100000,114,Access
mtbc-sonic-03-2700,Ethernet56,mtbc-sonic-02-2700,ethernet 1/15,100000,115,Access
mtbc-sonic-03-2700,Ethernet60,mtbc-sonic-02-2700,ethernet 1/16,100000,116,Access
mtbc-sonic-03-2700,Ethernet64,mtbc-sonic-02-2700,ethernet 1/17,100000,117,Access
mtbc-sonic-03-2700,Ethernet68,mtbc-sonic-02-2700,ethernet 1/18,100000,118,Access
mtbc-sonic-03-2700,Ethernet72,mtbc-sonic-02-2700,ethernet 1/19,100000,119,Access
mtbc-sonic-03-2700,Ethernet76,mtbc-sonic-02-2700,ethernet 1/20,100000,120,Access
mtbc-sonic-03-2700,Ethernet80,mtbc-sonic-02-2700,ethernet 1/21,100000,121,Access
mtbc-sonic-03-2700,Ethernet84,mtbc-sonic-02-2700,ethernet 1/22,100000,122,Access
mtbc-sonic-03-2700,Ethernet88,mtbc-sonic-02-2700,ethernet 1/23,100000,123,Access
mtbc-sonic-03-2700,Ethernet92,mtbc-sonic-02-2700,ethernet 1/24,100000,124,Access
mtbc-sonic-03-2700,Ethernet96,mtbc-sonic-02-2700,ethernet 1/25,100000,125,Access
mtbc-sonic-03-2700,Ethernet100,mtbc-sonic-02-2700,ethernet 1/26/1,50000,126,Access
mtbc-sonic-03-2700,Ethernet104,mtbc-sonic-02-2700,ethernet 1/27,100000,127,Access
mtbc-sonic-03-2700,Ethernet108,mtbc-sonic-02-2700,ethernet 1/28,100000,128,Access
mtbc-sonic-03-2700,Ethernet112,mtbc-sonic-02-2700,ethernet 1/29,100000,129,Access
mtbc-sonic-03-2700,Ethernet116,mtbc-sonic-02-2700,ethernet 1/30,100000,130,Access
mtbc-sonic-03-2700,Ethernet120,mtbc-sonic-02-2700,ethernet 1/31,100000,131,Access
mtbc-sonic-03-2700,Ethernet124,mtbc-sonic-02-2700,ethernet 1/32,100000,132,Access
mtbc-sonic-02-2700,ethernet 1/26/2,dev-r730-03,enp4s0f1,50000,101-132,Trunk
