StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtvr-panther-03,Ethernet0,mtvr-panther-04,ethernet 1/1/1,10000,101,Access
mtvr-panther-03,Ethernet1,mtvr-panther-04,ethernet 1/1/2,10000,102,Access
mtvr-panther-03,Ethernet2,mtvr-panther-04,ethernet 1/1/3,10000,103,Access
mtvr-panther-03,Ethernet3,mtvr-panther-04,ethernet 1/1/4,10000,104,Access
mtvr-panther-03,Ethernet8,mtvr-panther-04,ethernet 1/3/1,10000,105,Access
mtvr-panther-03,Ethernet9,mtvr-panther-04,ethernet 1/3/2,10000,106,Access
mtvr-panther-03,Ethernet10,mtvr-panther-04,ethernet 1/3/3,10000,107,Access
mtvr-panther-03,Ethernet11,mtvr-panther-04,ethernet 1/3/4,10000,108,Access
mtvr-panther-03,Ethernet16,mtvr-panther-04,ethernet 1/5/1,50000,109,Access
mtvr-panther-03,Ethernet18,mtvr-panther-04,ethernet 1/5/2,50000,110,Access
mtvr-panther-03,Ethernet20,mtvr-panther-04,ethernet 1/6/1,50000,111,Access
mtvr-panther-03,Ethernet22,mtvr-panther-04,ethernet 1/6/2,50000,112,Access
mtvr-panther-03,Ethernet24,mtvr-panther-04,ethernet 1/7,100000,113,Access
mtvr-panther-03,Ethernet28,mtvr-panther-04,ethernet 1/8,100000,114,Access
mtvr-panther-03,Ethernet32,mtvr-panther-04,ethernet 1/9,100000,115,Access
mtvr-panther-03,Ethernet36,mtvr-panther-04,ethernet 1/10,100000,116,Access
mtvr-panther-03,Ethernet40,mtvr-panther-04,ethernet 1/11/1,50000,117,Access
mtvr-panther-03,Ethernet42,mtvr-panther-04,ethernet 1/11/2,50000,118,Access
mtvr-panther-03,Ethernet44,mtvr-panther-04,ethernet 1/12/1,50000,119,Access
mtvr-panther-03,Ethernet46,mtvr-panther-04,ethernet 1/12/2,50000,120,Access
mtvr-panther-03,Ethernet48,mtvr-panther-04,ethernet 1/13/1,50000,121,Access
mtvr-panther-03,Ethernet50,mtvr-panther-04,ethernet 1/13/2,50000,122,Access
mtvr-panther-03,Ethernet52,mtvr-panther-04,ethernet 1/14/1,50000,123,Access
mtvr-panther-03,Ethernet54,mtvr-panther-04,ethernet 1/14/2,50000,124,Access
mtvr-panther-03,Ethernet56,mtvr-panther-04,ethernet 1/15/1,50000,125,Access
mtvr-panther-03,Ethernet58,mtvr-panther-04,ethernet 1/15/2,50000,126,Access
mtvr-panther-03,Ethernet60,mtvr-panther-04,ethernet 1/16/1,50000,127,Access
mtvr-panther-03,Ethernet62,mtvr-panther-04,ethernet 1/16/2,50000,128,Access
mtvr-panther-03,Ethernet64,mtvr-panther-04,ethernet 1/17/1,50000,129,Access
mtvr-panther-03,Ethernet66,mtvr-panther-04,ethernet 1/17/2,50000,130,Access
mtvr-panther-03,Ethernet68,mtvr-panther-04,ethernet 1/18/1,50000,131,Access
mtvr-panther-03,Ethernet70,mtvr-panther-04,ethernet 1/18/2,50000,132,Access
mtvr-panther-03,Ethernet72,mtvr-panther-04,ethernet 1/19/1,50000,133,Access
mtvr-panther-03,Ethernet74,mtvr-panther-04,ethernet 1/19/2,50000,134,Access
mtvr-panther-03,Ethernet76,mtvr-panther-04,ethernet 1/20/1,50000,135,Access
mtvr-panther-03,Ethernet78,mtvr-panther-04,ethernet 1/20/2,50000,136,Access
mtvr-panther-03,Ethernet80,mtvr-panther-04,ethernet 1/21/1,50000,137,Access
mtvr-panther-03,Ethernet82,mtvr-panther-04,ethernet 1/21/2,50000,138,Access
mtvr-panther-03,Ethernet84,mtvr-panther-04,ethernet 1/22/1,50000,139,Access
mtvr-panther-03,Ethernet86,mtvr-panther-04,ethernet 1/22/2,50000,140,Access
mtvr-panther-03,Ethernet88,mtvr-panther-04,ethernet 1/23,100000,141,Access
mtvr-panther-03,Ethernet92,mtvr-panther-04,ethernet 1/24,100000,142,Access
mtvr-panther-03,Ethernet96,mtvr-panther-04,ethernet 1/25/1,50000,143,Access
mtvr-panther-03,Ethernet100,mtvr-panther-04,ethernet 1/25/2,50000,144,Access
mtvr-panther-03,Ethernet104,mtvr-panther-04,ethernet 1/27/1,50000,145,Access
mtvr-panther-03,Ethernet106,mtvr-panther-04,ethernet 1/27/2,50000,146,Access
mtvr-panther-03,Ethernet108,mtvr-panther-04,ethernet 1/28/1,50000,147,Access
mtvr-panther-03,Ethernet110,mtvr-panther-04,ethernet 1/28/2,50000,148,Access
mtvr-panther-03,Ethernet112,mtvr-panther-04,ethernet 1/29/1,50000,149,Access
mtvr-panther-03,Ethernet114,mtvr-panther-04,ethernet 1/29/2,50000,150,Access
mtvr-panther-03,Ethernet116,mtvr-panther-04,ethernet 1/30/1,50000,151,Access
mtvr-panther-03,Ethernet118,mtvr-panther-04,ethernet 1/30/2,50000,152,Access
mtvr-panther-03,Ethernet120,mtvr-panther-04,ethernet 1/31/1,50000,153,Access
mtvr-panther-03,Ethernet122,mtvr-panther-04,ethernet 1/31/2,50000,154,Access
mtvr-panther-03,Ethernet124,mtvr-panther-04,ethernet 1/32/1,50000,155,Access
mtvr-panther-03,Ethernet126,mtvr-panther-04,ethernet 1/32/2,50000,156,Access
mtvr-panther-04,ethernet 1/26,mtvr-r740-07,p4p2,100000,101-156,Trunk
