Hostname,ManagementIp,HwSku,Type,Protocol,Os
bm-bu-core,10.7.144.149,ACS-QM3000,DevSonic,,sonic
croc-61,10.7.145.61,ACS-QM3400,DevSonic,,sonic
croc-80,10.7.148.80,ACS-QM3400,DevSonic,,sonic
croc-88,10.7.148.88,ACS-QM3400,DevSonic,,sonic
croc-94,10.7.148.94,ACS-QM3400,DevSonic,,sonic
croc-98,10.7.148.98,ACS-QM3400,DevSonic,,sonic
croc-simx-90,10.237.6.91,ACS-MQM9700,DevSonic,,sonic
croc-simx-91,10.237.6.92,ACS-MQM9700,DevSonic,,sonic
croc-simx-92,10.237.6.93,ACS-MQM9700,DevSonic,,sonic
croc-simx-93,10.237.6.93,ACS-MQM9700,DevSonic,,sonic
croc-simx-94,10.237.6.94,ACS-MQM9700,DevSonic,,sonic
croc-simx-95,10.237.6.95,ACS-MQM9700,DevSonic,,sonic
croc-simx-96,10.237.6.96,ACS-MQM9700,DevSonic,,sonic
croc-simx-97,10.237.6.97,ACS-MQM9700,DevSonic,,sonic
croc-simx-98,10.237.6.98,ACS-MQM9700,DevSonic,,sonic
gorilla-30,10.7.144.30,ACS-MQM9700,DevSonic,,sonic
gorilla-58,10.7.144.58,ACS-MQM9700,DevSonic,,sonic
gorilla-62,10.7.144.62,ACS-MQM9700,DevSonic,,sonic
gorilla-71,10.7.144.71,ACS-MQM9700,DevSonic,,sonic
gorilla-72,10.7.144.72,ACS-MQM9700,DevSonic,,sonic
gorilla-100,10.7.144.100,ACS-MQM9700,DevSonic,,sonic
gorilla-125,10.7.144.125,ACS-MQM9700,DevSonic,,sonic
gorilla-126,10.7.144.126,ACS-MQM9700,DevSonic,,sonic
gorilla-152,10.7.144.152,ACS-MQM9700,DevSonic,,sonic
gorilla-153,10.7.144.153,ACS-MQM9700,DevSonic,,sonic
gorilla-154,10.7.144.154,ACS-MQM9700,DevSonic,,sonic
gorilla-168,10.7.144.168,ACS-MQM9700,DevSonic,,sonic
gorilla-169,10.7.144.169,ACS-MQM9700,DevSonic,,sonic
gorilla-170,10.7.144.170,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-62,10.237.211.62,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-63,10.237.211.63,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-64,10.237.211.64,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-65,10.237.211.65,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-66,10.237.211.66,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-67,10.237.211.67,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-69,10.237.211.69,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-71,10.237.211.71,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-73,10.237.211.73,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-75,10.237.211.75,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-77,10.237.211.77,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-84,10.237.6.84,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-85,10.237.6.85,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-86,10.237.6.86,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-87,10.237.6.87,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-88,10.237.6.88,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-89,10.237.6.90,ACS-MQM9700,DevSonic,,sonic
jaguar-112,10.7.144.112,ACS-MQM8700,DevSonic,,sonic
jaguar-113,10.7.144.113,ACS-MQM8700,DevSonic,,sonic
jaguar-119,10.7.144.119,ACS-MQM8700,DevSonic,,sonic
juliet-54,10.7.145.54,ACS-N5110_LD,DevSonic,,sonic
juliet-56,10.7.145.56,ACS-N5110_LD,DevSonic,,sonic
juliet-68,10.7.145.68,ACS-N5110_LD,DevSonic,,sonic
juliet-121,10.7.148.121,ACS-N5110_LD,DevSonic,,sonic
mamba-44,10.7.147.44,ACS-QM3000,DevSonic,,sonic
mamba-112,10.7.148.112,ACS-QM3000,DevSonic,,sonic
mlx-2410b-01,10.188.108.46,Mellanox-SN2410,DevSonic,,sonic
mlx-4600a1-05,10.188.108.49,Mellanox-SN4600,DevSonic,,sonic
mlx-4700a1-07,10.188.52.105,Mellanox-SN4700,DevSonic,,sonic
r-anaconda-24,10.210.25.85/22,ACS-MSN3700,DevSonic,,sonic
