StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-moose-01,Ethernet0,r-liger-12,ethernet 1/1,200000,101,Access
r-moose-01,Ethernet8,r-liger-12,ethernet 1/2,200000,102,Access
r-moose-01,Ethernet16,r-liger-12,ethernet 1/3,200000,103,Access
r-moose-01,Ethernet24,r-liger-12,ethernet 1/4,200000,104,Access
r-moose-01,Ethernet32,r-liger-12,ethernet 1/5,200000,105,Access
r-moose-01,Ethernet40,r-liger-12,ethernet 1/6,200000,106,Access
r-moose-01,Ethernet48,r-liger-12,ethernet 1/7,200000,107,Access
r-moose-01,Ethernet56,r-liger-12,ethernet 1/8,200000,108,Access
r-moose-01,Ethernet64,r-liger-12,ethernet 1/9,200000,109,Access
r-moose-01,Ethernet72,r-liger-12,ethernet 1/10,200000,110,Access
r-moose-01,Ethernet80,r-liger-12,ethernet 1/11,200000,111,Access
r-moose-01,Ethernet88,r-liger-12,ethernet 1/12,200000,112,Access
r-moose-01,Ethernet96,r-liger-12,ethernet 1/13,200000,113,Access
r-moose-01,Ethernet104,r-liger-12,ethernet 1/14,200000,114,Access
r-moose-01,Ethernet112,r-liger-12,ethernet 1/15,200000,115,Access
r-moose-01,Ethernet120,r-liger-12,ethernet 1/16,200000,116,Access
r-moose-01,Ethernet128,r-liger-12,ethernet 1/17,200000,117,Access
r-moose-01,Ethernet136,r-liger-12,ethernet 1/18,200000,118,Access
r-moose-01,Ethernet144,r-liger-12,ethernet 1/19,200000,119,Access
r-moose-01,Ethernet152,r-liger-12,ethernet 1/20,200000,120,Access
r-moose-01,Ethernet160,r-liger-12,ethernet 1/21,200000,121,Access
r-moose-01,Ethernet168,r-liger-12,ethernet 1/22,200000,122,Access
r-moose-01,Ethernet176,r-liger-12,ethernet 1/23,200000,123,Access
r-moose-01,Ethernet184,r-liger-12,ethernet 1/24,200000,124,Access
r-moose-01,Ethernet192,r-liger-12,ethernet 1/25,200000,125,Access
r-moose-01,Ethernet200,r-liger-12,ethernet 1/26,200000,126,Access
r-moose-01,Ethernet208,r-liger-12,ethernet 1/27,200000,127,Access
r-moose-01,Ethernet216,r-liger-12,ethernet 1/28,200000,128,Access
r-moose-01,Ethernet224,r-liger-12,ethernet 1/29,200000,129,Access
r-moose-01,Ethernet232,r-liger-12,ethernet 1/30,200000,130,Access
r-moose-01,Ethernet240,r-liger-12,ethernet 1/31,200000,131,Access
r-moose-01,Ethernet248,r-liger-12,ethernet 1/32,200000,132,Access
r-moose-01,Ethernet256,r-liger-12,ethernet 1/33,200000,133,Access
r-moose-01,Ethernet264,r-liger-12,ethernet 1/34,200000,134,Access
r-moose-01,Ethernet272,r-liger-12,ethernet 1/35,200000,135,Access
r-moose-01,Ethernet280,r-liger-12,ethernet 1/36,200000,136,Access
r-moose-01,Ethernet288,r-liger-12,ethernet 1/37,200000,137,Access
r-moose-01,Ethernet296,r-liger-12,ethernet 1/38,200000,138,Access
r-moose-01,Ethernet304,r-liger-12,ethernet 1/39,200000,139,Access
r-moose-01,Ethernet312,r-liger-12,ethernet 1/40,200000,140,Access
r-moose-01,Ethernet320,r-liger-12,ethernet 1/41,200000,141,Access
r-moose-01,Ethernet328,r-liger-12,ethernet 1/42,200000,142,Access
r-moose-01,Ethernet336,r-liger-12,ethernet 1/43,200000,143,Access
r-moose-01,Ethernet344,r-liger-12,ethernet 1/44,200000,144,Access
r-moose-01,Ethernet352,r-liger-12,ethernet 1/45,200000,145,Access
r-moose-01,Ethernet360,r-liger-12,ethernet 1/46,200000,146,Access
r-moose-01,Ethernet368,r-liger-12,ethernet 1/47,200000,147,Access
r-moose-01,Ethernet376,r-liger-12,ethernet 1/48,200000,148,Access
r-moose-01,Ethernet384,r-liger-12,ethernet 1/49,200000,149,Access
r-moose-01,Ethernet392,r-liger-12,ethernet 1/50,200000,150,Access
r-moose-01,Ethernet400,r-liger-12,ethernet 1/51,200000,151,Access
r-moose-01,Ethernet408,r-liger-12,ethernet 1/52,200000,152,Access
r-moose-01,Ethernet416,r-liger-12,ethernet 1/53,200000,153,Access
r-moose-01,Ethernet424,r-liger-12,ethernet 1/54,200000,154,Access
r-moose-01,Ethernet432,r-liger-12,ethernet 1/55,200000,155,Access
r-moose-01,Ethernet440,r-liger-12,ethernet 1/56,200000,156,Access
r-moose-01,Ethernet448,r-liger-12,ethernet 1/57,200000,157,Access
r-moose-01,Ethernet456,r-liger-12,ethernet 1/58,200000,158,Access
r-moose-01,Ethernet464,r-liger-12,ethernet 1/59,200000,159,Access
r-moose-01,Ethernet472,r-liger-12,ethernet 1/60,200000,160,Access
r-moose-01,Ethernet480,r-liger-12,ethernet 1/61,200000,161,Access
r-moose-01,Ethernet488,r-liger-12,ethernet 1/62,200000,162,Access
r-moose-01,Ethernet496,r-liger-12,ethernet 1/63/1,200000,163,Access
r-moose-01,Ethernet504,r-liger-12,ethernet 1/63/2,200000,164,Access
r-liger-12,ethernet 1/64,r-r640-15,p4p1,200000,101-164,Trunk
