StartDevice,StartPort,EndDevice,EndPort,
dut,etp1a,hb,hb-1,
dut,etp2a,dut,etp3a,
dut,etp2b,dut,etp3b,
dut,etp2c,dut,etp3c,
dut,etp2d,dut,etp3d,
dut,etp4a,dut,etp5a,
dut,etp4b,dut,etp5b,
dut,etp6a,dut,etp7a,
dut,etp6b,dut,etp7b,
dut,etp6c,dut,etp7c,
dut,etp6d,dut,etp7d,
dut,etp8a,dut,etp9a,
dut,etp8b,dut,etp9b,
dut,etp8c,dut,etp9c,
dut,etp8d,dut,etp9d,
dut,etp10a,dut,etp11a,
dut,etp10b,dut,etp11b,
dut,etp10c,dut,etp11c,
dut,etp10d,dut,etp11d,
dut,etp12a,dut,etp13a,
dut,etp12b,dut,etp13b,
dut,etp12c,dut,etp13c,
dut,etp12d,dut,etp13d,
dut,etp14a,dut,etp15a,
dut,etp14b,dut,etp15b,
dut,etp14c,dut,etp15c,
dut,etp14d,dut,etp15d,
dut,etp16a,dut,etp17a,
dut,etp16b,dut,etp17b,
dut,etp16c,dut,etp17c,
dut,etp16d,dut,etp17d,
dut,etp18a,dut,etp19a,
dut,etp18b,dut,etp19b,
dut,etp18c,dut,etp19c,
dut,etp18d,dut,etp19d,
dut,etp20a,dut,etp21a,
dut,etp20b,dut,etp21b,
dut,etp20c,dut,etp21c,
dut,etp20d,dut,etp21d,
dut,etp22a,dut,etp23a,
dut,etp22b,dut,etp23b,
dut,etp22c,dut,etp23c,
dut,etp22d,dut,etp23d,
dut,etp24a,dut,etp25a,
dut,etp24b,dut,etp25b,
dut,etp24c,dut,etp25c,
dut,etp24d,dut,etp25d,
dut,etp26a,dut,etp27a,
dut,etp26b,dut,etp27b,
dut,etp26c,dut,etp27c,
dut,etp26d,dut,etp27d,
dut,etp28a,dut,etp29a,
dut,etp28b,dut,etp29b,
dut,etp28c,dut,etp29c,
dut,etp28d,dut,etp29d,
dut,etp30a,dut,etp31a,
dut,etp30b,dut,etp31b,
dut,etp30c,dut,etp31c,
dut,etp30d,dut,etp31d,
dut,etp32a,dut,etp33a,
dut,etp32b,dut,etp33b,
dut,etp32c,dut,etp33c,
dut,etp32d,dut,etp33d,
dut,etp34a,dut,etp35a,
dut,etp34b,dut,etp35b,
dut,etp34c,dut,etp35c,
dut,etp34d,dut,etp35d,
dut,etp36a,dut,etp37a,
dut,etp36b,dut,etp37b,
dut,etp36c,dut,etp37c,
dut,etp36d,dut,etp37d,
dut,etp38a,dut,etp39a,
dut,etp38b,dut,etp39b,
dut,etp38c,dut,etp39c,
dut,etp38d,dut,etp39d,
dut,etp40a,dut,etp41a,
dut,etp40b,dut,etp41b,
dut,etp40c,dut,etp41c,
dut,etp40d,dut,etp41d,
dut,etp42a,dut,etp43a,
dut,etp42b,dut,etp43b,
dut,etp42c,dut,etp43c,
dut,etp42d,dut,etp43d,
dut,etp44a,dut,etp45a,
dut,etp44b,dut,etp45b,
dut,etp44c,dut,etp45c,
dut,etp44d,dut,etp45d,
dut,etp46a,dut,etp47a,
dut,etp46b,dut,etp47b,
dut,etp46c,dut,etp47c,
dut,etp46d,dut,etp47d,
dut,etp48a,dut,etp49a,
dut,etp48b,dut,etp49b,
dut,etp48c,dut,etp49c,
dut,etp48d,dut,etp49d,
dut,etp50a,dut,etp51a,
dut,etp50b,dut,etp51b,
dut,etp50c,dut,etp51c,
dut,etp50d,dut,etp51d,
dut,etp52a,dut,etp53a,
dut,etp52b,dut,etp53b,
dut,etp52c,dut,etp53c,
dut,etp52d,dut,etp53d,
dut,etp54a,dut,etp55a,
dut,etp54b,dut,etp55b,
dut,etp54c,dut,etp55c,
dut,etp54d,dut,etp55d,
dut,etp56a,dut,etp57a,
dut,etp56b,dut,etp57b,
dut,etp56c,dut,etp57c,
dut,etp56d,dut,etp57d,
dut,etp58a,dut,etp59a,
dut,etp58b,dut,etp59b,
dut,etp58c,dut,etp59c,
dut,etp58d,dut,etp59d,
dut,etp60a,dut,etp61a,
dut,etp60b,dut,etp61b,
dut,etp60c,dut,etp61c,
dut,etp60d,dut,etp61d,
dut,etp62a,dut,etp63a,
dut,etp62b,dut,etp63b,
dut,etp62c,dut,etp63c,
dut,etp62d,dut,etp63d,
dut,etp64d,hb,hb-2,
dut,etp65a,ha,ha-1,
dut,etp66a,dut,etp67a,
dut,etp66b,dut,etp67b,
dut,etp66c,dut,etp67c,
dut,etp66d,dut,etp67d,
dut,etp68a,dut,etp69a,
dut,etp68b,dut,etp69b,
dut,etp68c,dut,etp69c,
dut,etp68d,dut,etp69d,
dut,etp70a,dut,etp71a,
dut,etp70b,dut,etp71b,
dut,etp70c,dut,etp71c,
dut,etp70d,dut,etp71d,
dut,etp72a,dut,etp73a,
dut,etp72b,dut,etp73b,
dut,etp72c,dut,etp73c,
dut,etp72d,dut,etp73d,
dut,etp74a,dut,etp75a,
dut,etp74b,dut,etp75b,
dut,etp74c,dut,etp75c,
dut,etp74d,dut,etp75d,
dut,etp76a,dut,etp77a,
dut,etp76b,dut,etp77b,
dut,etp76c,dut,etp77c,
dut,etp76d,dut,etp77d,
dut,etp78a,dut,etp79a,
dut,etp78b,dut,etp79b,
dut,etp78c,dut,etp79c,
dut,etp78d,dut,etp79d,
dut,etp80a,dut,etp81a,
dut,etp80b,dut,etp81b,
dut,etp80c,dut,etp81c,
dut,etp80d,dut,etp81d,
dut,etp82a,dut,etp83a,
dut,etp82b,dut,etp83b,
dut,etp82c,dut,etp83c,
dut,etp82d,dut,etp83d,
dut,etp84a,dut,etp85a,
dut,etp84b,dut,etp85b,
dut,etp84c,dut,etp85c,
dut,etp84d,dut,etp85d,
dut,etp86a,dut,etp87a,
dut,etp86b,dut,etp87b,
dut,etp86c,dut,etp87c,
dut,etp86d,dut,etp87d,
dut,etp88a,dut,etp89a,
dut,etp88b,dut,etp89b,
dut,etp88c,dut,etp89c,
dut,etp88d,dut,etp89d,
dut,etp90a,dut,etp91a,
dut,etp90b,dut,etp91b,
dut,etp90c,dut,etp91c,
dut,etp90d,dut,etp91d,
dut,etp92a,dut,etp93a,
dut,etp92b,dut,etp93b,
dut,etp92c,dut,etp93c,
dut,etp92d,dut,etp93d,
dut,etp94a,dut,etp95a,
dut,etp94b,dut,etp95b,
dut,etp94c,dut,etp95c,
dut,etp94d,dut,etp95d,
dut,etp96a,dut,etp97a,
dut,etp96b,dut,etp97b,
dut,etp96c,dut,etp97c,
dut,etp96d,dut,etp97d,
dut,etp98a,dut,etp99a,
dut,etp98b,dut,etp99b,
dut,etp98c,dut,etp99c,
dut,etp98d,dut,etp99d,
dut,etp100a,dut,etp101a,
dut,etp100b,dut,etp101b,
dut,etp100c,dut,etp101c,
dut,etp100d,dut,etp101d,
dut,etp102a,dut,etp103a,
dut,etp102b,dut,etp103b,
dut,etp102c,dut,etp103c,
dut,etp102d,dut,etp103d,
dut,etp104a,dut,etp105a,
dut,etp104b,dut,etp105b,
dut,etp104c,dut,etp105c,
dut,etp104d,dut,etp105d,
dut,etp106a,dut,etp107a,
dut,etp106b,dut,etp107b,
dut,etp106c,dut,etp107c,
dut,etp106d,dut,etp107d,
dut,etp108a,dut,etp109a,
dut,etp108b,dut,etp109b,
dut,etp108c,dut,etp109c,
dut,etp108d,dut,etp109d,
dut,etp110a,dut,etp111a,
dut,etp110b,dut,etp111b,
dut,etp110c,dut,etp111c,
dut,etp110d,dut,etp111d,
dut,etp112a,dut,etp113a,
dut,etp112b,dut,etp113b,
dut,etp112c,dut,etp113c,
dut,etp112d,dut,etp113d,
dut,etp114a,dut,etp115a,
dut,etp114b,dut,etp115b,
dut,etp114c,dut,etp115c,
dut,etp114d,dut,etp115d,
dut,etp116a,dut,etp117a,
dut,etp116b,dut,etp117b,
dut,etp116c,dut,etp117c,
dut,etp116d,dut,etp117d,
dut,etp118a,dut,etp119a,
dut,etp118b,dut,etp119b,
dut,etp118c,dut,etp119c,
dut,etp118d,dut,etp119d,
dut,etp120a,dut,etp121a,
dut,etp120b,dut,etp121b,
dut,etp120c,dut,etp121c,
dut,etp120d,dut,etp121d,
dut,etp122a,dut,etp123a,
dut,etp122b,dut,etp123b,
dut,etp122c,dut,etp123c,
dut,etp122d,dut,etp123d,
dut,etp124a,dut,etp125a,
dut,etp124b,dut,etp125b,
dut,etp124c,dut,etp125c,
dut,etp124d,dut,etp125d,
dut,etp126a,dut,etp127a,
dut,etp126b,dut,etp127b,
dut,etp126c,dut,etp127c,
dut,etp126d,dut,etp127d,
dut,etp128d,ha,ha-2,
dut,etp129a,dut,etp129b,
