StartDevice,StartPort,EndDevice,EndPort,
dut,ept1,hb, hb-1,
dut,ept2,dut, etp3,
dut,ept4a,dut, ept5a,
dut,etp4b,dut, etp5b,
dut,etp6a,dut, etp7a,
dut,etp6b,dut, etp7b,
dut,etp6c,dut, etp7c,
dut,etp6d,dut, etp7d,
dut,etp8,dut, etp9,
dut,etp10,dut, etp11,
dut,etp12,dut, etp13,
dut,etp14,dut, etp15,
dut,etp16,dut, ept17
dut,etp18,dut, etp19,
dut,etp20,dut, etp21,
dut,etp22,dut, etp23,
dut,etp24,dut, etp25,
dut,etp26,dut, etp27,
dut,etp28,dut, etp29,
dut,etp30,dut, etp31,
dut,etp32,dut, etp33,
dut,etp34,dut, etp35,
dut,etp36,dut, etp37,
dut,etp38,dut, etp39,
dut,etp40,dut, etp41,
dut,etp42,dut, etp43,
dut,etp44,dut, etp45,
dut,etp46,dut, etp47,
dut,etp48,dut, etp49,
dut,etp50,dut, etp51,
dut,etp52,dut, etp53,
dut,etp54,dut, etp55,
dut,etp56,dut, etp57,
dut,etp58,dut, etp59,
dut,etp60,dut, etp61,
dut,etp62,dut, etp63,
dut,etp64,hb, hb-2,
dut,etp65,ha, ha-1,
dut,etp66,dut,etp67,
dut,etp68,dut,etp69,
dut,etp70,dut,etp71,
dut,etp72,dut,etp73,
dut,etp74,dut,etp75,
dut,etp76,dut,etp77,
dut,etp78,dut,etp79,
dut,etp80,dut,etp81,
dut,etp82,dut,etp83,
dut,etp84,dut,etp85,
dut,etp86,dut,etp87,
dut,etp88,dut,etp89,
dut,etp90,dut,etp91,
dut,etp92,dut,etp93,
dut,etp94,dut,etp95,
dut,etp96,dut,etp97,
dut,etp98,dut,etp99,
dut,etp100,dut,etp101,
dut,etp102,dut,etp103,
dut,etp104,dut,etp105,
dut,etp106,dut,etp107,
dut,etp108,dut,etp109,
dut,etp110,dut,etp111,
dut,etp112,dut,etp113,
dut,etp114,dut,etp115,
dut,etp116,dut,etp117,
dut,etp118,dut,etp119,
dut,etp120,dut,etp121,
dut,etp122,dut,etp123,
dut,etp124,dut,etp125,
dut,etp126,dut,etp127,
dut,etp128,ha,ha-2,
dut,etp129,dut,etp130,
