StartDevice,StartPort,EndDevice,EndPort,
dut,ept1,hb, hb-1,
dut,ept2,dut, etp3,
dut,ept3,dut, ept2,
dut,ept4a,dut, ept5a,
dut,etp4b,dut, etp5b,
dut,etp6a,dut, etp7a,
dut,etp6b,dut, etp7b,
dut,etp6c,dut, etp7c,
dut,etp6d,dut, etp7d,
dut,etp8,dut, etp9,
dut,etp10,dut, etp11,
dut,etp12,dut, etp13,
dut,etp14,dut, etp15,
dut,etp16,hb, hb-2,
dut,etp17,ha, ha-1,
dut,etp18,dut, etp19,
dut,etp20,dut, etp21,
dut,etp22,dut, etp23,
dut,etp24,dut, etp25,
dut,etp26,dut, etp27,
dut,etp28,dut, etp29,
dut,etp30,dut, etp31,
dut,etp32,ha, ha-2,
